INRS,Rye cover crops,Treatment wetlands,Riparian buffers,Riparian buffers,Perennial crops,Perennial crops,,,,,,
practice,WCR,NRW,STB,RIB,CBS,PCP,,,,,,
opArea_ha," 68,539 "," 2,196 ", 584 , 147 ," 6,789 "," 27,153 ",,,,,,
n," 2,830 ", 428 ," 1,578 ", 391 ," 1,884 "," 1,108 ",,,,,,
IWAP,0,0,2,2,2,1,,,,,,
sum_BioMg," 276,565 "," 11,456 "," 9,113 "," 2,291 "," 51,440 "," 205,741 ",,,,,,
BioMg_med, 77.3 , 21.4 , 5.7 , 5.6 , 21.8 , 139.8 ,,,,,,
Q1_BioMg, 43.3 , 14.3 , 5.3 , 5.3 , 13.6 , 71.7 ,,,,,,
Q3_BioMg, 126.2 , 32.6 , 6.1 , 6.2 , 35.2 , 242.5 ,,,,,,
BioTC_Mg_med, $140.85 , $856.84 , $315.29 , $276.62 , $128.71 , $139.71 ,,,,,,
Q1TC_MgBio, $140.85 , $846.16 , $295.42 , $173.46 , $117.02 , $120.05 ,,,,,,
Q3TC_MgBio, $140.85 , $865.03 , $328.56 , $296.20 , $140.41 , $149.82 ,,,,,,
BioTCcp_Mg_med, $140.85 ," $2,282.11 ", $355.74 , $276.62 , $128.71 , $141.99 ,,,,,,
Q1TCcp_MgBio, $140.85 ," $2,145.37 ", $336.29 , $173.46 , $117.02 , $122.33 ,,,,,,
Q3TCcp_MgBio, $140.85 ," $2,462.35 ", $369.74 , $296.20 , $140.41 , $152.10 ,,,,,,
sumEnergyPot," 3,302,599 "," 147,201 "," 117,095 "," 29,432 "," 660,967 "," 2,643,612 ",,,,,,
engPot_med, 923 , 275 , 73 , 72 , 280 ," 1,796 ",,,,,,
Q1_engPot, 517 , 184 , 69 , 68 , 175 , 922 ,,,,,,
Q3_engPot," 1,507 ", 419 , 78 , 79 , 453 ," 3,115 ",,,,,,
engPotTC_med, $11.79 , $66.68 , $24.54 , $21.53 , $10.02 , $10.87 ,,,,,,
Q1TC_enPot, $11.79 , $65.85 , $22.99 , $13.50 , $9.11 , $9.34 ,,,,,,
Q3TC_enPot, $11.79 , $67.32 , $25.57 , $23.05 , $10.93 , $11.66 ,,,,,,
engPotTCcp_med, $11.79 , $177.61 , $27.69 , $21.53 , $10.02 , $11.05 ,,,,,,
Q1TCcp_enPot, $11.79 , $166.97 , $26.17 , $13.50 , $9.11 , $9.52 ,,,,,,
Q3TCcp_enPot, $11.79 , $191.63 , $28.78 , $23.05 , $10.93 , $11.84 ,,,,,,
sumDC," $38,953,730.54 "," $8,372,548.55 "," $432,982.50 "," $56,338.38 "," $2,902,216.14 "," $11,607,737.94 ",,,,,,
sumOC," $44,701,652.90 "," $1,413,163.91 "," $2,346,425.14 "," $491,727.73 "," $3,686,815.27 "," $17,038,462.96 ",,,,,,
sumTC," $38,953,730.54 "," $9,785,712.46 "," $2,779,407.64 "," $548,066.11 "," $6,589,031.40 "," $28,176,522.04 ",,,,,,
sumDCcp," $38,953,730.54 "," $24,492,946.20 "," $802,460.90 "," $56,338.38 "," $2,902,216.14 "," $11,607,737.94 ",,,,,,
sumTCcp," $38,953,730.54 "," $25,906,110.11 "," $3,148,886.04 "," $548,066.11 "," $6,589,031.41 "," $28,646,200.90 ",,,,,,
sumCO2," $54,196.49 "," $3,661.36 "," $1,414.41 ", $356.20 ," $16,440.30 "," $65,754.81 ",,,,,,
CO2red_med, 15.2 , 6.8 , 0.9 , 0.9 , 7.0 , 44.7 ,,,,,,
Q1_CO2red, 8.5 , 4.6 , 0.8 , 0.8 , 4.3 , 22.9 ,,,,,,
Q3_CO2red, 24.7 , 10.4 , 0.9 , 1.0 , 11.3 , 77.5 ,,,,,,
CO2TC_Mg_med, $718.75 ," $2,680.97 "," $2,035.92 "," $1,754.90 ", $402.73 , $437.13 ,,,,,,
Q1_CO2TC_Mg, $718.75 ," $2,647.56 "," $1,880.68 "," $1,111.78 ", $366.14 , $375.63 ,,,,,,
Q3_CO2TC_Mg, $718.75 ," $2,706.61 "," $2,058.10 "," $1,887.96 ", $439.33 , $468.78 ,,,,,,
CO2TCcp_Mg_med, $718.75 ," $7,140.54 "," $2,297.14 "," $1,754.90 ", $402.73 , $444.28 ,,,,,,
Q1_CO2TCcp_Mg, $718.75 ," $6,712.68 "," $2,141.90 "," $1,111.78 ", $366.14 , $382.78 ,,,,,,
