HUC12,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,sumCO2red,meanDCredCO2,minDCredCO2,maxDCredCO2,meanTCredCO2,minTCredCO2,maxTCredCO2,sumN2Ored,meanDCredN2O,minDCredN2O,maxDCredN2O,meanTCredN2O,minTCredN2O,maxTCredN2O,sumcpNO3ldRedkg,meanDCredNO3,minDCredNO3,maxDCredNO3,meanTCredNO3,minTCredNO3,maxTCredNO3,sum_opArea_ha,n
070600060901,148700.5482453,102058.55146830001,204155.4495923,4249,292,33773,2916,212,13008,5833,505,35301,317.320619101,508.3255584142221,169.38774495807348,6052.950605805921,668.0507599048826,269.18366852778,6326.871350530118,4047.3476192119997,1980.1873149586302,8.299999689377058,21185.326674177104,2252.8531478521777,13.678999487064818,22144.04926052197,8809.3633057376,21.109050876226217,3.844669364552836,53.6106761900132,25.985490955882305,6.260789581183825,53.6106761900132,268.015384194161,35
070600061002,176563.1099947,170065.7816527,227974.661399,6306,715,20231,6074,507,32587,8142,1341,39778,375.968537556,401.6854943479218,169.38774273052218,584.375037136665,531.7795761853539,272.5102017572867,995.8856333907897,5075.243079994,1837.2474493689174,8.299999798458682,3740.0002852863513,2048.1407682062154,13.353002426672925,3740.0002852863513,7489.903881874594,27.515824973540372,3.8709063136239985,53.60549286380146,31.735331247688606,8.43204648773971,53.60549286380146,397.24647263493904,28
070801010301,1900130.6924745,1970497.4383324,2486835.3706008,8445,330,63248,8758,329,75520,11053,731,102585,2880.785393686,845.5646017416113,169.38774227087552,7476.8860060882025,1051.8906395826323,305.77550973007857,7802.476871832924,32461.41942842,3604.467765973805,8.299999348529951,26169.099723970445,4032.6575958375615,18.40600173056534,27308.667697582663,77418.91629405164,30.390382453189066,1.158222115648799,53.610246991333064,35.564183980941905,4.478454402981592,53.610246991333064,3114.6495926611638,225
070801010302,223733.3688472,269658.068473,347909.0684252,9728,543,58043,11724,1503,43069,15126,2046,62156,354.106397175,723.4351675352053,169.38774928004472,5941.381318570317,1167.5477064052998,415.55103090187083,6362.444462622929,7276.4135717,2837.965502472273,8.29999953514171,20794.834867236186,3633.6156772716927,20.8510000883033,22268.555889296476,10809.479033233,28.62230195531585,1.185707451534497,53.6062386760923,37.79162613036039,4.466164619480079,53.6062386760923,381.8447885553363,23
070801010403,396515.963503,502624.2783883,669538.7471030001,12016,628,68382,15231,725,74236,20289,1535,114450,690.835420115,788.2439842109354,169.3877433467428,7666.413995732092,1059.8522190656847,359.00000887009236,8052.626293379931,15328.996747031999,3074.794920859663,8.30000004129976,26832.45078097141,3476.943564867785,22.48100088050219,28184.193913211675,22390.40054808299,23.529059389877975,3.2983914961985046,53.6062771048211,30.98843517235498,7.444032571349113,53.6062771048211,713.9579065917516,33
070801010405,601305.4415711,781936.0737014,810969.3426031,7245,194,47814,9421,362,60602,9771,556,50753,1042.451555305,622.6228724623153,169.3877410941704,6617.177760589788,851.6019227366497,372.30609647146974,7080.484273280032,10915.423658251999,2716.2611175109027,8.29999957428911,23160.122836374958,3098.3516390275136,20.525000059212037,24781.69567800317,23020.46027482965,28.38943443658204,3.252567904373916,53.606646252555656,35.13524402643253,7.98597791224072,53.606646252555656,1139.418566501964,83
070801010601,325552.1427091,373357.7445577,501268.9953584,5337,315,23521,6121,248,29507,8218,619,45663,571.235222939,650.6717530495741,169.38774765170785,6380.737937139027,896.014625579929,262.53062227643437,6789.352412204343,11586.09398096,2704.6482395222,8.299999364040948,22332.5827799866,2909.822507015088,19.383999306031704,23762.733442715202,13276.30649171078,32.03470890075394,3.7104814055523847,53.61034946906918,39.82567908747494,8.446933235691773,53.61034946906918,638.7805301330023,61
070801010602,1429911.8867226,1590491.1001883,1953698.5289759,7526,342,58309,8371,240,52897,10283,844,86566,2421.8925252980002,676.8689294114729,169.38774193604058,8115.743847843469,857.981018516697,302.44895419358323,8573.099409119382,35333.761911096,3035.412457188027,8.299999335500807,28405.10345557194,3297.2919538355745,16.775999754650094,30005.84791936814,53367.72348589979,33.289016800463884,3.203963200320102,53.60785659393724,38.87482382372593,4.271950820485494,54.60504564203441,2722.7082357797913,190
070801010603,167379.5636329,204544.7097482,227111.2040974,4923,399,17179,6016,510,17669,6680,909,28149,329.404299026,455.0979180517682,169.38775408592116,584.3750580491599,620.7010662717572,319.08164864375453,1201.1110097848702,4646.813925963,2248.3974717247743,8.299999793023941,3740.0001238101167,2431.879666471876,17.917000168655154,3740.0001238101167,5851.26374238142,34.17865791172799,3.8939882935613883,53.60995228744489,39.76858542682274,8.864687346407914,53.60995228744489,374.5002785129144,34
070801010604,577294.624919,647636.4153507,802278.5059099,8367,307,46986,9386,281,32202,11627,647,53498,918.613023902,727.5616931067577,169.3877437940201,8213.53320526038,929.9555058867544,299.1224619108072,8536.136982865713,15430.123625422,3168.582206940879,8.29999969404285,28747.366226493643,3384.294249041571,20.525000085533858,29876.479448429764,21502.990716789864,34.31808327914345,2.9565493181991993,58.490766743051786,40.62826288448111,7.5434749971715345,58.490766743051786,1050.7502420240758,69
