HUC12,sumDC,sumOC,sumTC,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,sumCO2red,meanDCredCO2,minDCredCO2,maxDCredCO2,meanTCredCO2,minTCredCO2,maxTCredCO2,sumN2Ored,meanDCredN2O,minDCredN2O,maxDCredN2O,meanTCredN2O,minTCredN2O,maxTCredN2O,sumcpSEDldRedkg,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,sum_opArea_ha,n
070600060901,151331.3239412,108460.1045693,213187.7783892,3783,292,33773,2712,212,13008,5330,505,35301,321.27485256800003,527.9481276353356,169.38774495807348,6052.950605805921,870.0715834982856,269.18366852778,6326.871350530118,4048.47740019,2023.735328079297,8.299999689377058,21185.326674177104,2970.5916061149037,13.678999487064818,22144.04926052197,2559641.101003598,0.09233423391124908,0.0018452341824843298,0.4478970511510497,0.15471590281166256,0.006335299726003279,1.3682012927241922,269.64826471667385,40
070600061002,176563.1099947,170065.7816527,227974.661399,6306,715,20231,6074,507,32587,8142,1341,39778,375.968537556,401.6854943479218,169.38774273052218,584.375037136665,531.7795761853539,272.5102017572867,995.8856333907897,5075.243079994,1837.2474493689174,8.299999798458682,3740.0002852863513,2048.1407682062154,13.353002426672925,3740.0002852863513,2307493.118778823,0.12431455653565435,0.013031142064314936,0.7017099113768717,0.1440560371169099,0.028285020080232703,0.7017099113768717,397.24647263493904,28
070801010301,1940266.6710511,2070304.5080347,2626778.4188797,6600,330,63248,7042,329,75520,8935,731,102585,2941.112478046,803.2590402746181,169.38774227087552,7476.8860060882025,1347.8234456898408,305.77550973007857,7802.476871832924,32478.655738342,3305.022704244518,8.299999348529951,26169.099723970445,4986.035383373548,18.40600173056534,27308.667697582663,12965857.118638711,0.19644926160788168,0.004326033712652314,3.5561624441106128,0.34830520964843126,0.014131705289965789,13.039256036483469,3139.561354383518,294
070801010302,230432.1921505,287793.706779,372743.5300345,6584,527,58043,8223,1284,43069,10650,1868,62156,364.17518075600003,703.5052071419576,169.38774928004472,5941.381318570317,1613.7678476013841,415.55103090187083,6362.444462622929,7279.290367007,2663.3160989518,8.29999953514171,20794.834867236186,5350.632334159488,20.8510000883033,22268.555889296476,1221684.8633914017,0.3875174232595253,0.0037311722421458013,3.1690914962702923,1.1013537028874931,0.01405408175135594,12.253801961285955,386.0026413495189,35
070801010403,414936.6682761,548717.2988983,734052.4723861,6483,531,68382,8574,725,74236,11470,1535,114450,718.52298246,728.6959579614031,169.3877433467428,7666.413995732092,1677.1597355015936,359.00000887009236,8052.626293379931,15336.907479108,2713.34292183908,8.30000004129976,26832.45078097141,5750.156060239916,22.48100088050219,28184.193913211675,3460604.729210496,0.1456189146258988,0.004018144483363542,0.8173060842947638,0.30381719185519157,0.013527741679727001,2.7243536956212533,725.3913441902422,64
070801010405,611564.8492249,808569.8483614,847862.5249169,6055,194,47814,8006,362,60602,8395,556,50753,1057.872137362,630.2297882270776,169.3877410941704,6617.177760589788,1126.2416796635482,372.30609647146974,7080.484273280032,10919.829538867,2647.1679030146024,8.29999957428911,23160.122836374958,4038.6065384831045,20.525000059212037,24781.69567800317,3074069.7323464532,0.22650840834239172,0.00516755509002387,1.2811807183087724,0.4245469587306858,0.018258673483114215,3.707340101473114,1145.786417223087,101
070801010601,325562.64242109,373376.30248388,501298.05299657,5251,10,23521,6022,19,29507,8085,29,45663,571.257360886,647.8268169290307,169.38774765170785,6380.737937139027,902.7332847495372,262.53062227643437,6789.352412204343,11587.359006576,2661.1587517800303,8.299999364040948,22332.5827799866,2863.260369802241,19.383999306031704,23762.733442715202,2786673.0792787196,0.15453770384918078,0.01460662632564123,0.6225902517179969,0.2548453089647565,0.022954644755854473,1.2974672482580067,638.8061270400958,62
070801010602,1451320.6826821,1617131.86821078,2001748.09295788,6365,342,58309,7093,64,52897,8780,445,86566,2454.07139043,674.941794861305,169.38774193604058,8115.743847843469,962.333976577125,302.44895419358323,8573.099409119382,35342.955872526,2917.6056200590633,8.299999335500807,28405.10345557194,3613.4675807566387,16.775999754650094,30005.84791936814,10366702.248459835,0.20274581545632803,0.00204919405492615,3.09112675139508,0.2811910210611993,0.003142097550860172,3.606314543271651,2735.996333881558,228
070801010603,167379.5636329,204544.7097482,227111.2040974,4923,399,17179,6016,510,17669,6680,909,28149,329.404299026,455.0979180517682,169.38775408592116,584.3750580491599,620.7010662717572,319.08164864375453,1201.1110097848702,4646.813925963,2248.3974717247743,8.299999793023941,3740.0001238101167,2431.879666471876,17.917000168655154,3740.0001238101167,1276969.9647337443,0.2253162579757116,0.014498360682081147,0.8549223252831224,0.31130864104924305,0.03072779164148459,1.40410460289521,374.5002785129144,34
070801010604,582182.7453108,654424.22092332,813954.43187432,7464,307,46986,8390,90,32202,10435,627,53498,925.960198785,720.3783573877487,169.3877437940201,8213.53320526038,1011.440624333077,299.1224619108072,8536.136982865713,15432.222818249,3071.6578834870957,8.29999969404285,28747.366226493643,3654.555624008745,20.525000085533858,29876.479448429764,2587624.314299485,0.27908317658707954,0.020368256668785036,1.084037291742237,0.4280176214529529,0.04656328007465427,3.5773205121736313,1053.7842204037734,78
