OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12
1,F070600060901_101,2137.768343,18605.03834,4.595444679,762.843811,40,599.2459717,15.53260326,23.76488304,4.963080406,14.82401466,10.3313328,0.001168362,159.3362579,14.16419792,307,280,0.001533661,47.66392851,95328,45.28073311,0.000172835,1362.089844,2.724442244,4.86460638,16.84698486,30.08100319,105,070600060901
2,F070600060901_11,6595.563645,57431.68522,14.18562603,2354.813965,41,1896.050781,47.9474144,73.35954285,15.32047653,45.76008224,44.42568351,0.005024064,131.0013428,11.79872227,1102,1003,0.005493792,32.59554219,65191,30.96576552,0.000118195,4250.864746,2.347770691,4.23815012,76.04572296,137.2762756,105,070600060901
3,F070600060901_12,1900.370503,16332.42136,4.034108162,669.6619263,32,420.8382263,13.63528538,20.86198616,4.356836796,13.01325226,17.03692055,0.001926691,131.0014496,11.7987299,422,384,0.002103306,60.47105598,120942,57.44750214,0.000219275,1090.500122,1.743911266,2.839843988,11.6569376,18.98255157,105,070600060901
4,F070600060901_13,2874.916046,24974.334,6.168660641,1023.997681,39,784.2834473,20.85007286,31.90061188,6.662153721,19.8989048,24.08245099,0.002723464,131.0007935,11.79868317,598,544,0.002979684,76.04601431,152092,72.24371529,0.000275751,1808.281128,1.882348657,3.324046135,14.1742115,25.0302906,105,070600060901
5,F070600060901_336,7161.545729,62599.95031,15.46218777,2566.723145,46,2318.709717,52.26219559,79.96115875,16.69916344,49.87802505,46.60464531,0.00527048,130.9986877,11.79853535,1156,1051,0.005756705,34.34382672,68688,32.6266362,0.000124534,4885.432617,2.442172289,4.648365974,78.66956329,149.7375488,105,070600060901
6,F070600060901_37,7610.401724,66709.6033,16.47727203,2735.227051,38,2041.204468,55.69318008,85.21056366,17.79545403,53.15248871,49.31730366,0.005577253,142.3322754,12.65258884,1312,1194,0.006539967,42.07613963,84153,39.97233188,0.000152573,4776.431641,2.29080987,4.000361443,68.42800903,119.4934464,105,070600060901
7,F070600060901_38,4241.73238,37471.56806,9.255476952,1536.40918,39,1176.741455,31.28351212,47.86377335,9.995915413,29.85637665,21.94467163,0.002481705,139.5002747,12.428545,573,521,0.002853704,84.84662628,169693,80.60429382,0.000307663,2713.150635,2.948961973,5.207582951,19.06113243,33.66012573,105,070600060901
8,F070600060901_39,5036.51368,43910.91276,10.8459959,1800.435303,43,1520.391602,36.65946579,56.08898163,11.7136755,34.98708344,32.30644512,0.003653509,151.4006958,13.42159176,913,832,0.004557163,135.5050926,271010,128.7298374,0.000491356,3320.826904,2.163984776,3.991378546,13.9861536,25.79686928,105,070600060901
9,F070600060901_53,1080.77835,9356.169586,2.310973883,383.6216736,73,549.9655762,7.8110919,11.95097065,2.495851755,7.454754353,7.088815808,0.000801668,131.0002136,11.79864216,176,160,0.000876378,10.81215012,21625,10.27154255,3.9206E-05,933.5872803,2.39763546,5.834920406,37.34801102,90.89066315,105,070600060901
10,F070600060901_54,2553.858536,22302.38563,5.508689404,914.4424438,30,538.7498169,18.61936951,28.48763466,5.949384689,17.76996613,14.60359262,0.001651508,131.0034943,11.7988739,362,330,0.001807529,42.73097038,85462,40.59442014,0.000154947,1453.192261,2.771037817,4.403613091,22.52630806,35.79783249,105,070600060901
11,F070600060901_56,3832.734819,33735.53456,8.332676888,1383.224365,35,950.7584229,28.16444778,43.09160614,8.99929142,26.87960243,21.95159379,0.002482487,159.3314972,14.16373158,654,595,0.003259029,92.44234552,184885,87.82022884,0.000335206,2333.98291,2.324746847,3.922660351,15.75063515,26.5768261,105,070600060901
12,F070600060901_57,3320.818558,29050.92246,7.175577641,1191.145874,35,818.7334595,24.2534523,37.10778046,7.749623775,23.14702415,17.67373514,0.001998708,159.3332062,14.16389847,527,480,0.002629133,56.20916939,112418,53.39871025,0.000203821,2009.879395,2.481553793,4.187248707,22.30664063,37.63909912,105,070600060901
13,F070600060901_58,2993.828349,26406.07966,6.522301674,1082.702026,39,829.2454224,22.04537964,33.72943115,7.044085979,21.03968239,21.77439031,0.002462448,159.3337555,14.16395283,648,590,0.003231642,91.29206443,182585,86.7274648,0.000331035,1911.94751,1.835088134,3.240588903,12.48395824,22.04546738,105,070600060901
14,F070600060901_61,5225.714989,45419.38164,11.21858692,1862.2854,34,1243.468262,37.91882324,58.01580048,12.11607361,36.18899155,31.11360101,0.003518611,159.3327332,14.16385269,927,844,0.004622891,126.2995538,252599,119.9845728,0.000457976,3105.753662,2.206499338,3.679802895,15.52103996,25.88460732,105,070600060901
15,F070600060901_718,5856.831306,51895.29919,12.81813908,2127.811035,40,1671.485352,43.32530975,66.28772736,13.84358978,41.34883499,36.14287311,0.004087367,130.9987946,11.79854298,896,815,0.004464048,147.5083346,295017,140.1329248,0.000534881,3799.296387,2.610810995,4.661713123,15.18423367,27.11208916,105,070600060901
16,F070600060901_745,4626.519404,41515.17029,10.25424671,1702.204956,40,1337.153931,34.65935516,53.02881241,11.07458687,33.07821655,23.09147835,0.002611396,139.498703,12.42842293,603,549,0.00300707,16.9777832,33956,16.12889481,6.15633E-05,3039.358887,3.10055542,5.536172867,105.5376053,188.441864,105,070600060901
17,F070600060901_746,837.1504209,7128.303715,1.760691047,292.2747192,37,212.3745575,5.951135635,9.105237961,1.901546359,5.679648399,4.48932457,0.000507694,139.4930878,12.42798615,117,106,0.0005806,8.937083244,17874,8.490228653,3.24068E-05,504.649292,2.757308722,4.760842323,34.42483521,59.43883514,105,070600060901
18,F070600060901_9,3599.332815,31600.50046,7.805323601,1295.683716,36,916.0327148,26.38199425,40.36445236,8.429749489,25.17846298,21.73189867,0.002457642,148.0012665,13.12380219,600,547,0.002996116,72.96162748,145924,69.31354856,0.000264567,2211.716309,2.368708849,4.043356895,18.6930809,31.90885925,105,070600060901
19,F070600061002_102,7467.092719,66425.42328,16.4070797,2723.575195,41,2192.970215,55.4559288,84.84757233,17.71964645,52.92606354,41.66393942,0.00471174,139.4986267,12.42841721,1088,989,0.005417109,180.8479474,361696,171.8055472,0.000655774,4916.54541,2.753867626,4.971229076,15.85266113,28.61691856,105,070600061002
20,F070600061002_111,4251.457612,37074.26428,9.157342911,1520.118896,60,1791.17627,30.95181847,47.35628128,9.889930725,29.5398159,25.73045389,0.002909836,131.0032959,11.7988596,639,582,0.003187823,98.60030454,197201,93.67028941,0.000357536,3311.295166,2.61188817,5.689510822,16.22839928,35.35054016,105,070600061002
21,F070600061002_112,3561.159005,31252.10139,7.719269276,1281.398682,42,1056.922241,26.0911293,39.91942596,8.336811066,24.90086937,24.40831539,0.002760316,131.0007629,11.79868126,605,550,0.003012548,18.01437967,36027,17.11366106,6.53221E-05,2338.320801,2.329815865,4.2514925,74.8757782,136.6347504,105,070600061002
22,F070600061002_113,3517.207165,30061.7275,7.425246716,1232.590942,52,1258.727783,25.09733391,38.39892197,8.019266129,23.95240784,20.41630991,0.002308863,131.000946,11.79869461,507,463,0.002536017,83.91457461,167830,79.71884743,0.000304283,2491.318848,2.662183523,5.380818367,15.46172523,31.25131607,105,070600061002
