OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12
1,F070600060901_101,1748.150079,15304.74156,3.780271053,627.5250244,43,529.918457,12.77731609,148.9426727,3.704665661,1.058475852,7.994033456,0.000904039,159.3362579,14.16419792,238,217,0.001188587,36.88072348,73761,35.03668785,0.000133734,1157.443481,2.891820431,5.333840847,17.91051292,33.03518677,105,070600060901
2,F070600060901_11,6595.563645,57431.68522,14.18562603,2354.813965,41,1896.050781,47.9474144,558.9136353,13.90191364,3.971975327,44.42568351,0.005024064,131.0013428,11.79872227,1102,1003,0.005493792,32.59554219,65191,30.96576552,0.000118195,4250.864746,2.347770691,4.23815012,76.04572296,137.2762756,105,070600060901
3,F070600060901_12,1900.370503,16332.42136,4.034108162,669.6619263,32,420.8382263,13.63528538,158.9438629,3.953425884,1.129550338,17.03692055,0.001926691,131.0014496,11.7987299,422,384,0.002103306,60.47105598,120942,57.44750214,0.000219275,1090.500122,1.743911266,2.839843988,11.6569376,18.98255157,105,070600060901
4,F070600060901_13,2874.916046,24974.334,6.168660641,1023.997681,39,784.2834473,20.85007286,243.0452271,6.045287609,1.727224946,24.08245099,0.002723464,131.0007935,11.79868317,598,544,0.002979684,76.04601431,152092,72.24371529,0.000275751,1808.281128,1.882348657,3.324046135,14.1742115,25.0302906,105,070600060901
5,F070600060901_336,7161.545729,62599.95031,15.46218777,2566.723145,46,2318.709717,52.26219559,609.2102051,15.15294361,4.32941246,46.60464531,0.00527048,130.9986877,11.79853535,1156,1051,0.005756705,34.34382672,68688,32.6266362,0.000124534,4885.432617,2.442172289,4.648365974,78.66956329,149.7375488,105,070600060901
6,F070600060901_37,7610.401724,66709.6033,16.47727203,2735.227051,38,2041.204468,55.69318008,649.2045288,16.14772606,4.613636017,49.31730366,0.005577253,142.3322754,12.65258884,1312,1194,0.006539967,42.07613963,84153,39.97233188,0.000152573,4776.431641,2.29080987,4.000361443,68.42800903,119.4934464,105,070600060901
7,F070600060901_38,3385.413885,29904.27756,7.386356354,1226.135132,45,1083.578491,24.96588516,291.0224304,7.238629341,2.068179846,16.62734985,0.001880373,139.5002747,12.428545,435,396,0.002169034,64.28779602,128576,61.07340622,0.000233115,2309.713623,3.09630084,5.83261013,20.07641602,37.81864929,105,070600060901
8,F070600060901_39,5036.51368,43910.91276,10.8459959,1800.435303,43,1520.391602,36.65946579,427.3322449,10.629076,3.036878824,32.30644512,0.003653509,151.4006958,13.42159176,913,832,0.004557163,135.5050926,271010,128.7298374,0.000491356,3320.826904,2.163984776,3.991378546,13.9861536,25.79686928,105,070600060901
9,F070600060901_53,1080.77835,9356.169586,2.310973883,383.6216736,73,549.9655762,7.8110919,91.05236816,2.264754295,0.647072673,7.088815808,0.000801668,131.0002136,11.79864216,176,160,0.000876378,10.81215012,21625,10.27154255,3.9206E-05,933.5872803,2.39763546,5.834920406,37.34801102,90.89066315,105,070600060901
10,F070600060901_54,2553.858536,22302.38563,5.508689404,914.4424438,30,538.7498169,18.61936951,217.0423584,5.398515701,1.542433023,14.60359262,0.001651508,131.0034943,11.7988739,362,330,0.001807529,42.73097038,85462,40.59442014,0.000154947,1453.192261,2.771037817,4.403613091,22.52630806,35.79783249,105,070600060901
11,F070600060901_56,3832.734819,33735.53456,8.332676888,1383.224365,35,950.7584229,28.16444778,328.3074646,8.166023254,2.333149433,21.95159379,0.002482487,159.3314972,14.16373158,654,595,0.003259029,92.44234552,184885,87.82022884,0.000335206,2333.98291,2.324746847,3.922660351,15.75063515,26.5768261,105,070600060901
12,F070600060901_57,2192.527317,19259.85545,4.757184505,789.692627,36,558.3031006,16.07928276,187.433075,4.66204071,1.3320117,11.53471732,0.001304452,159.3332062,14.16389847,343,312,0.001708936,36.68476868,73369,34.85053015,0.000133023,1347.995728,2.531066179,4.320498943,22.65941429,38.67934799,105,070600060901
13,F070600060901_58,2993.828349,26406.07966,6.522301674,1082.702026,39,829.2454224,22.04537964,256.9786987,6.391855717,1.826244473,21.77439031,0.002462448,159.3337555,14.16395283,648,590,0.003231642,91.29206443,182585,86.7274648,0.000331035,1911.94751,1.835088134,3.240588903,12.48395824,22.04546738,105,070600060901
14,F070600060901_61,5225.714989,45419.38164,11.21858692,1862.2854,34,1243.468262,37.91882324,442.0123291,10.99421501,3.141204357,31.11360101,0.003518611,159.3327332,14.16385269,927,844,0.004622891,126.2995538,252599,119.9845728,0.000457976,3105.753662,2.206499338,3.679802895,15.52103996,25.88460732,105,070600060901
15,F070600060901_718,5856.831306,51895.29919,12.81813908,2127.811035,40,1671.485352,43.32530975,505.034668,12.56177616,3.589078903,36.14287311,0.004087367,130.9987946,11.79854298,896,815,0.004464048,147.5083346,295017,140.1329248,0.000534881,3799.296387,2.610810995,4.661713123,15.18423367,27.11208916,105,070600060901
