OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,radial
1,F070600060901_101,2137.768343,18605.03834,4.595444679,795.0119019,40,599.2459717,15.53260326,181.0605164,4.503535748,1.286724567,10.3313328,0.001168362,159.3362579,14.16419792,307,280,0.001533661,47.66392851,95328,45.28073311,0.000172835,1394.257813,2.839328289,4.979492188,17.55739975,30.79141426,105,070600060901,32
2,F070600060901_11,6595.563645,57431.68522,14.18562603,2454.113281,41,1896.050781,47.9474144,558.9136353,13.90191364,3.971975327,44.42568351,0.005024064,131.0013428,11.79872227,1102,1003,0.005493792,32.59554219,65191,30.96576552,0.000118195,4350.164063,2.446773052,4.337152481,79.25246429,140.483017,105,070600060901,32
3,F070600060901_12,1900.370503,16332.42136,4.034108162,697.9006958,32,420.8382263,13.63528538,158.9438629,3.953425884,1.129550338,17.03692055,0.001926691,131.0014496,11.7987299,422,384,0.002103306,60.47105598,120942,57.44750214,0.000219275,1118.738892,1.817449689,2.91338253,12.14849472,19.47410774,105,070600060901,32
4,F070600060901_13,2874.916046,24974.334,6.168660641,1067.178345,39,784.2834473,20.85007286,243.0452271,6.045287609,1.727224946,24.08245099,0.002723464,131.0007935,11.79868317,598,544,0.002979684,76.04601431,152092,72.24371529,0.000275751,1851.461792,1.961724877,3.403422356,14.77191925,25.62799835,105,070600060901,32
5,F070600060901_336,7161.545729,62599.95031,15.46218777,2674.958496,46,2318.709717,52.26219559,609.2102051,15.15294361,4.32941246,46.60464531,0.00527048,130.9986877,11.79853535,1156,1051,0.005756705,34.34382672,68688,32.6266362,0.000124534,4993.667969,2.545155525,4.751348972,81.98695374,153.0549469,105,070600060901,32
6,F070600060901_37,7610.401724,66709.6033,16.47727203,2850.568115,38,2041.204468,55.69318008,649.2045288,16.14772606,4.613636017,49.31730366,0.005577253,142.3322754,12.65258884,1312,1194,0.006539967,42.07613963,84153,39.97233188,0.000152573,4891.772461,2.387410402,4.096961975,71.31352997,122.3789597,105,070600060901,32
7,F070600060901_38,4241.73238,37471.56806,9.255476952,1601.19751,39,1176.741455,31.28351212,364.665802,9.070367813,2.591533661,21.94467163,0.002481705,139.5002747,12.428545,573,521,0.002853704,84.84662628,169693,80.60429382,0.000307663,2777.938965,3.073315859,5.331936359,19.86491585,34.46390915,105,070600060901,32
8,F070600060901_39,5036.51368,43910.91276,10.8459959,1876.3573,43,1520.391602,36.65946579,427.3322449,10.629076,3.036878824,32.30644512,0.003653509,151.4006958,13.42159176,913,832,0.004557163,135.5050926,271010,128.7298374,0.000491356,3396.749023,2.255237103,4.082631111,14.57593155,26.38664818,105,070600060901,32
9,F070600060901_53,1080.77835,9356.169586,2.310973883,399.7984924,73,549.9655762,7.8110919,91.05236816,2.264754295,0.647072673,7.088815808,0.000801668,131.0002136,11.79864216,176,160,0.000876378,10.81215012,21625,10.27154255,3.9206E-05,949.7640381,2.498740673,5.936025143,38.92292786,92.46556854,105,070600060901,32
10,F070600060901_54,2553.858536,22302.38563,5.508689404,953.0032959,30,538.7498169,18.61936951,217.0423584,5.398515701,1.542433023,14.60359262,0.001651508,131.0034943,11.7988739,362,330,0.001807529,42.73097038,85462,40.59442014,0.000154947,1491.753174,2.88788867,4.520463943,23.47621346,36.74773788,105,070600060901,32
11,F070600060901_56,3832.734819,33735.53456,8.332676888,1441.553101,35,950.7584229,28.16444778,328.3074646,8.166023254,2.333149433,21.95159379,0.002482487,159.3314972,14.16373158,654,595,0.003259029,92.44234552,184885,87.82022884,0.000335206,2392.311523,2.422778368,4.020691872,16.41481781,27.24100685,105,070600060901,32
12,F070600060901_57,3320.818558,29050.92246,7.175577641,1241.374878,35,818.7334595,24.2534523,282.7177734,7.032065868,2.009161711,17.67373514,0.001998708,159.3332062,14.16389847,527,480,0.002629133,56.20916939,112418,53.39871025,0.000203821,2060.108398,2.586197615,4.291892529,23.24728203,38.57974243,105,070600060901,32
13,F070600060901_58,2993.828349,26406.07966,6.522301674,1128.358154,39,829.2454224,22.04537964,256.9786987,6.391855717,1.826244473,21.77439031,0.002462448,159.3337555,14.16395283,648,590,0.003231642,91.29206443,182585,86.7274648,0.000331035,1957.603516,1.912471414,3.317971945,13.01039028,22.57189751,105,070600060901,32
14,F070600060901_61,5225.714989,45419.38164,11.21858692,1940.815552,34,1243.468262,37.91882324,442.0123291,10.99421501,3.141204357,31.11360101,0.003518611,159.3327332,14.16385269,927,844,0.004622891,126.2995538,252599,119.9845728,0.000457976,3184.283691,2.299544573,3.772847891,16.17554283,26.53911018,105,070600060901,32
15,F070600060901_718,5856.831306,51895.29919,12.81813908,2217.538086,40,1671.485352,43.32530975,505.034668,12.56177616,3.589078903,36.14287311,0.004087367,130.9987946,11.79854298,896,815,0.004464048,147.5083346,295017,140.1329248,0.000534881,3889.023438,2.720905542,4.771807671,15.82453251,27.75238991,105,070600060901,32
16,F070600060901_745,4626.519404,41515.17029,10.25424671,1773.984741,40,1337.153931,34.65935516,404.017334,10.04916191,2.871189117,23.09147835,0.002611396,139.498703,12.42842293,603,549,0.00300707,16.9777832,33956,16.12889481,6.15633E-05,3111.138672,3.231301785,5.666919231,109.9879913,192.8922424,105,070600060901,32
17,F070600060901_746,837.1504209,7128.303715,1.760691047,304.5995483,37,212.3745575,5.951135635,69.37122345,1.725477219,0.492993504,4.48932457,0.000507694,139.4930878,12.42798615,117,106,0.0005806,8.937083244,17874,8.490228653,3.24068E-05,516.9741211,2.873580694,4.877114296,35.87648392,60.89048386,105,070600060901,32
18,F070600060901_9,3599.332815,31600.50046,7.805323601,1350.320923,36,916.0327148,26.38199425,307.5297546,7.649217129,2.185490608,21.73189867,0.002457642,148.0012665,13.12380219,600,547,0.002996116,72.96162748,145924,69.31354856,0.000264567,2266.353516,2.468594074,4.143242359,19.48134232,32.69712067,105,070600060901,32
19,F070600061002_102,7467.092719,66425.42328,16.4070797,2838.424805,41,2192.970215,55.4559288,646.4389648,16.07893753,4.59398222,41.66393942,0.00471174,139.4986267,12.42841721,1088,989,0.005417109,180.8479474,361696,171.8055472,0.000655774,5031.39502,2.86999464,5.087356091,16.52114677,29.28540421,105,070600061002,32
20,F070600061002_111,4251.457612,37074.26428,9.157342911,1584.220337,60,1791.17627,30.95181847,360.7993164,8.974196434,2.56405592,25.73045389,0.002909836,131.0032959,11.7988596,639,582,0.003187823,98.60030454,197201,93.67028941,0.000357536,3375.396484,2.722028017,5.799650192,16.91273117,36.03486633,105,070600061002,32
21,F070600061002_112,3561.159005,31252.10139,7.719269276,1335.433594,42,1056.922241,26.0911293,304.1392212,7.564883709,2.161395311,24.40831539,0.002760316,131.0007629,11.79868126,605,550,0.003012548,18.01437967,36027,17.11366106,6.53221E-05,2392.355957,2.428061008,4.349738121,78.0331955,139.7921753,105,070600061002,32
22,F070600061002_113,3517.207165,30061.7275,7.425246716,1284.567627,52,1258.727783,25.09733391,292.554718,7.276741982,2.079069138,20.41630991,0.002308863,131.000946,11.79869461,507,463,0.002536017,83.91457461,167830,79.71884743,0.000304283,2543.29541,2.774444103,5.493078709,16.11372566,31.90331459,105,070600061002,32
23,F070600061002_117,2217.095702,19488.54673,4.813671112,832.7650757,39,612.0101318,16.27020836,189.6586456,4.71739769,1.347827911,13.4507409,0.001521133,130.9975433,11.79845428,333,303,0.00165964,37.99672427,75993,36.09688958,0.00013778,1444.775146,2.748399496,4.76823473,23.07027245,40.02492142,105,070600061002,32
24,F070600061002_118,3085.598931,27163.99323,6.709506512,1160.744629,55,1203.014526,22.6781311,264.3545532,6.575316429,1.878661871,24.17915374,0.0027344,131.0032806,11.79885864,600,547,0.002996116,54.64820552,109297,51.91579437,0.00019816,2363.759277,2.122019529,4.321314812,22.35821724,45.53063965,105,070600061002,32
25,F070600061002_120,3089.811079,27505.95401,6.793970585,1175.356934,35,775.1920166,22.96362114,267.6824341,6.658091068,1.902311802,17.01516533,0.001924231,130.9980621,11.79849052,422,384,0.002103306,63.5699234,127140,60.39142609,0.000230511,1950.54895,3.060825348,5.079554558,19.46231461,32.29844284,105,070600061002,32
26,F070600061002_170,4007.209472,34410.34401,8.499355316,1470.388428,49,1613.292969,28.72782135,334.8746033,8.329368591,2.379819393,29.29468804,0.003312912,131.0003967,11.79865551,727,661,0.003620535,51.90313306,103807,49.30797603,0.000188206,3083.681396,2.224490881,4.665175915,29.82049942,62.53919983,105,070600061002,32
27,F070600061002_172,3510.601546,30564.45192,7.549419403,1306.049561,33,812.1665649,25.51703835,297.447113,7.398430824,2.113837481,19.50184283,0.002205447,130.9999237,11.79862213,484,441,0.002415516,83.70475668,167410,79.5195176,0.000303523,2118.216064,2.961563587,4.803211212,16.42426491,26.63768768,105,070600061002,32
28,F070600061002_182,6938.704432,60402.66915,14.91945934,2581.066406,33,1605.0354,50.42777252,587.8267212,14.62106991,4.17744875,38.48533964,0.004352275,130.999649,11.79860306,954,868,0.004754348,34.64703894,69294,32.91468763,0.000125634,4186.101563,2.973578691,4.822697639,78.41685486,127.1803513,105,070600061002,32
29,F070600061002_262,1992.392133,17428.79773,4.304913044,744.749939,60,842.0410156,14.55060577,169.6135712,4.21881485,1.205375671,18.02821946,0.002038796,130.9982147,11.79850197,447,407,0.002229285,63.63160896,127263,60.45002842,0.000230735,1586.791016,1.829852462,3.898749352,12.3200922,26.24963188,105,070600061002,32
30,F070600061002_70,1529.190703,13194.96045,3.259155273,563.8338623,71,754.3641357,11.01594448,128.4107208,3.193972111,0.912563503,11.5099175,0.001301647,131.0001221,11.79863644,286,260,0.001424113,6.114006996,12228,5.808306694,2.21701E-05,1318.197998,2.168591738,5.069992065,97.07370758,226.9504852,105,070801030402,32
31,F070801010301_1,5669.625071,48863.04369,12.06917191,2087.966797,80,3147.640137,40.79380035,475.5253601,11.82778835,3.379368067,38.5896337,0.00436407,130.9988251,11.79854488,958,871,0.00477078,62.35935533,124719,59.24138832,0.000226122,5235.606934,2.397206545,6.01102972,35.2450676,88.3775177,108,070801010301,24
32,F070801010301_100,4174.674368,36025.98559,8.898418427,1539.426392,71,2059.62793,30.07665443,350.5976868,8.720450401,2.491557121,31.92889114,0.003610812,131.0016785,11.79874611,793,722,0.003954654,47.26084991,94521,44.89780742,0.000171373,3599.054199,2.132169485,4.984839439,34.28733826,80.161026,108,070801010301,24
33,F070801010301_108,2259.529451,19609.18673,4.843469143,837.920166,51,805.2752075,16.3709259,190.8326874,4.746599674,1.35617137,16.95685135,0.001917636,158.1997223,14.05360126,501,456,0.002497676,8.537154801,17075,8.110297013,3.09567E-05,1643.195313,1.837544203,3.603498459,103.3155975,202.6060638,108,070801010301,24
34,F070801010301_109,2365.469188,21104.07073,5.212705612,901.7980957,71,1206.532715,17.61894417,205.3806,5.108451366,1.459557533,16.51886165,0.001868104,158.202713,14.05389023,489,445,0.002437425,8.0671224,16134,7.663766444,2.92523E-05,2108.330811,2.026512623,4.737822056,117.6703491,275.1037292,108,070801010301,24
35,F070801010301_110,3762.535502,33358.84172,8.23963356,1425.456665,62,1665.394775,27.84996223,324.641571,8.074840546,2.307097435,22.00695419,0.002488748,158.1990662,14.05353832,650,592,0.003242597,9.815893173,19632,9.325098038,3.55935E-05,3090.851563,2.407866001,5.221033096,152.862381,331.4551392,108,070801010301,24
36,F070801010301_112,5247.199092,45214.12967,11.1678896,1932.044922,88,3203.844238,37.74746704,440.0148621,10.94453144,3.127009153,28.23600328,0.003193186,139.4995422,12.42848873,738,671,0.003675308,56.87337565,113747,54.02970791,0.000206229,5135.88916,2.879351616,7.654082298,35.75893784,95.0567627,108,070801010301,24
37,F070801010301_114,4036.237878,34303.31548,8.47291851,1465.814941,74,2044.006836,28.63846397,333.8329773,8.303460121,2.372417212,24.98005849,0.002824974,131.0016327,11.79874229,620,565,0.003094708,11.8687669,23738,11.27532846,4.30374E-05,3509.821777,2.594362736,6.212073803,130.0019684,311.2833252,108,070801010301,24
38,F070801010301_128,2572.241877,21695.39905,5.358763695,927.0661011,88,1537.322021,18.11262131,211.1352844,5.251588345,1.50045383,15.76208992,0.001782522,159.3331604,14.16389465,469,427,0.002338833,18.90294049,37805,17.95779365,6.85441E-05,2464.388184,2.171114922,5.771400928,51.62472153,137.2322388,108,070801010301,24
39,F070801010301_129,3955.458506,34590.73943,8.543912888,1478.096924,55,1531.923584,28.8784256,336.6301575,8.373034477,2.392295599,24.56866542,0.00277845,159.3329773,14.16387653,732,666,0.003647921,47.96445662,95929,45.56623226,0.000173924,3010.020508,2.219364643,4.519550323,32.43842697,66.05813599,108,070801010301,24
40,F070801010301_135,1968.24193,16684.74679,4.121132374,712.9558716,51,685.1794434,13.92942715,162.3726196,4.038709641,1.153917074,10.44925451,0.001181697,131.0027161,11.79881954,259,235,0.001287179,4.472757697,8946,4.249119639,1.62187E-05,1398.135254,3.033854723,5.949511528,167.7890778,329.0411682,108,070801010301,24
41,F070801010301_136,6203.518522,53568.42534,13.23140144,2289.032471,64,2760.599609,44.72213745,521.3171997,12.96677303,3.7047925,42.90591839,0.004852195,131.0013275,11.79872131,1064,968,0.005302084,20.73385192,41469,19.69715922,7.51832E-05,5049.631836,2.36470294,5.216561794,116.2112961,256.3634644,108,070801010301,24
42,F070801010301_148,3764.168007,32581.21483,8.047559738,1392.227783,58,1521.632813,27.20075226,317.0738525,7.886608601,2.253316641,21.92898297,0.00247993,131.0000763,11.79863262,544,496,0.00271677,45.47482705,90948,43.20108676,0.000164897,2913.860596,2.806910753,5.874719143,32.22668457,67.44877625,108,070801010301,24
