OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,TotalCost,ReducedCostLB,MLRA,HUC12
1,F070600060901_101,2137.768343,18605.03834,4.595444679,188.4132385,39,514.368103,10.3313328,0.001358599,159.3362579,14.16419792,307,280,0.001533661,702.7813721,2.509933472,105,070600060901
2,F070600060901_11,6595.563645,57431.68522,14.18562603,581.6106567,40,1628.509888,44.42568351,0.005842102,131.0013428,11.79872227,1102,1003,0.005493792,2210.120605,2.203510046,105,070600060901
3,F070600060901_12,1900.370503,16332.42136,4.034108162,165.3984375,31,358.9146423,17.03692055,0.002240403,131.0014496,11.7987299,422,384,0.002103306,524.3131104,1.365398765,105,070600060901
4,F070600060901_13,2874.916046,24974.334,6.168660641,252.9150848,38,672.7540894,24.08245099,0.00316691,131.0007935,11.79868317,598,544,0.002979684,925.6691895,1.70159781,105,070600060901
5,F070600060901_336,7161.545729,62599.95031,15.46218777,633.949707,46,2041.317993,46.60464531,0.006128642,130.9986877,11.79853535,1156,1051,0.005756705,2675.267578,2.545449734,105,070600060901
6,F070600060901_37,7610.401724,66709.6033,16.47727203,675.5681763,37,1749.721558,49.31730366,0.006485364,142.3322754,12.65258884,1312,1194,0.006539967,2425.289795,2.031230927,105,070600060901
7,F070600060901_38,4241.73238,37471.56806,9.255476952,379.4745483,39,1035.965698,21.94467163,0.002885786,139.5002747,12.428545,573,521,0.002853704,1415.440186,2.716775894,105,070600060901
8,F070600060901_39,5036.51368,43910.91276,10.8459959,444.6858215,43,1338.504272,32.30644512,0.004248388,151.4006958,13.42159176,913,832,0.004557163,1783.190063,2.14325738,105,070600060901
9,F070600060901_53,1080.77835,9356.169586,2.310973883,94.74993134,72,477.5396423,7.088815808,0.000932199,131.0002136,11.79864216,176,160,0.000876378,572.2895508,3.576809645,105,070600060901
10,F070600060901_54,2553.858536,22302.38563,5.508689404,225.8562622,30,474.2981567,14.60359262,0.001920414,131.0034943,11.7988739,362,330,0.001807529,700.1544189,2.121680021,105,070600060901
