OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,meanPIdx,OpportunityCost,SUM_cropAcres,SUM_pctWScropAcres,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,ReducedCostTon,MLRA,HUC12
1,F070600060901_101,2137.768343,18605.03834,4.595444679,188.4132385,39,584.2648315,10.3313328,0.001358599,47.66392851,95328,45.28073311,16687.34534,772.6781006,17.06416893,104,070600060901
2,F070600060901_11,6595.563645,57431.68522,14.18562603,581.6106567,40,1849.805664,44.42568351,0.005842102,32.59554219,65191,30.96576552,11411.83871,2431.41626,78.5194931,104,070600060901
3,F070600060901_12,1900.370503,16332.42136,4.034108162,165.3984375,31,407.6870117,17.03692055,0.002240403,60.47105598,120942,57.44750214,21171.17461,573.0854492,9.975811005,104,070600060901
4,F070600060901_13,2874.916046,24974.334,6.168660641,252.9150848,38,764.173645,24.08245099,0.00316691,76.04601431,152092,72.24371529,26624.03506,1017.088745,14.07857704,104,070600060901
5,F070600060901_336,7161.545729,62599.95031,15.46218777,633.949707,46,2318.709717,46.60464531,0.006128642,34.34382672,68688,32.6266362,12023.92074,2952.659424,90.49843597,104,070600060901
6,F070600060901_37,7610.401724,66709.6033,16.47727203,675.5681763,37,1987.488525,49.31730366,0.006485364,42.07613963,84153,39.97233188,14731.03593,2663.056641,66.62249756,104,070600060901
7,F070600060901_38,4241.73238,37471.56806,9.255476952,379.4745483,39,1176.741455,21.94467163,0.002885786,84.84662628,169693,80.60429382,29705.16586,1556.216064,19.30686378,104,070600060901
8,F070600060901_39,5036.51368,43910.91276,10.8459959,444.6858215,43,1520.391602,32.30644512,0.004248388,135.5050926,271010,128.7298374,47440.91152,1965.077393,15.26512718,104,070600060901
9,F070600060901_53,1080.77835,9356.169586,2.310973883,94.74993134,72,542.4317627,7.088815808,0.000932199,10.81215012,21625,10.27154255,3785.379917,637.1817017,62.03369141,104,070600060901
10,F070600060901_54,2553.858536,22302.38563,5.508689404,225.8562622,30,538.7498169,14.60359262,0.001920414,42.73097038,85462,40.59442014,14960.29462,764.6060791,18.83525085,104,070600060901
11,F070600060901_56,3832.734819,33735.53456,8.332676888,341.63974,34,923.5939331,21.95159379,0.002886696,92.44234552,184885,87.82022884,32364.46025,1265.233643,14.40708637,104,070600060901
12,F070600060901_57,3320.818558,29050.92246,7.175577641,294.1986694,34,795.3410645,17.67373514,0.002324146,56.20916939,112418,53.39871025,19679.07005,1089.539795,20.40386009,104,070600060901
13,F070600060901_58,2993.828349,26406.07966,6.522301674,267.4143677,38,807.9827271,21.77439031,0.002863394,91.29206443,182585,86.7274648,31961.74303,1075.397095,12.39972973,104,070600060901
14,F070600060901_61,5225.714989,45419.38164,11.21858692,459.9620667,34,1243.468262,31.11360292,0.004091526,126.2995614,252599,119.9845804,44218.01485,1703.430298,14.1970768,104,070600060901
15,F070600060901_718,5856.831306,51895.29919,12.81813908,525.5437012,40,1671.485352,36.14287311,0.00475289,147.5083346,295017,140.1329248,51643.30057,2197.029053,15.67817879,104,070600060901
16,F070600060901_745,4626.519404,41515.17029,10.25424671,420.4241028,40,1337.153931,23.09147835,0.003036594,16.9777832,33956,16.12889481,5943.9947,1757.578003,108.9707642,104,070600060901
17,F070600060901_746,837.1504209,7128.303715,1.760691047,72.1883316,36,206.6347046,4.48932457,0.000590359,8.937083244,17874,8.490228653,3128.91086,278.8230286,32.84046173,104,070600060901
18,F070600060901_9,3599.332815,31600.50046,7.805323601,320.01828,35,890.5873413,21.73189867,0.002857806,72.96162748,145924,69.31354856,25544.17834,1210.605591,17.46564102,104,070600060901
19,F070600061002_102,7467.092719,66425.42328,16.4070797,672.6902466,40,2139.483154,41.66393942,0.005478925,180.8479474,361696,171.8055472,63315.63784,2812.17334,16.36835098,104,070600061002
20,F070600061002_111,4251.457612,37074.26428,9.157342911,375.4510498,59,1761.323364,25.73045413,0.003383627,98.6003055,197201,93.67029037,34520.38817,2136.774414,22.81165504,104,070600061002
21,F070600061002_112,3561.159005,31252.10139,7.719269276,316.4900513,41,1031.757446,24.40831539,0.003209762,18.01437967,36027,17.11366106,6306.911407,1348.247559,78.7819519,104,070600061002
22,F070600061002_113,3517.207165,30061.7275,7.425246716,304.4351196,51,1234.521484,20.41630991,0.002684802,83.91457461,167830,79.71884743,29378.85158,1538.956543,19.30480194,104,070600061002
23,F070600061002_117,2217.095702,19488.54673,4.813671112,197.3605194,39,612.0101318,13.4507409,0.00176881,37.99672427,75993,36.09688958,13302.81603,809.3706665,22.42217255,104,070600061002
24,F070600061002_118,3085.598931,27163.99323,6.709506512,275.0897522,55,1203.014526,24.17915374,0.003179627,54.64820552,109297,51.91579437,19132.56986,1478.104248,28.47118568,104,070600061002
25,F070600061002_120,3089.811079,27505.95401,6.793970585,278.5527954,34,753.0437012,17.01516533,0.002237542,63.5699234,127140,60.39142609,22256.1013,1031.596436,17.0818367,104,070600061002
26,F070600061002_170,4007.209472,34410.34401,8.499355316,348.4735718,48,1580.368652,29.29468804,0.003852334,51.90313306,103807,49.30797603,18171.50845,1928.842285,39.11825943,104,070600061002
27,F070600061002_172,3510.601546,30564.45192,7.549419403,309.5261841,33,812.1665649,19.50184283,0.002564547,83.70475668,167410,79.5195176,29305.3924,1121.692749,14.10587978,104,070600061002
28,F070600061002_182,6938.704432,60402.66915,14.91945934,611.6978149,33,1605.0354,38.48533964,0.00506093,34.64703894,69294,32.91468763,12130.07656,2216.733154,67.34783936,104,070600061002
29,F070600061002_262,1992.392133,17428.79773,4.304913044,176.5014343,60,842.0410156,18.02821946,0.002370762,63.63160896,127263,60.45002842,22277.69806,1018.54248,16.8493309,104,070600061002
30,F070600061002_70,1529.190703,13194.96045,3.259155273,133.6253662,70,743.7392578,11.5099175,0.001513587,6.114006996,12228,5.808306694,2140.539983,877.364624,151.053421,104,070600061002
31,F070801010301_1,5669.625071,48863.04369,12.06917191,494.8360596,80,3147.640137,38.5896337,0.005074645,62.35935533,124719,59.24138832,21832.27695,3642.476074,61.48532486,108c,070801010301
