OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,Nrate,NO3conc,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,TotalCost,ReducedCostLB,MLRA,HUC12
1,F070801010301_204,3382.23882,297264.4634,0,3010.397217,0,159.3336945,14.16394615,73.42432404,0.009655505,2187,919,0.005033693,3010.397217,3.275731564,108c,070801010301
2,F070801010301_214,1685.949245,129971.7086,0,1316.223511,0,158.2020416,14.05382538,32.10301208,0.004221636,949,399,0.002185466,1316.223511,3.298805714,108c,070801010301
3,F070801010301_273,2143.310687,257808.2766,0,2610.824463,0,130.997406,11.79844475,63.67864609,0.008373921,1580,664,0.003636967,2610.824463,3.931964636,108c,070801010301
4,F070801010301_509,4681.609714,880937.2434,0,8921.250977,0,147.9997711,13.12367344,217.5914917,0.028613893,6004,2522,0.013813901,8921.250977,3.537371635,108c,070801010301
5,F070801010403_47,2571.438278,321344.968,0,3254.260498,0,156.5003052,13.89092827,79.37220764,0.010437668,2318,974,0.005334948,3254.260498,3.34112978,108c,070801010403
6,F070801010602_24,1998.048147,203940.8149,0,2065.308594,0,131.003891,11.79890156,50.37338257,0.006624241,1250,525,0.002875614,2065.308594,3.933921099,108c,070801010602
7,F070801010602_25,2225.911591,223184.9958,0,2260.194336,0,130.9999695,11.79862499,55.12669373,0.007249315,1368,575,0.003149482,2260.194336,3.930772781,108c,070801010602
8,F070801010602_255,3068.573313,243320.2325,0,2464.104004,0,130.9980011,11.79848671,60.10009766,0.007903332,1491,626,0.003428827,2464.104004,3.93626833,108c,070801010602
9,F070801010602_779,3353.282541,305657.736,0,3095.395996,0,131.0006409,11.79867268,75.49745941,0.009928129,1873,787,0.004310682,3095.395996,3.933158875,108c,070801010602
10,F070801010605_106,2079.06913,186350.5301,0,1887.171875,0,131.0030975,11.79884624,46.02857971,0.006052888,1142,480,0.002629132,1887.171875,3.931607962,108c,070801010605
11,F070801010605_379,2908.488186,229683.8728,0,2326.008545,0,130.9992981,11.79857826,56.73191833,0.007460407,1407,591,0.003237119,2326.008545,3.935716629,108c,070801010605
12,F070801030301_244,1399.014368,96273.89379,0,974.9656982,0,139.4961243,12.42822266,23.77965164,0.003127091,621,261,0.001429591,974.9656982,3.735500813,108c,070801030301
13,F070801030301_247,1530.656937,134760.7754,0,1364.722412,0,139.5025787,12.42872429,33.28591156,0.004377191,870,365,0.001999236,1364.722412,3.738965511,108c,070801030301
14,F070801030407_139,4432.497651,471722.9983,0,4777.138672,0,139.5002594,12.42854404,116.5155792,0.015322126,3045,1279,0.007005543,4777.138672,3.735057592,108c,070801030407
15,F070801030407_250,4764.674183,571365.8501,0,5786.222168,0,130.999527,11.79859447,141.1273651,0.018558646,3501,1470,0.008051719,5786.222168,3.936205626,108c,070801030407
16,F070801030407_356,2799.246465,193644.4489,0,1961.037354,0,147.9993591,13.12363815,47.83017731,0.006289803,1320,554,0.003034457,1961.037354,3.539778709,108c,070801030407
17,F070801030407_460,4283.7998,701122.1961,0,7100.264648,0,131.0005646,11.79866695,173.1771851,0.022773286,4296,1804,0.009881156,7100.264648,3.935845137,108c,070801030407
18,F070801030408_93,3055.442573,467356.4929,0,4732.919434,0,131.0011902,11.79871178,115.4370575,0.015180298,2864,1203,0.006589264,4732.919434,3.934263945,108c,070801030408
