OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,cpSEDload,cpSEDloadlbs,cpSEDLoadReduced,cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12
1,F070801010301_204,3382.23882,297264.4634,73.42432404,3010.397217,16516.06836,82.96948242,850.4371948,25.69851303,1468.48645,73.42432404,0.008303496,2186.748535,1989.941162,0.010899623,126.9105911,253821.1875,126.9105911,0.000484412,19526.46484,1.512807131,9.812583923,23.72061539,153.8600159,108c,070801010301
2,F070801010301_214,1685.949245,129971.7086,32.10301208,1316.223511,7116.594727,36.27640533,371.8331604,11.23605442,642.0602417,32.10301208,0.003630503,948.6695557,863.2893066,0.004728546,15.08114719,30162.29492,15.08114719,5.75641E-05,8432.818359,1.524660945,9.768241882,87.2760849,559.1629028,108c,070801010301
3,F070801010301_273,2143.310687,257808.2766,63.67864609,2610.824463,17437.75977,71.95687103,737.5579224,22.28752518,1273.572876,63.67864609,0.007201365,1579.767578,1437.588501,0.007874189,74.1537323,148307.4531,74.1537323,0.000283042,20048.58398,1.816113949,13.94598198,35.20826721,270.3651428,108c,070801010301
4,F070801010301_509,4681.609714,880937.2434,217.5914917,8921.250977,53201.125,245.8783875,2520.253418,76.15702057,4351.830078,217.5914917,0.024607241,6004.432617,5464.033691,0.029928477,353.097168,706194.375,353.097168,0.001347757,62122.375,1.632722497,11.36932468,25.26571083,175.9356384,108c,070801010301
5,F070801010403_47,2571.438278,321344.968,79.37220764,3254.260498,22511.54492,89.69059753,919.3286133,27.78027344,1587.444092,79.37220764,0.008976136,2318.325195,2109.676025,0.011555454,90.30076599,180601.5313,90.30076599,0.000344674,25765.80469,1.542540431,12.2131567,36.03801727,285.3331909,108c,070801010403
6,F070801010602_24,1998.048147,203940.8149,50.37338257,2065.308594,12973.16211,56.92192078,583.449707,17.6306839,1007.467651,50.37338257,0.005696684,1249.733276,1137.257324,0.006229167,23.15556908,46311.14063,23.15556908,8.83838E-05,15038.4707,1.816043377,13.22345448,89.19273376,649.4537354,108c,070801010602
7,F070801010602_25,2225.911591,223184.9958,55.12669373,2260.194336,16174.16992,62.2931633,638.5049438,19.29434204,1102.533936,55.12669373,0.006234232,1367.62793,1244.541382,0.006816801,26.76033401,53520.66797,26.76033401,0.000102143,18434.36328,1.816086173,14.81217384,84.46061707,688.8689575,108c,070801010602
8,F070801010602_255,3068.573313,243320.2325,60.10009766,2464.104004,16261.88379,67.91310883,696.109375,21.03503418,1202.001953,60.10009766,0.00679667,1490.994751,1356.805176,0.00743171,90.58914185,181178.2813,90.58914185,0.000345775,18725.98828,1.816107512,13.80153084,27.20087624,206.7133789,108c,070801010602
9,F070801010602_779,3353.282541,305657.736,75.49745941,3095.395752,22152.17969,85.31212616,874.4492798,26.42411041,1509.949219,75.49745941,0.008537944,1873.010132,1704.439209,0.009335826,52.39812088,104796.2422,52.39812088,0.000200001,25247.57617,1.816078663,14.81283474,59.07455826,481.8412476,108c,070801010602
10,F070801010605_106,2079.06913,186350.5301,46.02857971,1887.171753,11554.09375,52.01229477,533.1260376,16.11000252,920.5715942,46.02857971,0.005205334,1141.935913,1039.161621,0.005691862,20.26075554,40521.51172,20.26075554,7.73344E-05,13441.26563,1.816052198,12.93472099,93.14419556,663.4138184,108c,070801010605
11,F070801010605_379,2908.488186,229683.8728,56.73191833,2326.008545,11836.54688,64.10707092,657.0974731,19.85617065,1134.638428,56.73191833,0.006415765,1407.446167,1280.776001,0.007015271,30.91449356,61828.98828,30.91449356,0.000117999,14162.55566,1.816093206,11.05779266,75.24006653,458.1202698,108c,070801010605
12,F070801030301_244,1399.014368,96273.89379,23.77965164,974.9656982,7054.470215,26.87100601,275.4278259,8.322877884,475.5930176,23.77965164,0.002689221,621.4255981,565.4973145,0.003097432,7.962064266,15924.12891,7.962064266,3.03909E-05,8029.436035,1.72408545,14.19889355,122.4513702,1008.461609,108c,070801030301
13,F070801030301_247,1530.656937,134760.7754,33.28591156,1364.722412,9657.575195,37.61307907,385.5340576,11.65006924,665.7182617,33.28591156,0.003764276,869.8845825,791.5949707,0.00433585,24.92290878,49845.82031,24.92290878,9.51297E-05,11022.29785,1.72401607,13.92416382,54.75775146,442.2556763,108c,070801030301
14,F070801030407_139,4432.497651,471722.9983,116.5155792,4777.138672,16333.97949,131.6625977,1349.541626,40.78045273,2330.311523,116.5155792,0.01317665,3044.940918,2770.89624,0.015177195,415.4944458,830988.875,415.4944458,0.001585925,21111.11719,1.724040985,7.618876934,11.49747944,50.80962372,108c,070801030407
15,F070801030407_250,4764.674183,571365.8501,141.1273651,5786.222168,29445.01953,159.4739227,1634.607666,49.39457703,2822.547363,141.1273651,0.015959976,3501.193848,3186.086426,0.01745134,78.86669159,157733.375,78.86669159,0.000301031,35231.24219,1.816090822,11.05784225,73.36711884,446.7189026,108c,070801030407
16,F070801030407_356,2799.246465,193644.4489,47.83017731,1961.037231,7329.275879,54.04809952,553.993042,16.74056244,956.6035156,47.83017731,0.005409075,1319.869141,1201.080933,0.006578752,37.70714569,75414.29688,37.70714569,0.000143927,9290.313477,1.632727027,7.734960556,52.00704575,246.3807068,108c,070801030407
17,F070801030407_460,4283.7998,701122.1961,173.1771851,7100.264648,31948.4707,195.6902161,2005.824707,60.61201477,3463.543701,173.1771851,0.019584464,4296.335938,3909.665771,0.021414645,631.980957,1263961.875,631.980957,0.002412244,39048.73438,1.816079736,9.987742424,11.23493481,61.78783417,108c,070801030407
18,F070801030408_93,3055.442573,467356.4929,115.4370575,4732.919434,27471.70898,130.4438782,1337.049805,40.40296936,2308.741211,115.4370575,0.013054681,2863.877686,2606.128662,0.014274703,282.5376892,565075.375,282.5376892,0.001078434,32204.62891,1.816072822,12.35726738,16.75146294,113.9834824,108c,070801030408
19,F070801030603_62,2135.181757,223445.1881,55.19095993,2262.829346,14753.64746,62.36578369,639.2492676,19.3168354,1103.819214,55.19095993,0.006241499,1369.224609,1245.994385,0.006824759,17.9928093,35985.61719,17.9928093,6.86778E-05,17016.47656,1.816083074,13.65694523,125.7629852,945.7376099,108c,070801030603
20,F070801030603_70,1591.936758,141229.3165,34.88364029,1430.229248,9211.374023,39.41851425,404.0397644,12.20927429,697.6727905,34.88364029,0.003944962,865.4220581,787.5340576,0.004313607,54.2435379,108487.0703,54.2435379,0.000207045,10641.60352,1.816085577,13.51256275,26.36681366,196.1819611,108c,070801030603
21,F070802060603_528,1095.141657,71853.94272,17.7479248,727.664917,4107.933594,20.0551548,205.5653381,6.211773872,354.9584961,17.7479248,0.002007098,440.3062439,400.6786804,0.002194661,,,,,4835.598633,1.816080928,12.06851959,,,108c,070802060603
22,F070802060603_554,1723.640432,145318.8663,35.89376068,1471.644165,9946.161133,40.55994797,415.7394714,12.56281662,717.8752441,35.89376068,0.004059196,990.4679565,901.3258667,0.004936886,12.46163082,24923.26172,12.46163082,4.75655E-05,11417.80566,1.632754803,12.66778851,118.0940247,916.2368774,108c,070802060603
23,F070802060704_446,1399.855457,63756.94569,15.74796581,645.666626,3954.384277,17.79520226,182.4008179,5.511787891,314.9593201,15.74796581,0.001780924,434.5559387,395.4458923,0.002165999,37.38644028,74772.88281,37.38644028,0.000142702,4600.050781,1.632755876,11.63256645,17.27007484,123.0406189,108c,070802060704
24,F070802060704_449,2611.544059,323369.2052,79.87219238,3274.759766,19028.9082,90.25557709,925.1196899,27.95526695,1597.443848,79.87219238,0.00903268,2204.081543,2005.714233,0.010986018,246.4607391,492921.5,246.4607391,0.00094073,22303.66797,1.632714987,11.12006283,13.28714561,90.49582672,108c,070802060704
