OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,Nrate,NO3conc,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,TotalCost,ReducedCostLB,MLRA,HUC12
1,F070600060901_7,3622.598785,164709.1806,0,2359.623779,0,147.9974823,13.12347698,40.6831665,0.005349951,1123,348,0.001906121,2359.623779,6.780528069,105,070600060901
2,F070600060901_12,2912.791883,91551.44264,0,1311.565918,0,131.0014496,11.7987299,22.61320686,0.0029737,561,174,0.000953061,1311.565918,7.537734985,105,070600060901
3,F070600060901_13,4611.379915,159978.375,0,2291.850098,0,131.0007935,11.79868317,39.51465988,0.005196289,980,304,0.001665117,2291.850098,7.538980484,105,070600060901
4,F070600060901_38,4221.778508,170302.5877,0,2439.754883,0,139.5002747,12.428545,42.06473923,0.005531631,1099,341,0.00186778,2439.754883,7.154706478,105,070600060901
5,F070600060901_41,1336.684843,82213.79541,0,1177.7948,0,139.5018158,12.42866516,20.30680656,0.002670402,531,165,0.000903764,1177.7948,7.138150215,105,070600060901
6,F070600060901_54,3861.367889,111495.2981,0,1597.281616,0,131.0034943,11.7988739,27.53933907,0.003621501,683,212,0.0011612,1597.281616,7.534347057,105,070600060901
7,F070600060901_61,6936.871914,162578.4686,0,2329.099121,0,159.3327332,14.16385269,40.15688324,0.005280743,1196,371,0.0020321,2329.099121,6.277894974,105,070600060901
8,F070600060901_718,7099.580127,150424.0909,0,2154.975586,0,130.9987946,11.79854298,37.15475082,0.004885954,922,286,0.001566525,2154.975586,7.534879684,105,070600060901
9,F070600060901_724,1641.029814,92820.44996,0,1329.745728,0,130.9834595,11.79746151,22.926651,0.003014919,569,176,0.000964015,1329.745728,7.555373669,105,070600060901
10,F070600061002_39,2417.169898,326874.6713,0,4682.806641,0,130.9999847,11.7986269,80.73804474,0.01061728,2003,621,0.00340144,4682.806641,7.540751457,105,070600061002
11,F070600061002_69,4158.500453,374474.2598,0,5364.718262,0,142.3340912,12.65273476,92.49514008,0.012163371,2461,763,0.004179225,5364.718262,7.031085491,105,070600061002
12,F070600061002_111,5032.988134,150859.752,0,2161.216797,0,131.0032959,11.7988596,37.26235962,0.004900105,924,286,0.001566525,2161.216797,7.556702137,105,070600061002
13,F070600061002_112,5193.304996,193047.5769,0,2765.599609,0,131.0007629,11.79868126,47.6827507,0.006270416,1183,367,0.002010191,2765.599609,7.535693645,105,070600061002
14,F070600061002_113,7005.787163,193005.9057,0,2765.002686,0,131.000946,11.79869461,47.67245865,0.006269062,1183,367,0.002010191,2765.002686,7.534067154,105,070600061002
15,F070600061002_121,3255.691874,438007.9143,0,6274.901367,0,131.0003662,11.7986536,108.1879578,0.014227021,2684,832,0.004557163,6274.901367,7.541948795,105,070600061002
16,F070600061002_166,1545.154702,136360.8757,0,1953.505859,0,139.5006104,12.4285717,33.68113708,0.004429164,880,273,0.001495319,1953.505859,7.155699253,105,070600061002
17,F070600061002_167,2048.305098,254624.7705,0,3647.754395,0,148.000824,13.12376404,62.89231873,0.008270517,1736,538,0.002946819,3647.754395,6.780212402,105,070600061002
18,F070600061002_170,5827.945778,167640.8897,0,2401.623291,0,131.0003967,11.79865551,41.40729904,0.005445176,1027,318,0.0017418,2401.623291,7.552274704,105,070600061002
19,F070600061002_172,5351.348911,137087.4451,0,1963.914795,0,130.9999237,11.79862213,33.86059952,0.004452764,840,260,0.001424114,1963.914795,7.553518295,105,070600061002
20,F070600061002_182,6975.00756,260596.1311,0,3733.300293,0,130.999649,11.79860306,64.36724091,0.008464473,1597,495,0.002711293,3733.300293,7.542020798,105,070600061002
21,F070801010301_23,2594.435645,225672.2305,0,3232.980469,0,130.9989471,11.79855347,55.74103928,0.007330103,1383,429,0.002349787,3232.980469,7.536085129,108c,070801010301
22,F070801010301_29,4524.735927,250079.476,0,3582.638672,0,131.0003052,11.79864883,61.76963043,0.00812288,1532,475,0.002601746,3582.638672,7.542397022,108c,070801010301
23,F070801010301_37,1145.061036,58645.74919,0,840.1589966,0,131.0222015,11.80019283,14.48550034,0.001904884,359,111,0.000607987,840.1589966,7.568999767,108c,070801010301
24,F070801010301_41,8201.895666,254105.0135,0,3640.30835,0,130.9996185,11.79860115,62.7639389,0.008253635,1557,483,0.002645565,3640.30835,7.53687048,108c,070801010301
25,F070801010301_42,3762.243667,120306.9724,0,1723.5177,0,131.0021057,11.79877567,29.71582222,0.003907714,737,228,0.001248838,1723.5177,7.559288025,108c,070801010301
26,F070801010301_48,3987.219068,135241.4739,0,1937.46936,0,131.0003204,11.79864979,33.40464401,0.004392805,829,257,0.001407681,1937.46936,7.53879118,108c,070801010301
27,F070801010301_50,7636.42828,263487.9788,0,3774.72876,0,130.9984283,11.79851723,65.08152771,0.008558404,1615,501,0.002744157,3774.72876,7.534388542,108c,070801010301
28,F070801010301_51,4602.026573,163819.4219,0,2346.876953,0,130.9964142,11.79837513,40.46339798,0.005321051,1004,311,0.001703459,2346.876953,7.546227932,108c,070801010301
29,F070801010301_52,4403.021676,147765.4121,0,2116.887207,0,130.9970093,11.79841709,36.49805832,0.004799597,905,281,0.001539138,2116.887207,7.533406258,108c,070801010301
30,F070801010301_56,2216.940091,124817.8035,0,1788.139893,0,130.9940491,11.79820824,30.82999802,0.004054232,765,237,0.001298134,1788.139893,7.544894218,108c,070801010301
31,F070801010301_69,2878.920884,271763.9244,0,3893.290039,0,131.0004883,11.79866219,67.12568665,0.008827217,1665,516,0.002826317,3893.290039,7.545135498,108c,070801010301
32,F070801010301_75,3268.529046,206514.1555,0,2958.521729,0,139.5006561,12.42857456,51.00899506,0.006707827,1333,413,0.002262149,2958.521729,7.163490772,108c,070801010301
33,F070801010301_78,1176.330838,63276.36046,0,906.4971313,0,130.9897919,11.79790783,15.62926102,0.002055292,388,120,0.000657283,906.4971313,7.554142952,108c,070801010301
34,F070801010301_87,2390.994213,315298.4309,0,4516.965332,0,159.3330994,14.16388798,77.87871552,0.01024127,2319,719,0.003938221,4516.965332,6.282288551,108c,070801010301
35,F070801010301_88,1396.280894,118147.6296,0,1692.582886,0,158.2006378,14.05368996,29.1824646,0.003837576,862,267,0.001462455,1692.582886,6.339261532,108c,070801010301
36,F070801010301_95,3079.384581,357740.1306,0,5124.985352,0,130.9989471,11.79855347,88.36180878,0.011619827,2192,680,0.003724605,5124.985352,7.536743164,108c,070801010301
37,F070801010301_97,5022.4262,226393.1833,0,3243.308838,0,131.0010834,11.79870415,55.91911697,0.007353521,1387,430,0.002355264,3243.308838,7.542578697,108c,070801010301
38,F070801010301_100,6131.180358,230298.6419,0,3299.258301,0,131.0016785,11.79874611,56.88376617,0.007480375,1411,437,0.002393606,3299.258301,7.549790382,108c,070801010301
39,F070801010301_104,4076.951395,331308.0164,0,4746.318848,0,131,11.79862785,81.83307648,0.01076128,2030,629,0.003445259,4746.318848,7.545816898,108c,070801010301
40,F070801010301_108,4877.319168,144391.961,0,2068.559326,0,158.1997223,14.05360126,35.664814,0.004690024,1054,327,0.001791097,2068.559326,6.32586956,108c,070801010301
41,F070801010301_109,3120.395341,112466.8802,0,1611.200562,0,158.202713,14.05389023,27.77931976,0.003653059,821,255,0.001396727,1611.200562,6.318433762,108c,070801010301
42,F070801010301_110,5149.389567,136821.9526,0,1960.111328,0,158.1990662,14.05353832,33.79502106,0.00444414,999,310,0.001697981,1960.111328,6.322939873,108c,070801010301
43,F070801010301_112,7189.771819,274494.0002,0,3932.401123,0,139.4995422,12.42848873,67.80001831,0.008915893,1772,549,0.00300707,3932.401123,7.162843704,108c,070801010301
44,F070801010301_114,7383.620302,266576.1069,0,3818.969238,0,131.0016327,11.79874229,65.84429932,0.008658711,1634,507,0.002777021,3818.969238,7.532483578,108c,070801010301
45,F070801010301_116,1599.095542,103840.2967,0,1487.616089,0,142.3377533,12.65302944,25.64855385,0.003372857,682,211,0.001155723,1487.616089,7.050312996,108c,070801010301
46,F070801010301_134,1836.410575,175423.4175,0,2513.115967,0,130.9967041,11.79839516,43.32958221,0.005697962,1075,333,0.001823961,2513.115967,7.546895027,108c,070801010301
47,F070801010301_136,11017.92575,382235.5732,0,5475.906738,0,131.0013275,11.79872131,94.41218567,0.012415468,2342,726,0.003976563,5475.906738,7.542571068,108c,070801010301
48,F070801010301_147,4798.973982,127093.2395,0,1820.737793,0,142.3325958,12.65261459,31.39203072,0.00412814,835,259,0.001418636,1820.737793,7.029875755,108c,070801010301
49,F070801010301_148,5159.963449,292862.3905,0,4195.546387,0,131.0000763,11.79863262,72.33701324,0.00951252,1795,556,0.003045412,4195.546387,7.545946598,108c,070801010301
50,F070801010301_155,2054.259989,223754.9505,0,3205.513428,0,130.9976654,11.79846287,55.26747131,0.007267828,1371,425,0.002327878,3205.513428,7.542384624,108c,070801010301
51,F070801010301_156,4111.63303,107929.5491,0,1546.19873,0,131.0017853,11.79875374,26.65859795,0.003505681,661,205,0.001122859,1546.19873,7.542432785,108c,070801010301
52,F070801010301_168,1639.151782,101824.9653,0,1458.744507,0,130.9963531,11.79837036,25.15076637,0.003307397,624,193,0.00105713,1458.744507,7.558261871,108c,070801010301
