OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,cpSEDload,cpSEDloadlbs,cpSEDLoadReduced,cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12
1,F070600060901_7,3622.598785,164709.1806,40.6831665,2359.623535,6366.102051,45.97197723,471.2127686,14.23910809,813.6633301,40.6831665,0.004600825,1122.634277,348.0166321,0.001906212,25.30188942,50603.78125,18.72339821,7.14664E-05,8725.725586,6.780203342,25.0727253,126.0253906,466.0332336,105,070600060901
2,F070600060901_12,2912.791883,91551.44264,22.61320686,1311.56604,3612.233887,25.5529232,261.91745,7.914622307,452.2641296,22.61320686,0.002557309,561.0118408,173.9136658,0.000952588,80.26359558,160527.1875,59.39506149,0.000226708,4923.799805,7.54147768,28.3117485,22.08207321,82.89914703,105,070600060901
3,F070600060901_13,4611.379915,159978.375,39.51465988,2291.850342,6183.253418,44.65156555,457.6785583,13.83013058,790.2932129,39.51465988,0.00446868,980.3167114,303.8981934,0.00166456,124.7768478,249553.7031,92.33486938,0.000352438,8475.103516,7.541506767,27.88796997,24.82107162,91.78659821,105,070600060901
4,F070600060901_38,4221.778508,170302.5877,42.06473923,2439.754883,7542.20752,47.53315353,487.2148132,14.72265911,841.2947998,42.06473923,0.004757066,1099.292114,340.7805481,0.001866578,162.6386261,325277.25,120.3525848,0.000459381,9981.962891,7.159313679,29.29146957,20.27172852,82.93933105,105,070600060901
5,F070600060901_41,1336.684843,82213.79541,20.30680656,1177.7948,3045.209961,22.94669151,235.2035828,7.107382298,406.1361389,20.30680656,0.00229648,530.6898193,164.5138397,0.000901101,14.37483311,28749.66602,10.63737679,4.06024E-05,4223.004883,7.159244537,25.66960335,110.7222977,396.9968262,105,070600060901
6,F070600060901_54,3861.367889,111495.2981,27.53933907,1597.281616,4399.133789,31.11945343,318.9743958,9.63876915,550.7868042,27.53933907,0.003114401,683.2327881,211.8021698,0.001160117,80.58172607,161163.4531,59.63047791,0.000227607,5996.415527,7.541384697,28.31139755,26.78632927,100.5595779,105,070600060901
7,F070600060901_61,6936.871914,162578.4686,40.15688324,2329.099121,5236.456543,45.37727737,465.1170959,14.05490875,803.1376953,40.15688324,0.004541309,1195.958252,370.7470703,0.002030715,163.0089874,326017.9688,120.6266479,0.000460427,7565.555664,6.282177925,20.40624619,19.30833054,62.7187767,105,070600060901
8,F070600060901_335,783.4586912,20647.12276,5.099839211,295.7906799,399.0114136,5.762818336,59.06888962,1.7849437,101.9967804,5.099839211,0.000576737,12.33187103,3.82288003,2.09393E-05,,,,,694.802124,77.3737793,181.7483521,,,105,070600060901
9,F070600060901_715,3264.858897,58922.28507,14.5538044,844.1206665,1992.706909,16.44579887,168.5694427,5.093831539,291.0760803,14.5538044,0.001645878,401.6250916,124.5037766,0.000681952,11.50065708,23001.31445,8.510486603,3.24842E-05,2836.827637,6.779880047,22.78507233,99.1859436,333.3331909,105,070600060901
10,F070600060901_718,7099.580127,150424.0909,37.15475082,2154.975586,5087.228516,41.9848671,430.3448792,13.00416279,743.0950317,37.15475082,0.0042018,921.7589722,285.7452698,0.00156513,151.6380768,303276.1563,112.2121735,0.000428309,7242.204102,7.541596889,25.34496498,19.20447159,64.54026794,105,070600060901
