OBJECTID,SiteID,MAX_BuffAreaAc,Shape_Length,Shape_Area,opAcres,DirectCost,TotalCost,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID
1,425,3.925587893,795.1967889,21441.23234,5.295984268,20220.06836,21653.05664,83,1432.987427,13.26848698,20.30078506,0,0,206.4077907,0.023342485,142.4753914,10.37144439,5128,2667,0.014608118,711.7648783,1423531,533.8236675,0.002037582,7.581577778,8.118881226,37.8778038,40.56219101,104,070801030403,F070801030403_227
2,440,2.997896671,789.4966985,16660.90378,4.115243435,15711.99902,16704.75977,74,992.7613525,10.1328907,15.5033226,0,0,162.9431525,0.018427105,144.883667,12.89267552,4268,2218,0.012148783,456.6471936,913295,342.485397,0.001307252,7.083858967,7.531451702,45.87640381,48.77510071,105,070801030403,F070801030403_44
3,442,6.300794125,1592.816709,41748.89537,10.31197739,39371.12891,42161.34375,83,2790.2146,21.29668427,32.58392715,0,0,401.7778294,0.04543672,125.1036502,9.724837522,5900,3068,0.016804539,289.4149556,578831,217.0612189,0.000828513,12.83283234,13.74228954,181.3825989,194.2371063,105,070801030402,F070801030402_132
4,562,12.59985256,1881.841279,69850.16189,17.25299072,65871.92188,70708.96875,86,4837.04834,42.58750153,65.15887451,0,0,466.5716965,0.052764204,142.5542628,12.10155183,12101,6291,0.034458069,1169.358581,2338717,877.0189344,0.003347544,10.47081852,11.23970222,75.10889435,80.6242218,104,070801030403,F070801030403_42
5,600,5.814865589,830.3133896,33624.24928,8.305189133,31709.21289,33929.35547,82,2220.143066,19.65424538,30.07099533,0,0,155.3113807,0.017564035,128.458271,11.6389842,3529,1834,0.010045477,333.4805236,666959,250.1103921,0.000954661,17.28964806,18.50019455,126.7808685,135.6575165,105,070801030402,F070801030402_157
6,681,3.686141968,1108.392462,27104.29046,6.694759846,25560.59375,27066.51367,69,1505.919312,12.45915985,19.06251526,0,0,168.5903511,0.019065742,137.5873432,9.277171146,1659,863,0.004726961,224.8079447,449617,168.6059586,0.000643562,29.61830139,31.36328316,151.5995941,160.5311737,105,070801030405,F070801030405_216
7,687,6.197724342,2370.158635,43418.98349,10.72448921,40946.10156,43847.93359,83,2901.832275,20.94830894,32.05091095,0,0,338.7393465,0.03830775,135.945988,12.18713717,7129,3707,0.020304572,674.4779055,1348956,505.8584254,0.00193084,11.0456171,11.82841492,80.94379425,86.68024445,105,070801030405,F070801030405_88
8,705,6.811369896,918.5540067,38557.01773,9.523583412,36361.04297,39062.12109,87,2701.078613,23.02243042,35.22431946,0,0,223.7313107,0.025301587,133.3233684,12.007718,4382,2277,0.012471948,411.0037415,822008,308.2528069,0.001176588,15.96883774,17.1550808,117.9585114,126.7210541,104,070801030402,F070801030402_321
9,838,5.924518585,1144.449812,34377.48305,8.491238594,32419.54883,34717.10938,83,2297.559326,20.02487373,30.63805771,0,0,435.2334018,0.049220183,141.5406464,11.56859176,10616,5521,0.030240502,1101.293045,2202586,825.9697732,0.003152691,5.872043133,6.288192272,39.2502861,42.03193665,104,070801030202,F070801030202_40
10,861,5.490739346,1143.540356,33453.5904,8.263036728,31548.27344,33433.89844,70,1885.625,18.55869865,28.39480972,0,0,278.5439507,0.031500303,148.5661519,9.188783447,7220,3755,0.020567485,621.2526998,1242506,465.939521,0.001778471,8.401670456,8.903834343,67.70894623,71.75587463,104,070801030202,F070801030202_114
11,871,5.693407536,1434.933325,35812.33002,8.845645905,33772.67578,35301.02734,53,1528.350586,19.24371719,29.44288635,0,0,185.1408935,0.020937429,156.4996735,11.79778622,3418,1778,0.009738745,374.3621297,748724,280.7716025,0.001071693,18.9947567,19.85434532,120.2852249,125.7286224,105,070600060901,F070600060901_57
12,892,3.904891729,1194.651255,23837.86617,5.887952805,22480.20313,23958.19727,77,1477.994019,13.19853401,20.1937561,0,0,151.3278699,0.017113543,134.6429509,10.70376091,3131,1628,0.008917141,325.301115,650602,243.9758306,0.000931245,13.80847836,14.7163372,92.14110565,98.19905853,105,070801030405,F070801030405_529
13,961,8.549021721,1558.201884,50527.76035,12.48035717,47650.00391,50986.25391,82,3336.248779,28.89569283,44.21041107,0,0,281.8715642,0.03187662,138.9333847,10.53671835,5740,2983,0.016338964,250.1240671,500249,187.5930504,0.000716035,15.97385311,17.09227371,254.0072937,271.7918091,105,070801030405,F070801030405_337
14,964,6.340964794,1169.909898,35399.87162,8.743768692,33383.70703,35692.58594,81,2308.879639,21.43246078,32.79166412,0,0,161.2125654,0.018231395,134.4529604,12.06495244,4104,2134,0.011688685,49.20708275,98414,36.90531224,0.000140866,15.64372444,16.72567368,904.5772705,967.1395264,104,070801030403,F070801030403_73
15,995,3.165307283,962.5387955,21544.18004,5.321412563,20317.15234,21687.62891,79,1370.476563,10.69873905,16.36907005,0,0,201.8911493,0.022831702,143.2591476,11.50146552,4329,2251,0.012329536,229.3493854,458698,172.0120405,0.000656563,9.025834084,9.634664536,118.1147079,126.0820389,105,070801030405,F070801030405_279
16,1082,3.216822147,1464.423344,23335.93622,5.763976097,22006.86133,23228.24805,65,1221.386475,10.872859,16.63547516,0,0,217.9305472,0.024645584,131.0012951,8.894522764,4078,2123,0.011628434,197.9250214,395850,148.443767,0.000566604,10.36592579,10.94123745,148.2504883,156.4784393,105,070801030601,F070801030601_187
17,1107,3.840711832,989.7951125,21024.75801,5.193115234,19827.31445,21283.25586,86,1455.941772,12.98160553,19.86185646,0,0,203.5066156,0.023014393,132.2143947,11.8886201,4975,2587,0.014169929,369.4257327,738853,277.0692979,0.001057562,7.664211273,8.227003098,71.56085205,76.81564331,104,070801030405,F070801030405_228
