OBJECTID,SiteID,MAX_BuffAreaAc,Shape_Length,Shape_Area,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,FBndID,MLRA,HUC12
1,425,3.925587893,795.1967889,21441.23234,5.295984268,8797.242188,23900.77734,83,1432.987427,13.26848698,154.6681671,3.847076178,1.099164605,206.4077907,0.023342485,142.4753914,10.37144439,5128,2667,0.014608118,711.7648783,1423531,533.8236675,0.002037582,10230.22949,25333.76563,3.298553467,3.835856676,16.4796772,19.16406059,F070801030403_227,104,070801030403
2,440,2.997896671,789.4966985,16660.90378,4.115243435,6718.286621,18572.09375,74,992.7613525,10.1328907,118.1171265,2.93793869,0.83941108,162.9431525,0.018427105,144.883667,12.89267552,4268,2218,0.012148783,456.6471936,913295,342.485397,0.001307252,7711.047852,19564.85547,3.02898407,3.476577044,19.61627197,22.51496887,F070801030403_44,105,070801030403
3,442,6.300794125,1592.816709,41748.89537,10.31197739,14120.08008,46537.95313,83,2790.2146,21.29668427,248.2512817,6.174778461,1.764222383,401.7778294,0.04543672,125.1036502,9.724837522,5900,3068,0.016804539,289.4149556,578831,217.0612189,0.000828513,16910.29492,49328.16797,4.602373123,5.51183033,65.05113983,77.90564728,F070801030402_132,105,070801030402
4,562,12.59985256,1881.841279,69850.16189,17.25299072,28236.26953,77862.75,86,4837.04834,42.58750153,496.4342041,12.34785557,3.527958632,466.5716965,0.052764204,142.5542628,12.10155183,12101,6291,0.034458069,1169.358581,2338717,877.0189344,0.003347544,33073.31641,82699.79688,4.488359451,5.257243156,32.19573593,37.71106339,F070801030403_42,104,070801030403
5,600,5.814865589,830.3133896,33624.24928,8.305189133,13031.11426,37481.32031,82,2220.143066,19.65424538,229.1056976,5.698568344,1.628162384,155.3113807,0.017564035,128.458271,11.6389842,3529,1834,0.010045477,333.4805236,666959,250.1103921,0.000954661,15251.25781,39701.46484,7.105296612,8.315843582,52.10145187,60.97810364,F070801030402_157,105,070801030402
6,681,3.686141968,1108.392462,27104.29046,6.694759846,8260.644531,30213.45117,69,1505.919312,12.45915985,145.2339935,3.612419128,1.032119751,168.5903511,0.019065742,137.5873432,9.277171146,1659,863,0.004726961,224.8079447,449617,168.6059586,0.000643562,9766.563477,31719.37109,9.57201004,11.31699085,48.99378586,57.92537689,F070801030405_216,105,070801030405
7,687,6.197724342,2370.158635,43418.98349,10.72448921,13889.10059,48399.62109,83,2901.832275,20.94830894,244.1903381,6.073770046,1.735362768,338.7393465,0.03830775,135.945988,12.18713717,7129,3707,0.020304572,674.4779055,1348956,505.8584254,0.00193084,16790.93359,51301.45313,3.74672246,4.529520988,27.45649719,33.1929512,F070801030405_88,105,070801030405
8,705,6.811369896,918.5540067,38557.01773,9.523583412,15264.28027,42979.93359,87,2701.078613,23.02243042,268.367981,6.675142288,1.907183528,223.7313107,0.025301587,133.3233684,12.007718,4382,2277,0.012471948,411.0037415,822008,308.2528069,0.001176588,17965.35938,45681.01172,6.703680515,7.889925003,49.51870728,58.28125,F070801030402_321,104,070801030402
9,838,5.924518585,1144.449812,34377.48305,8.491238594,13276.8457,38320.96094,83,2297.559326,20.02487373,233.4260254,5.806028366,1.658865213,435.2334018,0.049220183,141.5406464,11.56859176,10616,5521,0.030240502,1101.293045,2202586,825.9697732,0.003152691,15574.40527,40618.51953,2.404789925,2.820939302,16.07425117,18.85590172,F070801030202_40,104,070801030202
10,861,5.490739346,1143.540356,33453.5904,8.263036728,12304.74707,37291.08594,70,1885.625,18.55869865,216.3351288,5.380924702,1.537407041,278.5439507,0.031500303,148.5661519,9.188783447,7220,3755,0.020567485,621.2526998,1242506,465.939521,0.001778471,14190.37207,39176.71094,3.276896715,3.779060364,26.40846443,30.45539474,F070801030202_114,104,070801030202
