OBJECTID,SiteID,MAX_BuffAreaAc,Shape_Length,Shape_Area,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
1,425,3.925587893,795.1967889,21441.23234,5.295984268,3093.363281,30880.88477,83,1432.987427,13.26848698,154.6681671,3.847076178,1.099164605,196.1278988,0.022179941,142.4753914,10.37144439,5128,2667,0.014608118,711.7648783,1423531,533.8236675,0.002037582,4526.350586,32313.87305,1.159866214,1.697169304,5.794728756,8.479111671,104,070801030403,F070801030403_227,32
2,440,2.997896671,789.4966985,16660.90378,4.115243435,2362.342529,23995.98438,74,992.7613525,10.1328907,118.1171265,2.93793869,0.83941108,162.9431525,0.018427105,144.883667,12.89267552,4268,2218,0.012148783,456.6471936,913295,342.485397,0.001307252,3355.104004,24988.74609,1.065077782,1.512670875,6.89764452,9.796341896,105,070801030403,F070801030403_44,32
3,442,6.300794125,1592.816709,41748.89537,10.31197739,4965.025879,60129.14063,83,2790.2146,21.29668427,248.2512817,6.174778461,1.764222383,361.1582367,0.040843084,125.1036502,9.724837522,5900,3068,0.016804539,289.4149556,578831,217.0612189,0.000828513,7755.240234,62919.35547,1.618326545,2.527783632,22.87384987,35.72835541,105,070801030402,F070801030402_132,32
4,562,12.59985256,1881.841279,69850.16189,17.25299072,9928.683594,100602.1875,86,4837.04834,42.58750153,496.4342041,12.34785557,3.527958632,461.7956674,0.052224087,142.5542628,12.10155183,12101,6291,0.034458069,1169.358581,2338717,877.0189344,0.003347544,14765.73242,105439.2344,1.578236103,2.347120047,11.32094574,16.8362751,104,070801030403,F070801030403_42,32
5,600,5.814865589,830.3133896,33624.24928,8.305189133,4582.114258,48427.55859,82,2220.143066,19.65424538,229.1056976,5.698568344,1.628162384,142.8724613,0.016157328,128.458271,11.6389842,3529,1834,0.010045477,333.4805236,666959,250.1103921,0.000954661,6802.257324,50647.70313,2.498426437,3.708973408,18.32036781,27.19701958,105,070801030402,F070801030402_157,32
6,681,3.686141968,1108.392462,27104.29046,6.694759846,2904.679932,39037.14453,69,1505.919312,12.45915985,145.2339935,3.612419128,1.032119751,131.2365717,0.014841434,137.5873432,9.277171146,1659,863,0.004726961,224.8079447,449617,168.6059586,0.000643562,4410.599121,40543.0625,3.365793705,5.110775471,17.22762299,26.15921211,105,070801030405,F070801030405_216,32
7,687,6.197724342,2370.158635,43418.98349,10.72448921,4883.806641,62534.49609,83,2901.832275,20.94830894,244.1903381,6.073770046,1.735362768,278.9722946,0.031548744,135.945988,12.18713717,7129,3707,0.020304572,674.4779055,1348956,505.8584254,0.00193084,7785.638672,65436.32813,1.317455292,2.100253105,9.654493332,15.39094353,105,070801030405,F070801030405_88,32
8,705,6.811369896,918.5540067,38557.01773,9.523583412,5367.359375,55532.01563,87,2701.078613,23.02243042,268.367981,6.675142288,1.907183528,175.9746133,0.019900822,133.3233684,12.007718,4382,2277,0.012471948,411.0037415,822008,308.2528069,0.001176588,8068.437988,58233.09375,2.357206583,3.543451071,17.41219902,26.17474365,104,070801030402,F070801030402_321,32
9,838,5.924518585,1144.449812,34377.48305,8.491238594,4668.520508,49512.41406,83,2297.559326,20.02487373,233.4260254,5.806028366,1.658865213,405.1832772,0.045821839,141.5406464,11.56859176,10616,5521,0.030240502,1101.293045,2202586,825.9697732,0.003152691,6966.080078,51809.97266,0.845593274,1.261742473,5.652168751,8.433819771,104,070801030202,F070801030202_40,32
10,861,5.490739346,1143.540356,33453.5904,8.263036728,4326.702637,48181.76563,70,1885.625,18.55869865,216.3351288,5.380924702,1.537407041,263.781124,0.029830787,148.5661519,10.19363138,7220,3755,0.020567485,621.2526998,1242506,465.939521,0.001778471,6212.327637,50067.39063,1.152251005,1.654414773,9.285974503,13.33290577,104,070801030202,F070801030202_114,32
11,871,5.693407536,1434.933325,35812.33002,8.845645905,4486.405273,51578.96094,53,1528.350586,19.24371719,224.3202515,5.579539299,1.594154119,173.6662851,0.019639775,156.4996735,11.79778622,3418,1778,0.009738745,374.3621297,748724,280.7716025,0.001071693,6014.755859,53107.3125,2.523287535,3.38287735,15.97884274,21.4222374,105,070600060901,F070600060901_57,32
12,892,3.904891729,1194.651255,23837.86617,5.887952805,3077.054688,34332.65234,77,1477.994019,13.19853401,153.8527374,3.826793909,1.093369722,136.6278362,0.015451128,134.6429509,10.70376091,3131,1628,0.008917141,325.301115,650602,243.9758306,0.000931245,4555.048828,35810.64453,1.890082717,2.797941446,12.61212921,18.67008209,105,070801030405,F070801030405_529,32
