OBJECTID,SiteID,MAX_BuffAreaAc,Shape_Length,Shape_Area,opAcres,DirectCost,TotalCost,meanPIdx,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID
1,425,3.925587893,795.1967889,21441.23234,5.295984268,15109.44336,16542.43164,83,1432.987427,13.26848698,20.30078506,0,0,206.4077907,0.023342485,142.4753914,10.37144439,5128,2667,0.014608118,711.7648783,1423531,533.8236675,0.002037582,5.665333271,6.202636719,28.30418396,30.98856926,104,070801030403,
2,440,2.997896671,789.4966985,16660.90378,4.115243435,11740.78906,12733.55078,74,992.7613525,10.1328907,15.5033226,0,0,162.9431525,0.018427105,144.883667,12.89267552,4268,2218,0.012148783,456.6471936,913295,342.485397,0.001307252,5.293412685,5.741005898,34.28113937,37.17983627,105,070801030403,
3,442,6.300794125,1592.816709,41748.89537,10.31197739,29420.07227,32210.28711,83,2790.2146,21.29668427,32.58392715,0,0,401.7778294,0.04543672,125.1036502,9.724837522,5900,3068,0.016804539,289.4149556,578831,217.0612189,0.000828513,9.589332581,10.49878979,135.5381317,148.3926392,105,070801030402,
4,562,12.59985256,1881.841279,69850.16189,17.25299072,49222.78125,54059.82813,86,4837.04834,42.58750153,65.15887451,0,0,466.5716965,0.052764204,142.5542628,12.10155183,12101,6291,0.034458069,1169.358581,2338717,877.0189344,0.003347544,7.824317455,8.593200684,56.12510681,61.64043427,104,070801030403,
5,600,5.814865589,830.3133896,33624.24928,8.305189133,23694.70508,25914.84766,82,2220.143066,19.65424538,30.07099533,0,0,155.3113807,0.017564035,128.458271,11.6389842,3529,1834,0.010045477,333.4805236,666959,250.1103921,0.000954661,12.91968632,14.13023281,94.73698425,103.6136398,105,070801030402,
6,681,3.686141968,1108.392462,27104.29046,6.694759846,19100.15039,20606.07031,69,1505.919312,12.45915985,19.06251526,0,0,168.5903511,0.019065742,137.5873432,9.277171146,1659,863,0.004726961,224.8079447,449617,168.6059586,0.000643562,22.13227081,23.87725449,113.2827759,122.2143631,105,070801030405,
7,687,6.197724342,2370.158635,43418.98349,10.72448921,30596.9668,33498.80078,83,2901.832275,20.94830894,32.05091095,0,0,338.7393465,0.03830775,135.945988,12.18713717,7129,3707,0.020304572,674.4779055,1348956,505.8584254,0.00193084,8.253834724,9.036633492,60.48523712,66.22169495,105,070801030405,
8,705,6.811369896,918.5540067,38557.01773,9.523583412,27170.7832,29871.86133,87,2701.078613,23.02243042,35.22431946,0,0,223.7313107,0.025301587,133.3233684,12.007718,4382,2277,0.012471948,411.0037415,822008,308.2528069,0.001176588,11.93271065,13.11895561,88.14447784,96.90702057,104,070801030402,
9,838,5.924518585,1144.449812,34377.48305,8.491238594,24225.50391,26523.0625,83,2297.559326,20.02487373,30.63805771,0,0,435.2334018,0.049220183,141.5406464,11.56859176,10616,5521,0.030240502,1101.293045,2202586,825.9697732,0.003152691,4.387883186,4.804032326,29.32977104,32.11141968,104,070801030202,
10,861,5.490739346,1143.540356,33453.5904,8.263036728,23574.44336,25460.06836,70,1885.625,18.55869865,28.39480972,0,0,278.5439507,0.031500303,148.5661519,9.188783447,7220,3755,0.020567485,621.2526998,1242506,465.939521,0.001778471,6.278147221,6.780311108,50.59550095,54.64243317,104,070801030202,
