OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,cpSEDload,cpSEDloadlbs,cpSEDLoadReduced,cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12
1,F070801010301_204,3382.23882,297264.4634,73.42432404,12188.4375,16516.06836,82.96948242,850.4371948,25.69851303,1468.48645,73.42432404,0.008303496,2186.748535,1989.941162,0.010899623,126.9105911,253821.1875,126.9105911,0.000484412,28704.50586,6.125023842,14.42480087,96.03955841,226.1789703,108,070801010301
2,F070801010301_214,1685.949245,129971.7086,32.10301208,5329.100098,7116.594727,36.27640533,371.8331604,11.23605442,642.0602417,32.10301208,0.003630503,948.6695557,863.2893066,0.004728546,15.08114719,30162.29492,15.08114719,5.75641E-05,12445.69531,6.173017502,14.41659832,353.3617249,825.2485962,108,070801010301
3,F070801010301_273,2143.310687,257808.2766,63.67864609,10570.65527,17437.75977,71.95687103,737.5579224,22.28752518,1273.572876,63.67864609,0.007201365,1579.767578,1437.588501,0.007874189,74.1537323,148307.4531,74.1537323,0.000283042,28008.41406,7.353046417,19.48291397,142.5505524,377.7073975,108,070801010301
4,F070801010301_509,4681.609714,880937.2434,217.5914917,36120.1875,53201.125,245.8783875,2520.253418,76.15702057,4351.830078,217.5914917,0.024607241,6004.432617,5464.033691,0.029928477,353.097168,706194.375,353.097168,0.001347757,89321.3125,6.610535145,16.34713745,102.2953186,252.9652405,108,070801010301
5,F070801010403_47,2571.438278,321344.968,79.37220764,13175.78613,22511.54492,89.69059753,919.3286133,27.78027344,1587.444092,79.37220764,0.008976136,2318.325195,2109.676025,0.011555454,90.30076599,180601.5313,90.30076599,0.000344674,35687.33203,6.245407104,16.91602516,145.9100189,395.2052002,108,070801010403
6,F070801010602_24,1998.048147,203940.8149,50.37338257,8361.981445,12973.16211,56.92192078,583.449707,17.6306839,1007.467651,50.37338257,0.005696684,1249.733276,1137.257324,0.006229167,23.15556908,46311.14063,23.15556908,8.83838E-05,21335.14453,7.352761269,18.7601738,361.1218262,921.3828735,108,070801010602
7,F070801010602_25,2225.911591,223184.9958,55.12669373,9151.03125,16174.16992,62.2931633,638.5049438,19.29434204,1102.533936,55.12669373,0.006234232,1367.62793,1244.541382,0.006816801,26.76033401,53520.66797,26.76033401,0.000102143,25325.20117,7.352934361,20.34902382,341.9625244,946.3709106,108,070801010602
8,F070801010602_255,3068.573313,243320.2325,60.10009766,9976.616211,16261.88379,67.91310883,696.109375,21.03503418,1202.001953,60.10009766,0.00679667,1490.994751,1356.805176,0.00743171,90.58914185,181178.2813,90.58914185,0.000345775,26238.5,7.353020668,19.33844376,110.1303787,289.6428833,108,070801010602
9,F070801010602_779,3353.282541,305657.736,75.49745941,12532.57813,22152.17969,85.31212616,874.4492798,26.42411041,1509.949219,75.49745941,0.008537944,1873.010132,1704.439209,0.009335826,52.39812088,104796.2422,52.39812088,0.000200001,34684.75781,7.35290432,20.34965897,239.1799164,661.9465942,108,070801010602
10,F070801010605_106,2079.06913,186350.5301,46.02857971,7640.744141,11554.09375,52.01229477,533.1260376,16.11000252,920.5715942,46.02857971,0.005205334,1141.935913,1039.161621,0.005691862,20.26075554,40521.51172,20.26075554,7.73344E-05,19194.83789,7.352796555,18.47146606,377.1203918,947.3900146,108,070801010605
11,F070801010605_379,2908.488186,229683.8728,56.73191833,9417.498047,11836.54688,64.10707092,657.0974731,19.85617065,1134.638428,56.73191833,0.006415765,1407.446167,1280.776001,0.007015271,30.91449356,61828.98828,30.91449356,0.000117999,21254.04492,7.352962494,16.59466171,304.6305237,687.5106812,108,070801010605
12,F070801030301_244,1399.014368,96273.89379,23.77965164,3947.422119,7054.470215,26.87100601,275.4278259,8.322877884,475.5930176,23.77965164,0.002689221,621.4255981,565.4973145,0.003097432,7.962064266,15924.12891,7.962064266,3.03909E-05,11001.89258,6.980443478,19.45525169,495.778717,1381.78894,108,070801030301
13,F070801030301_247,1530.656937,134760.7754,33.28591156,5525.461426,9657.575195,37.61307907,385.5340576,11.65006924,665.7182617,33.28591156,0.003764276,869.8845825,791.5949707,0.00433585,24.92290878,49845.82031,24.92290878,9.51297E-05,15183.03711,6.980162144,19.1803093,221.7021027,609.2000732,108,070801030301
14,F070801030407_139,4432.497651,471722.9983,116.5155792,19341.58594,16333.97949,131.6625977,1349.541626,40.78045273,2330.311523,116.5155792,0.01317665,3044.940918,2770.89624,0.015177195,415.4944458,830988.875,415.4944458,0.001585925,35675.56641,6.98026371,12.87510014,46.55076981,85.86292267,108,070801030407
15,F070801030407_250,4764.674183,571365.8501,141.1273651,23427.14258,29445.01953,159.4739227,1634.607666,49.39457703,2822.547363,141.1273651,0.015959976,3501.193848,3186.086426,0.01745134,78.86669159,157733.375,78.86669159,0.000301031,52872.16406,7.35295248,16.59470558,297.0473633,670.3991699,108,070801030407
16,F070801030407_356,2799.246465,193644.4489,47.83017731,7939.80957,7329.275879,54.04809952,553.993042,16.74056244,956.6035156,47.83017731,0.005409075,1319.869141,1201.080933,0.006578752,37.70714569,75414.29688,37.70714569,0.000143927,15269.08594,6.610553265,12.71278667,210.5651245,404.9387817,108,070801030407
17,F070801030407_460,4283.7998,701122.1961,173.1771851,28747.41211,31948.4707,195.6902161,2005.824707,60.61201477,3463.543701,173.1771851,0.019584464,4296.335938,3909.665771,0.021414645,631.980957,1263961.875,631.980957,0.002412244,60695.88281,7.352907658,15.52457047,45.48778152,96.04067993,108,070801030407
18,F070801030408_93,3055.442573,467356.4929,115.4370575,19162.55078,27471.70898,130.4438782,1337.049805,40.40296936,2308.741211,115.4370575,0.013054681,2863.877686,2606.128662,0.014274703,282.5376892,565075.375,282.5376892,0.001078434,46634.25781,7.352880001,17.89407349,67.82299042,165.0549927,108,070801030408
19,F070801030603_62,2135.181757,223445.1881,55.19095993,9161.699219,14753.64746,62.36578369,639.2492676,19.3168354,1103.819214,55.19095993,0.006241499,1369.224609,1245.994385,0.006824759,17.9928093,35985.61719,17.9928093,6.86778E-05,23915.34766,7.352921963,19.19378471,509.1867065,1329.161377,108,070801030603
20,F070801030603_70,1591.936758,141229.3165,34.88364029,5790.684082,9211.374023,39.41851425,404.0397644,12.20927429,697.6727905,34.88364029,0.003944962,865.4220581,787.5340576,0.004313607,54.2435379,108487.0703,54.2435379,0.000207045,15002.05859,7.352931499,19.04940987,106.7534332,276.568573,108,070801030603
21,F070802060603_528,1095.141657,71853.94272,17.7479248,2946.155518,4107.933594,20.0551548,205.5653381,6.211773872,354.9584961,17.7479248,0.002007098,440.3062439,400.6786804,0.002194661,,,,,7054.088867,7.352912903,17.60535049,,,108,070802060603
22,F070802060603_554,1723.640432,145318.8663,35.89376068,5958.364258,9946.161133,40.55994797,415.7394714,12.56281662,717.8752441,35.89376068,0.004059196,990.4679565,901.3258667,0.004936886,12.46163082,24923.26172,12.46163082,4.75655E-05,15904.52539,6.610665798,17.64569855,478.1368103,1276.279663,108,070802060603
