OBJECTID,FBndID,Shape_Length,Shape_Area,opAcres,DirectCost,OpportunityCost,bioYield,energyPot,CO2red,N2Ored,cropAcres,pctWScropAcres,cpNO3load,cpNO3LoadReduced,cpWSNO3LoadPct,cpSEDload,cpSEDloadlbs,cpSEDLoadReduced,cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,GHG_total
1,F070600060901_60,745.5355137,33724.11058,8.329854965,1382.755981,896.1259155,28.15490913,328.1962891,8.163257599,2.332359314,8.329854965,0.000942016,248.0882568,225.7603149,0.00123657,,,,,2278.881836,6.124885082,10.09425354,,,105,070600060901,10.49561691
2,F070600060901_90,1172.235291,70959.24107,17.52693176,2909.470703,4228.197266,59.24102783,690.5610962,17.17639351,4.907540798,17.52693176,0.001982106,434.8138733,395.6806335,0.002167285,19.67697144,39353.94531,19.67697144,7.51062E-05,7137.667969,7.353078365,18.03896141,147.8617096,362.742218,105,070600060901,22.08393478
3,F070600060901_100,914.4491271,26389.87703,6.51829958,1082.03772,1083.732422,22.03185272,256.8210144,6.387933731,1.825123906,6.51829958,0.000737149,194.1181793,176.6475372,0.000967562,,,,,2165.77002,6.125404835,12.26040268,,,105,070600060901,8.213057518
4,F070600060901_102,1183.688787,57817.73396,14.28098011,2370.642578,1908.796021,48.26971436,562.6705933,13.99536037,3.998674393,14.28098011,0.001615024,425.3345032,387.0544128,0.002120036,41.39457321,82789.14844,41.39457321,0.000158001,4279.438477,6.124830246,11.05642605,57.26940536,103.3816299,105,070600060901,17.99403381
5,F070600060901_337,1609.534024,162630.7575,40.16979599,6668.186035,6940.537109,135.7739105,1582.689941,39.36640167,11.24754333,40.16979599,0.004542769,1196.355103,1088.683105,0.005963109,110.7154236,221430.8438,110.7154236,0.000422596,13608.72266,6.125001907,12.5001688,60.22815704,122.9162292,105,070600060901,50.61394501
6,F070600060901_338,1831.812163,71455.9855,17.64962769,2929.838135,1898.746948,59.65574265,695.3953247,17.29663467,4.941895962,17.64962769,0.001995982,525.644043,478.3360901,0.002620019,77.58422089,155168.4375,77.58422089,0.000296136,4828.584961,6.125061989,10.09454441,37.76332474,62.23668671,105,070600060901,22.23853111
7,F070600060901_716,681.712193,22435.71013,5.541620255,919.9089355,831.0213623,18.73067665,218.3398438,5.43078804,1.551653624,5.541620255,0.000626697,152.9331207,139.1691437,0.000762279,,,,,1750.930298,6.610006332,12.58131123,,,105,070600060901,6.982441902
8,F070600060901_721,2690.269025,188286.5457,46.5067749,7720.124512,6822.544434,157.1929016,1832.366943,45.57664108,13.02189732,46.5067749,0.005259412,1153.777832,1049.937866,0.005750887,161.5071106,323014.2188,161.5071106,0.000616466,14542.66895,7.352934837,13.85098076,47.80052567,90.04351807,105,070600060901,58.59853745
9,F070600060901_761,2215.171727,256414.7986,63.33445358,10513.51953,13007.62988,214.0704498,2495.377441,62.06776428,17.73364639,63.33445358,0.007162441,1747.713013,1590.418823,0.008711296,38.63674164,77273.48438,38.63674164,0.000147475,23521.14844,6.610535145,14.78927994,272.111969,608.7767334,105,070600060901,79.80140686
10,F070600061002_115,4882.14584,462026.4098,114.1205215,18944.00586,20833.8418,385.727356,4496.348633,111.8381119,31.9537468,114.1205215,0.012905794,2982.356934,2713.944824,0.014865251,344.1146851,688229.375,344.1146851,0.001313471,39777.84766,6.980247021,14.65683746,55.05142975,115.5947418,105,070600061002,143.7918549
