OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,adjOCosts,bioBuffWidth,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID
7,842.4623251,6371.485561,94_10_2,3.199030399,1.573756933,243.9323273,243.9323273,79,405.3050537,2702.033691,100,10.81272316,126.0418015,1.542281747,0.440651953,125.142181,0.014152225,135.2499466,8.469914873,2975,2708,0.01483269,80.3401984,160681,72.30617854,0.00027599,649.2373657,649.2373657,0.090078406,0.239747927,3.373602867,8.979002953,104,070801030602,F070801030602_354
19,817.8243422,5882.106048,711_4_2,2.856173038,1.452880144,225.1964264,225.1964264,79,374.1743164,2494.495361,100,9.653864861,112.5332184,1.423822522,0.406806439,26.61762139,0.003010165,137.8013357,12.339715,735,669,0.003664354,36.70501958,73410,33.03451674,0.000126091,599.3707275,599.3707275,0.336616486,0.895920396,6.817003727,18.14377213,108,070802060501,F070802060501_106
24,804.3271959,5814.153787,696_17_1,2.986315489,1.436095953,222.5948792,222.5948792,92,430.7138977,2871.426025,100,10.09374619,117.6608276,1.407374024,0.402106881,74.22782397,0.008394363,131.0003586,11.79865265,1842,1676,0.009180055,50.79946929,101600,45.71952152,0.000174509,653.3087769,653.3087769,0.132813171,0.389802366,4.868705273,14.28949261,108,070802060601,F070802060601_34
26,806.5033897,5790.331442,421_19_2,2.883354425,1.430211902,221.6828461,221.6828461,86,400.9739075,2673.159424,100,9.745738029,113.6041641,1.401607633,0.400459319,123.7539582,0.013995232,130.9993927,10.02382062,2650,2412,0.013211391,94.94816494,189895,85.45334625,0.000326172,622.6567383,622.6567383,0.091908313,0.258149564,2.594197273,7.286510944,108,070801030605,F070801030605_39
31,800.3050635,5747.160558,76_1_2,2.95579958,1.419548631,220.0300446,220.0300446,70,323.9409485,2159.606445,100,9.990602493,116.4585037,1.391157627,0.397473603,32.68536758,0.003696361,131.0017242,11.79874897,811,738,0.004042291,13.61519051,27230,12.25367165,4.67717E-05,543.9710083,543.9710083,0.298143685,0.737088084,17.95625496,44.39249039,104,070801030403,F070801030403_144
35,793.135669,5690.879614,53_2_2,2.857890368,1.405647278,217.8753357,217.8753357,78,357.4278564,2382.852295,100,9.659669876,112.6008835,1.377534389,0.393581241,98.74493905,0.011166983,134.3993256,12.06358776,2590,2357,0.012910136,64.62440039,129248,58.16196136,0.000222002,575.3032227,575.3032227,0.092437565,0.244082823,3.74601078,9.891400337,104,070801030601,F070801030601_201
36,787.5259999,5683.409307,411_10_1,2.912920237,1.403802156,217.5893402,217.5893402,76,347.8057251,2318.704834,100,9.8456707,114.7690582,1.375726104,0.393064618,37.21348953,0.004208443,142.3331909,12.65266228,990,901,0.004935101,22.53703499,45074,20.28333092,7.74206E-05,565.3950806,565.3950806,0.241497606,0.627519488,10.72749519,27.87486267,108,070802060602,F070802060602_223
37,790.0996147,5660.525595,137_25_2,2.844870329,1.398149848,216.7132263,216.7132263,50,227.8984222,1519.322754,100,9.615661621,112.0878906,1.370186806,0.391481966,41.91011445,0.00473958,136.4412933,10.39976746,235,214,0.001172155,20.40948505,40819,18.36853558,7.01119E-05,444.6116333,444.6116333,1.012678623,2.077624559,11.79806805,24.20506668,108,070802060602,F070802060602_108
42,777.8605125,5611.816609,845_156_1,2.755388498,1.38611865,214.8483887,214.8483887,50,225.9373627,1506.249023,100,9.313213348,108.5623093,1.358396292,0.38811323,141.2576387,0.015974709,136.1000854,9.026123694,2329,2119,0.011606525,161.3374219,322674,145.2036831,0.000554236,440.7857666,440.7857666,0.101391405,0.208015934,1.479634523,3.035637617,108,070802060302,F070802060302_93
47,777.3269319,5599.913182,516_4_1,2.86761117,1.383178592,214.3926849,214.3926849,79,356.2235718,2374.82373,100,9.692525864,112.9838791,1.355515003,0.387290001,199.9999993,0.022617833,135.1213407,12.11719669,5044,4590,0.02514108,159.3013072,318602,143.3711768,0.000547242,570.616272,570.616272,0.046708647,0.124317273,1.495368123,3.979992867,108,070802060603,F070802060603_374
