OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,adjOCosts,bioBuffWidth,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
1,842.4623251,6371.485561,94_10_2,3.199030399,1.573756933,234.4897766,234.4897766,79,405.3050537,2702.033691,100,10.81272316,126.0418015,1.542281747,0.440651953,125.142181,0.014152225,135.2499466,8.469914873,2975,2708,0.01483269,80.3401984,160681,72.30617854,0.00027599,639.7947998,639.7947998,0.086591497,0.23626101,3.243011713,8.84841156,104,070801030602,F070801030602_354,32
2,817.8243422,5882.106048,711_4_2,2.856173038,1.452880144,216.4791412,216.4791412,79,374.1743774,2494.49585,100,9.653864861,112.5332184,1.423822522,0.406806439,26.61762139,0.003010165,137.8013357,12.339715,735,669,0.003664354,36.70501958,73410,33.03451674,0.000126091,590.6535034,590.6535034,0.323586166,0.882890165,6.553119659,17.87988853,108,070802060501,F070802060501_106,16
3,804.3271959,5814.153787,696_17_1,2.986315489,1.436095953,213.978302,213.978302,92,430.7138977,2871.426025,100,10.09374619,117.6608276,1.407374024,0.402106881,74.22782397,0.008394363,131.0003586,11.79865265,1842,1676,0.009180055,50.79946929,101600,45.71952152,0.000174509,644.6921997,644.6921997,0.127672017,0.384661227,4.680239201,14.10102654,108,070802060601,F070802060601_34,16
4,806.5033897,5790.331442,421_19_2,2.883354425,1.430211902,213.1015778,213.1015778,86,400.973877,2673.15918,100,9.745738029,113.6041641,1.401607633,0.400459319,123.7539582,0.013995232,130.9993927,10.02382062,2650,2412,0.013211391,94.94816494,189895,85.45334625,0.000326172,614.0754395,614.0754395,0.088350572,0.254591793,2.493776798,7.186089993,108,070801030605,F070801030605_39,32
5,800.3050635,5747.160558,76_1_2,2.95579958,1.419548631,211.5127411,211.5127411,70,323.9409485,2159.606445,100,9.990602493,116.4585037,1.391157627,0.397473603,32.68536758,0.003696361,131.0017242,11.79874897,811,738,0.004042291,13.61519051,27230,12.25367165,4.67717E-05,535.4536743,535.4536743,0.286602616,0.725546956,17.26117325,43.69740677,104,070801030403,F070801030403_144,24
6,793.135669,5690.879614,53_2_2,2.857890368,1.405647278,209.4414368,209.4414368,78,357.4278564,2382.852295,100,9.659669876,112.6008835,1.377534389,0.393581241,98.74493905,0.011166983,134.3993256,12.06358776,2590,2357,0.012910136,64.62440039,129248,58.16196136,0.000222002,566.8692627,566.8692627,0.088859327,0.240504563,3.601003647,9.74639225,104,070801030601,F070801030601_201,32
7,787.5259999,5683.409307,411_10_1,2.912920237,1.403802156,209.1665192,209.1665192,76,347.8057251,2318.704834,100,9.8456707,114.7690582,1.375726104,0.393064618,37.21348953,0.004208443,142.3331909,12.65266228,990,901,0.004935101,22.53703499,45074,20.28333092,7.74206E-05,556.972229,556.972229,0.232149303,0.618171155,10.31223679,27.45960426,108,070802060602,F070802060602_223,16
8,790.0996147,5660.525595,137_25_2,2.844870329,1.398149848,208.3243256,208.3243256,50,227.8984222,1519.322754,100,9.615661621,112.0878906,1.370186806,0.391481966,41.91011445,0.00473958,136.4412933,10.39976746,235,214,0.001172155,20.40948505,40819,18.36853558,7.01119E-05,436.2227478,436.2227478,0.973478138,2.038424015,11.34136868,23.74836922,108,070802060602,F070802060602_108,32
9,777.8605125,5611.816609,845_156_1,2.755388498,1.38611865,206.5316772,206.5316772,50,225.9373627,1506.249023,100,9.313213348,108.5623093,1.358396292,0.38811323,141.2576387,0.015974709,136.1000854,9.026123694,2329,2119,0.011606525,161.3374219,322674,145.2036831,0.000554236,432.4690552,432.4690552,0.097466581,0.204091102,1.422358394,2.978361368,108,070802060302,F070802060302_93,32
10,777.3269319,5599.913182,516_4_1,2.86761117,1.383178592,206.0936127,206.0936127,79,356.2235718,2374.82373,100,9.692525864,112.9838791,1.355515003,0.387290001,199.9999993,0.022617833,135.1213407,12.11719669,5044,4590,0.02514108,159.3013072,318602,143.3711768,0.000547242,562.3171997,562.3171997,0.04490057,0.122509196,1.437482834,3.922107697,108,070802060603,F070802060603_374,24
11,770.3400692,5583.871891,405_9_2,2.745173931,1.379216313,205.5032349,205.5032349,32,143.879715,959.1981201,100,9.278687477,108.1598511,1.351631999,0.38618058,39.3388896,0.004448802,130.9985046,6.474260986,879,800,0.004381888,34.77190018,69544,31.29471016,0.000119451,349.3829346,349.3829346,0.256879032,0.436728656,6.566708565,11.16428089,108,070802060601,F070802060601_147,16
12,767.5594788,5516.481378,458_65_2,2.806429148,1.362570882,203.023056,203.023056,77,342.0323181,2280.215332,100,9.485730171,110.5733109,1.335319519,0.381519854,45.56197971,0.005152566,130.9989573,11.79855378,1130,1028,0.005630726,108.749348,217499,97.87441169,0.000373582,545.0553589,545.0553589,0.19749324,0.530209482,2.074322224,5.568925858,108,070802060801,F070802060801_140,24
13,759.2555337,5463.853159,588_6_2,2.634879351,1.349571705,201.0861816,201.0861816,19,83.59242249,557.2828369,100,8.905892372,103.8142471,1.322580218,0.377880067,30.2388585,0.003419687,131.0016378,9.136557192,644,586,0.003209733,61.25559529,122511,55.13003447,0.000210429,284.6785889,284.6785889,0.343150467,0.48579964,3.647488832,5.163765907,108,070801010602,F070801010602_670,24
