OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID
1,878.7267294,6399.858469,845_2_1,3.187929153,1.580765009,1030.658813,34,175.2119904,100,1168.079956,10.77520084,16.48605728,1.707226157,5.099241734,,,,,,,,3.659101367,7318,3.293191195,1.257E-05,1205.87085,,,312.9665833,366.170929,108c,070802060302,F070802060302_80
2,785.0161037,5621.624057,845_26_1,2.82172966,1.388541102,905.3287964,59,267.0720215,100,1780.480103,9.537446022,14.59229279,1.499624372,4.479165077,,,,,,,,48.32292032,96646,43.49062967,0.000166002,1172.400879,,,20.81664085,26.95755196,108c,070802060302,F070802060302_200
3,771.7816813,5563.141391,836_60_1,2.766306877,1.374095917,895.9105225,64,286.6913452,100,1911.275635,9.350117683,14.30568027,1.484023571,4.432567596,,,,,,,,32.03861618,64077,28.83475494,0.000110061,1182.601807,,,31.07050896,41.01306915,108c,070802060302,F070802060302_200
4,735.6827723,5536.249595,399_5_1,2.914353848,1.367453694,891.579834,92,410.1266785,100,2734.177734,9.850516319,15.07129002,1.476850033,4.411140919,,,,,,,,14.45870399,28917,13.0128336,4.96694E-05,1301.706543,,,68.51542664,100.0325241,108c,070802060601,F070802060601_83
5,746.7039203,5517.09336,53_26_2,3.078263521,1.362722039,888.494751,78,346.51297,100,2310.086426,10.40453053,15.91893196,1.471739769,4.395877361,,,,,,,,0.049265258,99,0.044338733,1.69239E-07,1235.00769,,,20038.79492,27853.92383,104,070801030601,F070801030601_471
6,765.6867068,5494.903737,399_13_2,2.622805595,1.357241273,884.9213257,92,407.0638123,100,2713.758789,8.865082741,13.5635767,1.465820551,4.37819767,,,,,,,,8.729006127,17458,7.856105611,2.99864E-05,1291.985107,,,112.6412201,164.4561768,108c,070802060601,F070802060601_133
7,743.4759611,5421.568197,845_46_1,2.806832552,1.339127302,873.1110229,34,148.4288635,100,989.5257568,9.487093925,14.51525402,1.446257472,4.319765568,,,,,,,,2.786300421,5573,2.507670403,9.57167E-06,1021.539917,,,348.1761475,407.3660889,108c,070802060302,F070802060302_80
8,752.1777315,5415.668379,836_142_1,2.547434807,1.337670088,872.1608887,76,331.4211426,100,2209.474365,8.610329628,13.17380428,1.444683671,4.315064907,,,,,,,,156.9401979,313880,141.2461767,0.000539131,1203.582031,,,6.174757481,8.521165848,108c,070802060302,F070802060302_360
9,751.3264524,5413.760473,421_19_1,2.883354425,1.337198853,871.8536377,86,374.8970642,100,2499.313721,9.745738029,14.91097927,1.444174767,4.31354475,24.23614883,0.002740846,130.9981079,11.79849434,601,300,0.001643208,205.3070152,410614,184.7763157,0.000705283,1246.750732,2.906178713,4.155835629,4.718427658,6.74735117,108c,070801030605,F070801030605_42
10,750.4610561,5403.281526,845_115_1,2.699608564,1.334610581,870.1660767,87,378.5222473,100,2523.481689,9.124676704,13.96075535,1.441379428,4.305195332,,,,,,,,271.6566188,543313,244.4909509,0.000933212,1248.688354,,,3.559093237,5.107298851,108c,070802060302,F070802060302_93
