OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,FBndID,MLRA,HUC12
20,855.2809608,6171.036551,703_9_1,3.062494755,1.524245977,457.2738037,847.4807739,78,387.5852661,100,2583.901855,10.35123253,120.6622925,1.493761063,0.426788867,185.0535256,0.020927549,145.8141588,12.98754624,4852,2426,0.013288074,54.7492688,109500,49.27434188,0.000188078,844.8590698,1235.06604,0.188488796,0.348251879,9.280160904,17.1460247,F070801030303_219,108,070801030303
21,807.1319431,6137.444715,703_11_2,3.050509453,1.515948892,454.784668,842.8675537,78,385.4752502,100,2569.834961,10.31072235,120.1900711,1.485629916,0.424465686,199.9999972,0.022617833,141.8800598,12.65848346,5142,2570,0.014076814,191.2077441,382415,172.0869704,0.000656849,840.2598877,1228.342773,0.176959008,0.326949358,2.642760515,4.882762909,F070801030303_219,108,070801030303
30,828.0783226,6015.823596,845_9_1,3.047483683,1.485908389,445.772522,826.1650391,92,445.6536865,100,2971.024658,10.30049515,120.0708542,1.456190228,0.416054338,45.6102103,0.005158021,135.2492905,12.1298511,1133,566,0.003100186,46.49572212,92992,41.84614897,0.000159725,891.4262085,1271.818726,0.787583947,1.574957967,10.65265369,21.30246735,F070802060302_371,108,070802060302
44,813.8632618,5846.469555,504_1_1,2.862143755,1.444077969,433.2233887,802.9073486,84,395.446228,100,2636.308105,9.674045563,112.7684631,1.415196419,0.404341817,20.07573771,0.002270348,159.0501556,14.1363554,596,298,0.001632253,11.39567901,22792,10.25611099,3.91471E-05,828.6696167,1198.353516,1.453769803,2.78077054,42.24051285,80.79764557,F070802060501_88,108,070802060501
50,805.9553341,5795.22222,703_11_1,3.050509453,1.431419849,429.4259644,795.8694458,78,363.9814453,100,2426.542969,10.31072235,120.1900711,1.4027915,0.400797546,199.9999968,0.022617833,141.9391949,12.6595996,4979,2488,0.013627671,141.5815118,283164,127.4233593,0.00048637,793.4074097,1159.85083,0.172598854,0.318893641,3.370072603,6.226545811,F070801030303_219,108,070801030303
51,803.2376729,5794.008276,489_13_2,2.924271584,1.431120038,429.3359985,795.7027588,78,363.9047241,100,2426.031494,9.884037971,115.216301,1.402497649,0.400713623,181.3652987,0.02051045,145.1670723,12.98130345,4723,2363,0.012943001,110.3176689,220636,99.28590107,0.00037897,793.2407227,1159.607422,0.181691065,0.335692227,4.324239254,7.989459991,F070802060502_465,108,070802060502
75,785.0161037,5621.624057,845_26_1,2.82172966,1.388541102,416.5623169,772.0288696,59,267.0720215,100,1780.480103,9.537446022,111.1761475,1.360770226,0.388791502,40.03676057,0.004527724,130.9990692,8.249041359,380,190,0.001040698,48.32292032,96646,43.49062967,0.000166002,683.6343384,1039.10083,2.192433357,3.59807539,9.578208923,15.71911812,F070802060302_200,108,070802060302
103,766.9472887,5527.816257,680_9_1,2.77848649,1.365370631,409.6111755,759.1460571,79,351.6373291,100,2344.248779,9.391283989,109.4723663,1.33806324,0.382303774,21.84313466,0.002470222,134.3979675,12.06349888,539,269,0.00147341,15.91807383,31836,14.32626665,5.46827E-05,761.2485352,1110.783447,1.522718072,2.829920292,28.59161949,53.13656235,F070801030407_620,108,070801030407
144,752.1777315,5415.668379,836_142_1,2.547434807,1.337670088,401.3010254,743.7445679,76,331.4211426,100,2209.474365,8.610329628,100.3689346,1.310916662,0.374547631,161.3267798,0.018244311,134.3054911,12.04594119,3971,1987,0.010883513,156.9401979,313880,141.2461767,0.000539131,732.722168,1075.165771,0.201963276,0.368758023,2.841145992,5.187553883,F070802060302_360,108,070802060302
152,750.4610561,5403.281526,845_115_1,2.699608564,1.334610581,400.3831787,742.043457,87,378.5222473,100,2523.481689,9.124676704,106.3645782,1.30791831,0.373690963,200.0000054,0.022617834,138.6900155,12.41577721,5177,2589,0.014180884,271.656621,543313,244.4909529,0.000933212,778.9053955,1120.565674,0.154647812,0.300851822,1.637619615,3.185825109,F070802060302_93,108,070802060302
