OBJECTID,Shape_Length,Shape_Area,riparianid,bioAc,opAcres,DirectCost,DirectCost_CP,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,TotalCost_CP,DCredNO3,TCredNO3,DCredSED,TCredSED,MLRA,HUC12,FBndID,radial
1,855.2809608,6171.036551,703_9_1,3.062494755,1.524245977,227.1126556,740.7835693,78,387.5852661,100,2583.901855,10.35123253,120.6622925,1.493761063,0.426788867,183.0088793,0.020696322,145.8141588,12.98754624,4852,2426,0.013288074,54.7492688,109500,49.27434188,0.000188078,614.697937,1128.368896,0.093616098,0.253379196,4.609146595,12.47501087,108,070801030303,F070801030303_219,8
2,807.1319431,6137.444715,703_11_2,3.050509453,1.515948892,225.8763885,736.7511597,78,385.4752502,100,2569.834961,10.31072235,120.1900711,1.485629916,0.424465686,199.9999964,0.022617833,141.8800598,12.65848346,5251,2625,0.014378069,191.2077441,382415,172.0869704,0.000656849,611.3516235,1122.22644,0.086048149,0.232895851,1.312571168,3.552573681,108,070801030303,F070801030303_218,8
3,828.0783226,6015.823596,845_9_1,3.047483683,1.485908389,221.4003448,722.1514893,92,445.6536865,100,2971.024658,10.30049515,120.0708542,1.456190228,0.416054338,45.6102103,0.005158021,135.2492905,12.1298511,1133,566,0.003100186,46.49572212,92992,41.84614897,0.000159725,667.0540161,1167.805176,0.391166687,1.178540707,5.290817738,15.94063091,108,070802060302,F070802060302_241,32
4,813.8632618,5846.469555,504_1_1,2.862143755,1.444077969,215.1676178,701.8218994,84,395.446228,100,2636.308105,9.674045563,112.7684631,1.415196419,0.404341817,20.07573771,0.002270348,159.0501556,14.1363554,596,298,0.001632253,11.39567901,22792,10.25611099,3.91471E-05,610.6138306,1097.268066,0.722038984,2.049039602,20.97945404,59.53658676,108,070802060501,F070802060501_88,16
5,805.9553341,5795.22222,703_11_1,3.050509453,1.431419849,213.2815552,695.6700439,78,363.9814453,100,2426.542969,10.31072235,120.1900711,1.4027915,0.400797546,200.0000003,0.022617833,141.9391949,12.6595996,5269,2634,0.014427365,141.5815118,283164,127.4233593,0.00048637,577.2630005,1059.651489,0.080972493,0.219158322,1.673802614,4.530276299,108,070801030303,F070801030303_219,8
6,803.2376729,5794.008276,489_13_2,2.924271584,1.431120038,213.2368927,695.524353,78,363.9047241,100,2426.031494,9.884037971,115.216301,1.402497649,0.400713623,177.2582951,0.020045993,145.1670723,12.98130345,4723,2363,0.012943001,110.3176689,220636,99.28590107,0.00037897,577.1416016,1059.429077,0.090239905,0.244241044,2.147705555,5.812926292,108,070802060502,F070802060502_465,16
7,785.0161037,5621.624057,845_26_1,2.82172966,1.388541102,206.8926239,674.8309937,59,267.0720215,100,1780.480103,9.537446022,111.1761475,1.360770226,0.388791502,31.59213662,0.003572728,130.9990692,8.249041359,380,190,0.001040698,48.32292032,96646,43.49062967,0.000166002,473.9646606,941.9030151,1.088908553,2.494550943,4.757176876,10.89808655,108,070802060302,F070802060302_200,32
8,766.9472887,5527.816257,680_9_1,2.77848649,1.365370631,203.4402313,663.5701294,79,351.6373596,100,2344.249023,9.391283989,109.4723663,1.33806324,0.382303774,21.71056089,0.002455229,134.3979675,12.06349888,539,269,0.00147341,15.91807383,31836,14.32626665,5.46827E-05,555.0775757,1015.20752,0.756283402,2.063485384,14.20050526,38.74544525,108,070801030407,F070801030407_620,16
9,752.1777315,5415.668379,836_142_1,2.547434807,1.337670088,199.3128357,650.107666,76,331.4211426,100,2209.474365,8.610329628,100.3689346,1.310916662,0.374547631,161.3267798,0.018244311,134.3054911,12.04594119,3971,1987,0.010883513,156.9401979,313880,141.2461767,0.000539131,530.7340088,981.5288086,0.100308426,0.267103165,1.411102533,3.757510662,108,070802060302,F070802060302_360,32
10,750.4610561,5403.281526,845_115_1,2.699608564,1.334610581,198.8569794,648.6207275,87,378.5222473,100,2523.481689,9.124676704,106.3645782,1.30791831,0.373690963,200.0000054,0.022617834,138.6900155,12.41577721,5177,2589,0.014180884,271.656621,543313,244.4909529,0.000933212,577.3792114,1027.142944,0.076808415,0.223012447,0.813351095,2.36155653,108,070802060302,F070802060302_93,32
