OBJECTID,Shape_Length,Shape_Area,riparianid,opAcres,DirectCost,meanPIdx,OpportunityCost,recBuffWidth,adjOCosts,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,TotalCost,ReducedCostLB,MLRA,HUC12,FBndID
9,751.3264524,5413.760473,421_19_1,1.337198853,681.9714355,0,0,47,0,24.23614883,0.003187122,130.9981079,11.79849434,601,300,0.001643208,681.9714355,2.273238182,108c,070801030605,F070801030605_42
20,712.7187875,5105.219245,699_41_1,1.260989189,643.1044922,78,282.2850342,84,1580.796143,73.38482761,0.009650311,135.2503815,12.11360502,1836,918,0.005028216,925.3895264,1.008049607,108c,070802060406,F070802060406_113
33,691.1589315,5008.347374,593_3_1,1.237061858,630.9015503,73,259.1766052,90,1555.05957,200.0000022,0.026300563,131.9442927,11.86978682,4961,2479,0.013578374,890.078125,0.359047234,108c,070802060802,F070802060802_57
42,663.2757611,4882.28998,699_66_1,1.205925584,615.0220337,78,269.9584961,67,1205.814575,81.45268059,0.010711257,135.2503815,12.11360502,2040,1020,0.005586907,884.9805298,0.867627978,108c,070802060406,F070802060406_107
49,675.0343296,4841.66406,166_34_2,1.195891023,609.9044189,77,264.2791443,71,1250.921265,95.60100317,0.012571801,133.1250725,11.95610523,2416,1208,0.00661665,874.1835938,0.7236619,108c,070802060406,F070802060406_122
52,676.7609671,4807.419301,60_5_2,1.187432528,605.5905762,76,259.0025635,90,1554.015381,31.63415623,0.004159981,135.2500305,12.11357641,823,412,0.002256672,864.5931396,2.098526955,104,070801030202,F070801030202_367
62,645.0730558,4722.499216,389_2_1,1.166457295,594.8932495,86,287.9049988,90,1727.429932,87.22343063,0.011470127,133.8334757,12.00860564,2176,1089,0.005964845,882.7982178,0.810650349,108c,070802060601,F070802060601_297
93,632.158304,4500.456244,590_16_2,1.111612678,566.9224854,26,82.94853973,90,497.6912231,132.879776,0.017474064,131.0001984,11.79864144,3298,1650,0.009037643,649.8710327,0.393861234,108c,070802060802,F070802060802_86
99,631.9203953,4476.660944,511_1_2,1.105735302,563.9249878,86,272.917572,17,309.3065796,23.39122963,0.003076013,159.3336639,14.16394329,697,348,0.001906121,836.8425293,2.40471983,108c,070801010301,F070801010301_255
101,629.5868461,4466.975481,588_3_1,1.103342891,562.704895,10,31.66593742,90,189.9956207,39.90743256,0.00524794,130.9976349,11.79846096,990,495,0.002711293,594.3708496,1.200749159,108c,070801010602,F070801010602_457
117,615.9692918,4405.183361,424_14_1,1.088080287,554.9209595,78,243.5776062,90,1461.465576,150.9791931,0.019854189,135.6162933,12.16259785,3891,1946,0.010658942,798.4985352,0.41032812,108c,070801030303,F070801030303_745
137,611.3057107,4323.422465,566_9_2,1.067885399,544.621582,74,226.7973175,90,1360.783936,200.0000012,0.026300563,137.0438728,12.27548059,5182,2592,0.014197316,771.4188843,0.297615319,108c,070802060503,F070802060503_256
140,606.6580758,4298.196599,533_15_2,1.061654568,541.4438477,84,255.9436493,25,426.5727539,31.83224207,0.004186029,131.0000407,11.7986304,790,395,0.002163557,797.3875122,2.018702507,108c,070802060501,F070802060501_225
153,600.1164759,4253.059115,499_3_2,1.050505638,535.7578735,73,220.0910187,65,953.7277222,42.75654209,0.005622606,131.0012436,11.79871511,1060,530,0.002903001,755.848877,1.426129937,108c,070802060704,F070802060704_478
166,593.6241682,4220.917551,46_5_1,1.042566657,531.7089844,69,206.4593048,90,1238.755859,199.9999984,0.026300563,134.0512836,12.02692399,5137,2568,0.014065859,738.1682739,0.287448704,104,070801030405,F070801030405_235
191,576.7715034,4146.404145,699_67_1,1.024161816,522.3225098,78,229.2688599,90,1375.613159,20.55698657,0.002703302,139.4995015,12.45023632,536,268,0.001467932,751.5913696,2.804445505,108c,070802060406,F070802060406_111
194,582.272941,4141.190689,814_33_1,1.022874117,521.6657715,51,139.1282959,90,834.7697754,199.9999997,0.026300563,130.9997498,11.79860992,4961,2480,0.013583852,660.7940674,0.266449213,108c,070801030409,F070801030409_385
200,581.1870572,4130.458868,814_30_1,1.020223379,520.3139038,0,0,90,0,35.14706302,0.004621938,145.1674347,12.98132992,886,443,0.00242647,520.3139038,1.174523473,108c,070801030409,F070801030409_350
206,585.6191466,4121.151185,424_12_2,1.017924309,519.1414185,78,227.8725128,90,1367.235107,45.62424469,0.005999717,130.9997253,11.79860783,1132,566,0.003100186,747.013916,1.319812536,108c,070801030303,F070801030303_731
207,588.6092375,4117.64796,481_38_1,1.017059088,518.7001343,91,265.6253357,90,1593.751953,132.0046296,0.01735898,140.4445343,12.58706601,3298,1649,0.009032166,784.3254395,0.475637019,108c,070802060603,F070802060603_200
226,579.0686993,4091.533212,119_31_1,1.010608673,515.4104004,57,165.3250885,64,705.3870239,39.56525421,0.005202942,141.1996918,12.61005831,1047,524,0.002870136,680.7354736,1.299113512,104,070801030406,F070801030406_114
251,578.1959989,4052.559158,494_3_2,1.000982165,510.5009155,78,224.079361,30,448.1587219,32.62113512,0.004289771,130.9991074,11.79856443,809,405,0.002218331,734.5802612,1.8137784,108c,070802060501,F070802060501_455
252,574.2332928,4051.349715,499_8_1,1.000683427,510.3485413,77,221.1407928,90,1326.844727,172.5741231,0.022693983,131.0002136,11.79864258,4281,2140,0.011721549,731.4893188,0.341817439,108c,070802060704,F070802060704_363
257,573.2785196,4045.071522,54_23_1,0.999132693,509.5576782,42,120.4353943,14,112.4063644,25.85785979,0.003400381,135.2519226,12.11370993,675,338,0.001851348,629.993042,1.863884687,104,070801030405,F070801030405_106
267,571.8101099,4032.872523,494_3_1,0.996119499,508.0209351,78,222.9913177,26,386.51828,58.22319746,0.007656514,130.9994965,11.79859209,1445,722,0.003954654,731.0122681,1.012482405,108c,070802060501,F070802060501_456
269,569.9247758,4029.758091,493_17_1,0.995350242,507.6286316,86,245.6724701,83,1359.387695,86.41127602,0.011363326,138.0839691,12.34345889,2226,1113,0.006096301,753.3010864,0.676820397,108c,070802060501,F070802060501_322
294,568.6269991,4004.058148,129_11_2,0.989002347,504.3912048,86,244.1055603,90,1464.633301,199.9999961,0.026300562,132.889417,11.94100571,5001,2500,0.013693399,748.4967651,0.29939872,108c,070801030407,F070801030407_530
303,565.3108431,3986.134035,187_2_1,0.984575093,502.1333008,64,180.8465881,85,1024.797363,132.2209436,0.017387426,140.9156494,12.60337448,3290,1644,0.009004779,682.9798584,0.415437877,108c,070801030607,F070801030607_27
310,562.1162479,3976.650296,499_10_1,0.98223263,500.9386292,78,219.8824921,90,1319.294922,149.2544218,0.019627376,131.000296,11.79864845,3702,1851,0.010138593,720.821106,0.389422536,108c,070802060704,F070802060704_476
315,562.5715052,3965.494254,393_13_2,0.979477108,499.5333252,51,143.3660583,90,860.1963501,200.0000038,0.026300563,134.3999847,12.06363983,5115,2558,0.014011086,642.8994141,0.251328945,108c,070801030408,F070801030408_176
316,564.9325162,3964.653284,489_28_2,0.979269385,499.4273987,78,219.2192383,90,1315.31543,199.9999976,0.026300563,139.2726776,11.43400586,5158,2581,0.014137065,718.6466064,0.278437287,108c,070802060502,F070802060502_261
317,562.1363965,3963.300708,566_1_2,0.978935301,499.2569885,75,210.7158203,15,210.7158203,25.29996109,0.003327016,134.7765961,12.08321476,644,322,0.00176371,709.9727783,2.204884291,108c,070802060503,F070802060503_256
327,558.9061612,3942.683058,135_10_1,0.97384274,496.65979,78,218.0043945,28,406.9415283,24.23207283,0.003186586,159.3326416,14.16384315,722,361,0.001977327,714.6641846,1.979679227,104,070801030603,F070801030603_811
334,556.7987511,3930.325365,166_54_1,0.970790386,495.1030884,78,217.3211365,51,738.8918457,110.9015274,0.014583863,148.8500061,13.24107265,3079,1540,0.008435134,712.4241943,0.462613106,108c,070802060406,F070802060406_146
342,556.6654731,3920.43531,165_3_1,0.968347549,493.8572388,78,216.7742767,39,563.6130981,99.44706345,0.013077569,137.8003845,12.36240745,2546,1272,0.006967201,710.6315308,0.558672607,108c,070802060406,F070802060406_104
350,552.4662429,3904.872225,526_6_1,0.964503467,491.896759,55,152.2466736,83,842.4315796,96.46676159,0.012685651,131.0002696,11.79864661,2393,1197,0.006556399,644.1434326,0.538131535,108c,070801010301,F070801010301_248
378,550.3313657,3865.636672,563_7_2,0.954812229,486.9542236,71,194.562149,90,1167.372925,78.45395172,0.010316915,133.8322245,12.00851313,1991,995,0.005449973,681.5163574,0.684941053,108c,070802060501,F070802060501_231
380,548.9607474,3865.02469,481_26_1,0.954661071,486.8771362,92,252.0687103,65,1092.297729,46.77129364,0.006150557,130.9995193,11.798594,1160,580,0.003176869,738.9458618,1.274044633,108c,070802060603,F070802060603_200
389,547.6918855,3860.842671,478_1_2,0.953628123,486.3503418,86,235.3744965,76,1192.564087,96.67284298,0.012712751,133.8341217,12.00864951,2429,1214,0.006649514,721.7248535,0.594501555,108c,070801030301,F070801030301_622
403,546.9075869,3846.800411,396_28_1,0.950159729,484.5814514,70,190.887085,90,1145.32251,28.84261513,0.003792885,139.5039139,12.46147013,758,380,0.002081397,675.4685059,1.777548671,108c,070801030603,F070801030603_16
405,544.0025404,3844.144357,161_8_2,0.94950366,484.2468567,86,234.3564911,90,1406.138916,88.85590935,0.011684802,140.9153595,12.54049397,2334,1167,0.006392079,718.6033325,0.615769804,108c,070802060602,F070802060602_192
406,542.0511277,3842.822847,423_2_1,0.949177265,484.0804138,86,234.2759399,90,1405.65564,199.9999987,0.026300563,132.2138824,11.88858373,5049,2526,0.01383581,718.3563232,0.284384936,108c,070801030303,F070801030303_699
428,541.2124779,3816.66128,496_33_2,0.942715347,480.7848206,86,232.6809998,41,635.994751,33.85156322,0.004451576,150.8325958,13.4082303,1000,500,0.00273868,713.4658203,1.42693162,108c,070802060502,F070802060502_340
