OBJECTID,riparianid,bioAc,opAcres,DirectCost,meanPIdx,OpportunityCost,bioBuffWidth,adjOCosts,bioYield,energyPot,CO2red,N2Ored,SUM_cropAcres,SUM_pctWScropAcres,MEAN_Nrate,MEAN_NO3conc,SUM_cpNO3load,SUM_cpNO3LoadReduced,SUM_cpWSNO3LoadPct,SUM_cpSEDload,SUM_cpSEDloadlbs,SUM_cpSEDLoadReduced,SUM_cpWSSEDLoadPct,TotalCost,DCredNO3,TCredNO3,DCredSED,TCredSED,Shape_Length,Shape_Area,MLRA,HUC12,FBndID
1,845_2_1,3.187929153,1.580765009,806.1901245,34,175.2119904,100,1168.079956,10.77520084,16.48605728,1.707226157,5.099241734,,,,,,,,3.659101367,7318,3.293191195,1.257E-05,981.4020996,,,244.8051453,298.0094604,878.7267294,6399.858469,108c,070802060302,
2,845_26_1,2.82172966,1.388541102,708.1559448,59,267.0720215,100,1780.480103,9.537446022,14.59229279,1.499624372,4.479165077,,,,,,,,48.32292032,96646,43.49062967,0.000166002,975.2279663,,,16.28295517,22.42386436,785.0161037,5621.624057,108c,070802060302,
3,836_60_1,2.766306877,1.374095917,700.7889404,64,286.6913452,100,1911.275635,9.350117683,14.30568027,1.484023571,4.432567596,,,,,,,,32.03861618,64077,28.83475494,0.000110061,987.4802856,,,24.30362129,34.24618149,771.7816813,5563.141391,108c,070802060302,
4,399_5_1,2.914353848,1.367453694,697.4013672,92,410.1266785,100,2734.177734,9.850516319,15.07129002,1.476850033,4.411140919,,,,,,,,14.45870399,28917,13.0128336,4.96694E-05,1107.528076,,,53.59335327,85.11044312,735.6827723,5536.249595,108c,070802060601,
5,53_26_2,3.078263521,1.362722039,694.9882202,78,346.51297,100,2310.086426,10.40453053,15.91893196,1.471739769,4.395877361,,,,,,,,0.049265258,99,0.044338733,1.69239E-07,1041.501221,,,15674.5166,23489.64844,746.7039203,5517.09336,104,070801030601,
6,399_13_2,2.622805595,1.357241273,692.1930542,92,407.0638123,100,2713.758789,8.865082741,13.5635767,1.465820551,4.37819767,,,,,,,,8.729006127,17458,7.856105611,2.99864E-05,1099.256836,,,88.1089325,139.9238892,765.6867068,5494.903737,108c,070802060601,
7,845_46_1,2.806832552,1.339127302,682.954895,34,148.4288635,100,989.5257568,9.487093925,14.51525402,1.446257472,4.319765568,,,,,,,,2.786300421,5573,2.507670403,9.57167E-06,831.3837891,,,272.346344,331.5363159,743.4759611,5421.568197,108c,070802060302,
8,836_142_1,2.547434807,1.337670088,682.211731,76,331.4211426,100,2209.474365,8.610329628,13.17380428,1.444683671,4.315064907,,,,,,,,156.9401979,313880,141.2461767,0.000539131,1013.632874,,,4.829948425,7.176356316,752.1777315,5415.668379,108c,070802060302,
9,421_19_1,2.883354425,1.337198853,681.9714355,86,374.8970642,100,2499.313721,9.745738029,14.91097927,1.444174767,4.31354475,24.23614883,0.002740846,130.9981079,11.79849434,601,300,0.001643208,205.3070152,410614,184.7763157,0.000705283,1056.86853,2.273238182,3.522895098,3.690794706,5.719718456,751.3264524,5413.760473,108c,070801030605,
10,845_115_1,2.699608564,1.334610581,680.6513672,87,378.5222473,100,2523.481689,9.124676704,13.96075535,1.441379428,4.305195332,,,,,,,,271.6566188,543313,244.4909509,0.000933212,1059.173584,,,2.78395319,4.332158566,750.4610561,5403.281526,108c,070802060302,
11,399_5_2,2.914353848,1.334303379,680.494751,92,400.1842651,100,2667.89502,9.850516319,15.07129002,1.441047668,4.304204464,,,,,,,,1.549903211,3100,1.394912866,5.32432E-06,1080.678955,,,487.840332,774.7286377,733.5871776,5402.037924,108c,070802060601,
12,84_32_2,2.691593647,1.33402586,680.3532104,78,339.2160645,100,2261.44043,9.097586632,13.91930771,1.440747976,4.303309441,,,,,,,,73.16850781,146337,65.8516556,0.000251353,1019.569275,,,10.331604,15.48281956,749.7814933,5400.914237,104,070801030406,
13,443_23_2,2.806302071,1.315188885,670.7463379,78,334.426239,100,2229.508301,9.485301018,14.5125103,1.420403957,4.242544651,,,,,,,,59.55302429,119106,53.5977211,0.00020458,1005.172607,,,12.51445675,18.75401688,741.6528195,5324.651137,108c,070801030303,
14,164_7_2,2.783620596,1.307079554,666.6105957,24,102.2658081,100,681.7720337,9.408638,14.39521599,1.411645889,4.216385841,,,,,,,,5.297452152,10595,4.76770699,1.81981E-05,768.8764038,,,139.8178558,161.2675476,739.347551,5291.82015,108c,070801030407,
15,699_41_2,2.617374897,1.286510348,656.1203003,78,327.1336975,100,2180.891357,8.846727371,13.5354929,1.389431119,4.150033474,,,,,,,,3.707637191,7415,3.336873531,1.27367E-05,983.2540283,,,196.6272583,294.663269,729.2561711,5208.543859,108c,070802060406,
16,27_18_1,2.625869513,1.280930281,653.2744141,78,326.6483765,100,2177.655762,8.87543869,13.57942104,1.383404732,4.132033348,,,,,,,,8.922398137,17844,8.030158417,3.06508E-05,979.9227905,,,81.35261536,122.0303192,722.2149417,5185.952725,104,070801030202,
17,164_9_2,2.669091702,1.279079795,652.3306885,23,95.90523529,100,639.3682251,9.021530151,13.80294132,1.381406188,4.126063824,,,,,,,,489.262121,978524,440.335906,0.001680743,748.2359009,,,1.481438756,1.699238896,729.8037733,5178.460917,108c,070801030407,
