biomass,price,yield,costs,npv,transport,,,,,,,,,,
prairie,20,3,direct cost,-274, Farmgate ,,,,,,,,,,
prairie,20,6,direct cost,-221, Farmgate ,,,,,,,,,,
prairie,20,9,direct cost,-169, Farmgate ,,,,,,,,,,
prairie,30,3,direct cost,-247, Farmgate ,,,,,,,,,,
prairie,30,6,direct cost,-169, Farmgate ,,,,,,,,,,
prairie,30,9,direct cost,-91, Farmgate ,,,,,,,,,,
prairie,40,3,direct cost,-221, Farmgate ,,,,,,,,,,
prairie,40,6,direct cost,-117, Farmgate ,,,,,,,,,,
prairie,40,9,direct cost,-12, Farmgate ,,,,,,,,,,
prairie,50,3,direct cost,-195, Farmgate ,,,,,,,,,,
prairie,50,6,direct cost,-64, Farmgate ,,,,,,,,,,
prairie,50,9,direct cost,66, Farmgate ,,,,,,,,,,
prairie,60,3,direct cost,-169, Farmgate ,,,,,,,,,,
prairie,60,6,direct cost,-12, Farmgate ,,,,,,,,,,
prairie,60,9,direct cost,145, Farmgate ,,,,,,,,,,
prairie,70,3,direct cost,-143, Farmgate ,,,,,,,,,,
prairie,70,6,direct cost,40, Farmgate ,,,,,,,,,,
prairie,70,9,direct cost,223, Farmgate ,,,,,,,,,,
prairie,80,3,direct cost,-117, Farmgate ,,,,,,,,,,
prairie,80,6,direct cost,93, Farmgate ,,,,,,,,,,
prairie,80,9,direct cost,302, Farmgate ,,,,,,,,,,
prairie,90,3,direct cost,-91, Farmgate ,,,,,,,,,,
prairie,90,6,direct cost,145, Farmgate ,,,,,,,,,,
prairie,90,9,direct cost,380, Farmgate ,,,,,,,,,,
prairie,100,3,direct cost,-64, Farmgate ,,,,,,,,,,
prairie,100,6,direct cost,197, Farmgate ,,,,,,,,,,
prairie,100,9,direct cost,459, Farmgate ,,,,,,,,,,
prairie,110,3,direct cost,-38, Farmgate ,,,,,,,,,,
prairie,110,6,direct cost,249, Farmgate ,,,,,,,,,,
prairie,110,9,direct cost,537, Farmgate ,,,,,,,,,,
prairie,120,3,direct cost,-12, Farmgate ,,,,,,,,,,
prairie,120,6,direct cost,302, Farmgate ,,,,,,,,,,
prairie,120,9,direct cost,616, Farmgate ,,,,,,,,,,
prairie,130,3,direct cost,14, Farmgate ,,,,,,,,,,
prairie,130,6,direct cost,354, Farmgate ,,,,,,,,,,
prairie,130,9,direct cost,694, Farmgate ,,,,,,,,,,
prairie,140,3,direct cost,40, Farmgate ,,,,,,,,,,
prairie,140,6,direct cost,406, Farmgate ,,,,,,,,,,
prairie,140,9,direct cost,773, Farmgate ,,,,,,,,,,
cereal rye,20,1,delivered cost,-276, Farmgate ,,,,,,,,,,
cereal rye,20,3,delivered cost,-233, Farmgate ,,,,,,,,,,
cereal rye,20,5,delivered cost,-191, Farmgate ,,,,,,,,,,
cereal rye,30,1,delivered cost,-265, Farmgate ,,,,,,,,,,
cereal rye,30,3,delivered cost,-201, Farmgate ,,,,,,,,,,
cereal rye,30,5,delivered cost,-138, Farmgate ,,,,,,,,,,
cereal rye,40,1,delivered cost,-254, Farmgate ,,,,,,,,,,
cereal rye,40,3,delivered cost,-170, Farmgate ,,,,,,,,,,
cereal rye,40,5,delivered cost,-85, Farmgate ,,,,,,,,,,
cereal rye,50,1,delivered cost,-244, Farmgate ,,,,,,,,,,
cereal rye,50,3,delivered cost,-138, Farmgate ,,,,,,,,,,
cereal rye,50,5,delivered cost,-32, Farmgate ,,,,,,,,,,
cereal rye,60,1,delivered cost,-233, Farmgate ,,,,,,,,,,
cereal rye,60,3,delivered cost,-106, Farmgate ,,,,,,,,,,
cereal rye,60,5,delivered cost,21, Farmgate ,,,,,,,,,,
cereal rye,70,1,delivered cost,-223, Farmgate ,,,,,,,,,,
cereal rye,70,3,delivered cost,-74, Farmgate ,,,,,,,,,,
cereal rye,70,5,delivered cost,74, Farmgate ,,,,,,,,,,
cereal rye,80,1,delivered cost,-212, Farmgate ,,,,,,,,,,
cereal rye,80,3,delivered cost,-42, Farmgate ,,,,,,,,,,
