transport,biomass,costs,discount,price,yield,npv,
Farmgate,cereal rye,direct cost,0.06,20,0.4,-288.32,
Farmgate,cereal rye,direct cost,0.06,20,1.766666667,-259.3466667,
Farmgate,cereal rye,direct cost,0.06,20,3.133333333,-230.3733333,
Farmgate,cereal rye,direct cost,0.06,20,4.5,-201.4,
Farmgate,cereal rye,direct cost,0.06,30,0.4,-284.08,
Farmgate,cereal rye,direct cost,0.06,30,1.766666667,-240.62,
Farmgate,cereal rye,direct cost,0.06,30,3.133333333,-197.16,
Farmgate,cereal rye,direct cost,0.06,30,4.5,-153.7,
Farmgate,cereal rye,direct cost,0.06,40,0.4,-279.84,
Farmgate,cereal rye,direct cost,0.06,40,1.766666667,-221.8933333,
Farmgate,cereal rye,direct cost,0.06,40,3.133333333,-163.9466667,
Farmgate,cereal rye,direct cost,0.06,40,4.5,-106,
Farmgate,cereal rye,direct cost,0.06,50,0.4,-275.6,
Farmgate,cereal rye,direct cost,0.06,50,1.766666667,-203.1666667,
Farmgate,cereal rye,direct cost,0.06,50,3.133333333,-130.7333333,
Farmgate,cereal rye,direct cost,0.06,50,4.5,-58.3,
Farmgate,cereal rye,direct cost,0.06,60,0.4,-271.36,
Farmgate,cereal rye,direct cost,0.06,60,1.766666667,-184.44,
Farmgate,cereal rye,direct cost,0.06,60,3.133333333,-97.52,
Farmgate,cereal rye,direct cost,0.06,60,4.5,-10.6,
Farmgate,cereal rye,direct cost,0.06,70,0.4,-267.12,
Farmgate,cereal rye,direct cost,0.06,70,1.766666667,-165.7133333,
Farmgate,cereal rye,direct cost,0.06,70,3.133333333,-64.30666667,
Farmgate,cereal rye,direct cost,0.06,70,4.5,37.1,
Farmgate,cereal rye,direct cost,0.06,80,0.4,-262.88,
Farmgate,cereal rye,direct cost,0.06,80,1.766666667,-146.9866667,
Farmgate,cereal rye,direct cost,0.06,80,3.133333333,-31.09333333,
Farmgate,cereal rye,direct cost,0.06,80,4.5,84.8,
Farmgate,cereal rye,direct cost,0.06,90,0.4,-258.64,
Farmgate,cereal rye,direct cost,0.06,90,1.766666667,-128.26,
Farmgate,cereal rye,direct cost,0.06,90,3.133333333,2.12,
Farmgate,cereal rye,direct cost,0.06,90,4.5,132.5,
Farmgate,cereal rye,direct cost,0.06,100,0.4,-254.4,
Farmgate,cereal rye,direct cost,0.06,100,1.766666667,-109.5333333,
Farmgate,cereal rye,direct cost,0.06,100,3.133333333,35.33333333,
Farmgate,cereal rye,direct cost,0.06,100,4.5,180.2,
Farmgate,cereal rye,direct cost,0.06,110,0.4,-250.16,
Farmgate,cereal rye,direct cost,0.06,110,1.766666667,-90.80666667,
Farmgate,cereal rye,direct cost,0.06,110,3.133333333,68.54666667,
Farmgate,cereal rye,direct cost,0.06,110,4.5,227.9,
Farmgate,cereal rye,direct cost,0.06,120,0.4,-245.92,
Farmgate,cereal rye,direct cost,0.06,120,1.766666667,-72.08,
Farmgate,cereal rye,direct cost,0.06,120,3.133333333,101.76,
Farmgate,cereal rye,direct cost,0.06,120,4.5,275.6,
Farmgate,cereal rye,direct cost,0.06,130,0.4,-241.68,
Farmgate,cereal rye,direct cost,0.06,130,1.766666667,-53.35333333,
Farmgate,cereal rye,direct cost,0.06,130,3.133333333,134.9733333,
Farmgate,cereal rye,direct cost,0.06,130,4.5,323.3,
Farmgate,cereal rye,direct cost,0.06,140,0.4,-237.44,
Farmgate,cereal rye,direct cost,0.06,140,1.766666667,-34.62666667,
Farmgate,cereal rye,direct cost,0.06,140,3.133333333,168.1866667,
Farmgate,cereal rye,direct cost,0.06,140,4.5,371,
8 km,cereal rye,delivered cost,0.06,20,0.4,-292.984,
8 km,cereal rye,delivered cost,0.06,20,1.766666667,-279.946,
8 km,cereal rye,delivered cost,0.06,20,3.133333333,-266.908,
8 km,cereal rye,delivered cost,0.06,20,4.5,-253.87,
8 km,cereal rye,delivered cost,0.06,30,0.4,-288.744,
8 km,cereal rye,delivered cost,0.06,30,1.766666667,-261.2193333,
8 km,cereal rye,delivered cost,0.06,30,3.133333333,-233.6946667,
8 km,cereal rye,delivered cost,0.06,30,4.5,-206.17,
8 km,cereal rye,delivered cost,0.06,40,0.4,-284.504,
8 km,cereal rye,delivered cost,0.06,40,1.766666667,-242.4926667,
8 km,cereal rye,delivered cost,0.06,40,3.133333333,-200.4813333,
8 km,cereal rye,delivered cost,0.06,40,4.5,-158.47,
8 km,cereal rye,delivered cost,0.06,50,0.4,-280.264,
8 km,cereal rye,delivered cost,0.06,50,1.766666667,-223.766,
8 km,cereal rye,delivered cost,0.06,50,3.133333333,-167.268,
8 km,cereal rye,delivered cost,0.06,50,4.5,-110.77,
8 km,cereal rye,delivered cost,0.06,60,0.4,-276.024,
8 km,cereal rye,delivered cost,0.06,60,1.766666667,-205.0393333,
8 km,cereal rye,delivered cost,0.06,60,3.133333333,-134.0546667,
8 km,cereal rye,delivered cost,0.06,60,4.5,-63.07,
8 km,cereal rye,delivered cost,0.06,70,0.4,-271.784,
8 km,cereal rye,delivered cost,0.06,70,1.766666667,-186.3126667,
8 km,cereal rye,delivered cost,0.06,70,3.133333333,-100.8413333,
8 km,cereal rye,delivered cost,0.06,70,4.5,-15.37,
8 km,cereal rye,delivered cost,0.06,80,0.4,-267.544,
8 km,cereal rye,delivered cost,0.06,80,1.766666667,-167.586,
8 km,cereal rye,delivered cost,0.06,80,3.133333333,-67.628,
8 km,cereal rye,delivered cost,0.06,80,4.5,32.33,
8 km,cereal rye,delivered cost,0.06,90,0.4,-263.304,
8 km,cereal rye,delivered cost,0.06,90,1.766666667,-148.8593333,
8 km,cereal rye,delivered cost,0.06,90,3.133333333,-34.41466667,
8 km,cereal rye,delivered cost,0.06,90,4.5,80.03,
8 km,cereal rye,delivered cost,0.06,100,0.4,-259.064,
8 km,cereal rye,delivered cost,0.06,100,1.766666667,-130.1326667,
8 km,cereal rye,delivered cost,0.06,100,3.133333333,-1.201333333,
8 km,cereal rye,delivered cost,0.06,100,4.5,127.73,
8 km,cereal rye,delivered cost,0.06,110,0.4,-254.824,
8 km,cereal rye,delivered cost,0.06,110,1.766666667,-111.406,
8 km,cereal rye,delivered cost,0.06,110,3.133333333,32.012,
8 km,cereal rye,delivered cost,0.06,110,4.5,175.43,
8 km,cereal rye,delivered cost,0.06,120,0.4,-250.584,
8 km,cereal rye,delivered cost,0.06,120,1.766666667,-92.67933333,
8 km,cereal rye,delivered cost,0.06,120,3.133333333,65.22533333,
8 km,cereal rye,delivered cost,0.06,120,4.5,223.13,
8 km,cereal rye,delivered cost,0.06,130,0.4,-246.344,
8 km,cereal rye,delivered cost,0.06,130,1.766666667,-73.95266667,
8 km,cereal rye,delivered cost,0.06,130,3.133333333,98.43866667,
8 km,cereal rye,delivered cost,0.06,130,4.5,270.83,
8 km,cereal rye,delivered cost,0.06,140,0.4,-242.104,
8 km,cereal rye,delivered cost,0.06,140,1.766666667,-55.226,
8 km,cereal rye,delivered cost,0.06,140,3.133333333,131.652,
8 km,cereal rye,delivered cost,0.06,140,4.5,318.53,
16 km,cereal rye,delivered cost,0.06,20,0.4,-295.528,
16 km,cereal rye,delivered cost,0.06,20,1.766666667,-291.182,
16 km,cereal rye,delivered cost,0.06,20,3.133333333,-286.836,
16 km,cereal rye,delivered cost,0.06,20,4.5,-282.49,
16 km,cereal rye,delivered cost,0.06,30,0.4,-291.288,
16 km,cereal rye,delivered cost,0.06,30,1.766666667,-272.4553333,
16 km,cereal rye,delivered cost,0.06,30,3.133333333,-253.6226667,
16 km,cereal rye,delivered cost,0.06,30,4.5,-234.79,
16 km,cereal rye,delivered cost,0.06,40,0.4,-287.048,
16 km,cereal rye,delivered cost,0.06,40,1.766666667,-253.7286667,
16 km,cereal rye,delivered cost,0.06,40,3.133333333,-220.4093333,
16 km,cereal rye,delivered cost,0.06,40,4.5,-187.09,
16 km,cereal rye,delivered cost,0.06,50,0.4,-282.808,
16 km,cereal rye,delivered cost,0.06,50,1.766666667,-235.002,
16 km,cereal rye,delivered cost,0.06,50,3.133333333,-187.196,
16 km,cereal rye,delivered cost,0.06,50,4.5,-139.39,
16 km,cereal rye,delivered cost,0.06,60,0.4,-278.568,
16 km,cereal rye,delivered cost,0.06,60,1.766666667,-216.2753333,
16 km,cereal rye,delivered cost,0.06,60,3.133333333,-153.9826667,
16 km,cereal rye,delivered cost,0.06,60,4.5,-91.69,
16 km,cereal rye,delivered cost,0.06,70,0.4,-274.328,
16 km,cereal rye,delivered cost,0.06,70,1.766666667,-197.5486667,
16 km,cereal rye,delivered cost,0.06,70,3.133333333,-120.7693333,
16 km,cereal rye,delivered cost,0.06,70,4.5,-43.99,
16 km,cereal rye,delivered cost,0.06,80,0.4,-270.088,
16 km,cereal rye,delivered cost,0.06,80,1.766666667,-178.822,
16 km,cereal rye,delivered cost,0.06,80,3.133333333,-87.556,
16 km,cereal rye,delivered cost,0.06,80,4.5,3.71,
16 km,cereal rye,delivered cost,0.06,90,0.4,-265.848,
16 km,cereal rye,delivered cost,0.06,90,1.766666667,-160.0953333,
