OBJECTID,FBndID,Acres,isAG,updateYr,MLRA,inSup,OBJECTID_1,FBndID_1,Acres_1,isAG_1,updateYr_1,Shape_Length_1,Shape_Area_1,GenLU,CropRotatn,CropSumry,CCCount,FertYrs,CornYrs,CCpairs,N_6Yrs,N_Annual,Nrate,Nconc,NloadAc,wsNload,NLoadReduced,NO3conc,NO3loadAc,wsNO3load,NO3LoadReduced,Shape_Length,Shape_Area
1,F070600061003_5,77.22413635,1,2009,105,0,,F070600061003_5,77.22413635,1,2009,2470.398537,312548.6054,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,30349,5058,130.9996338,11.7986021,24.80876732,1916,0,11.7986021,24.80876732,1916,0,2470.398537,312548.6054
2,F070600061003_17,136.1311646,1,2009,105,0,,F070600061003_17,136.1311646,1,2009,5421.430886,550905.9635,Corn/Soybeans,BCBCCB,C3B3,1:6,3,3,1,58128,9688,142.333313,12.65267277,26.60461044,3622,0,12.65267277,26.60461044,3622,0,5421.430886,550905.9635
3,F070600061003_19,30.80958748,1,2009,105,0,,F070600061003_19,30.80958748,1,2009,2006.577998,124682.9105,Corn/Soybeans,CBCBWC,C3B2W1,0:6,4,3,0,15497,2583,125.7481918,11.43936634,24.05340767,741,0,11.43936634,24.05340767,741,0,2006.577998,124682.9105
4,F070600061003_34,15.33605576,1,2009,105,0,,F070600061003_34,15.33605576,1,2009,1053.104678,62064.3068,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,6027,1004,130.9984741,11.79852009,24.80859566,380,0,11.79852009,24.80859566,380,0,1053.104678,62064.3068
5,F070600061003_39,67.1909256,2,2009,105,0,,F070600061003_39,67.1909256,2,2009,6068.048721,271918.6882,Pasture|Grass|Hay,PPPPPP,P6,0:6,0,0,0,0,0,,1.149999976,2.418090105,162,0,1.149999976,2.418090105,162,0,6068.048721,271918.6882
6,F070600061003_77,117.2616425,1,2009,105,0,,F070600061003_77,117.2616425,1,2009,3247.691059,474566.8172,Corn/Perennial,CCPPPP,C2P4,1:6,2,2,1,34709,5785,147.9980927,13.12352943,27.59467506,3236,0,13.12352943,27.59467506,3236,0,3247.691059,474566.8172
7,F070600061003_78,105.8768234,1,2009,105,0,,F070600061003_78,105.8768234,1,2009,4337.682138,428493.126,Corn/Perennial,CCPPPP,C2P4,1:6,2,2,1,31340,5223,148.0021667,13.12387943,27.5954113,2922,0,13.12387943,27.5954113,2922,0,4337.682138,428493.126
8,F070600061003_89,25.20028496,1,2009,105,0,,F070600061003_89,25.20028496,1,2009,1331.026091,101988.9559,Corn/Soybeans,BCBCCC,C4B2,2:6,4,4,2,14919,2486,148.0042725,13.12405968,27.59578896,695,0,13.12405968,27.59578896,695,0,1331.026091,101988.9559
9,F070600061003_97,206.997879,1,2009,105,0,,F070600061003_97,206.997879,1,2009,3880.448236,837755.4299,Corn/Soybeans,BCBCBC,C3B3,0:6,3,3,0,81350,13558,130.9997253,11.79860783,24.80877876,5135,0,11.79860783,24.80877876,5135,0,3880.448236,837755.4299
10,F070600061003_99,74.77745056,1,2009,105,0,,F070600061003_99,74.77745056,1,2009,2646.859543,302638.6111,Corn/Soybeans,CBCBCB,C3B3,0:6,3,3,0,29388,4898,131.0020599,11.79877281,24.8091259,1855,0,11.79877281,24.8091259,1855,0,2646.859543,302638.6111
