ObjectID,FacilityID,FacilityRank,Name,IncidentCurbApproach,FacilityCurbApproach,IncidentID,StartTime,EndTime,StartTimeUTC,EndTimeUTC,Total_Minutes,Total_TimeAt1KPH,Total_TravelTime,Total_TruckMinutes,Total_TruckTravelTime,Total_WalkTime,Total_Kilometers,Total_Miles,Shape_Length
1,1,1,F070600060901_7 - Go To Location 1,1,1,1,,,,,,,,,43.63470736,,51.43086389,,0.533692723
2,1,1,F070600060901_9 - Go To Location 1,2,1,2,,,,,,,,,43.08063485,,51.01849849,,0.530594444
3,1,1,F070600060901_11 - Go To Location 1,2,1,3,,,,,,,,,44.28930561,,52.00908033,,0.538898554
4,1,1,F070600060901_12 - Go To Location 1,1,1,4,,,,,,,,,45.01837909,,52.29410495,,0.541464635
5,1,1,F070600060901_13 - Go To Location 1,1,1,5,,,,,,,,,44.13402474,,51.87191842,,0.537663651
6,1,1,F070600060901_37 - Go To Location 1,1,1,6,,,,,,,,,52.65755168,,53.81634495,,0.558921665
7,1,1,F070600060901_38 - Go To Location 1,1,1,7,,,,,,,,,48.27310829,,78.64680238,,0.802296472
8,1,1,F070600060901_39 - Go To Location 1,2,1,8,,,,,,,,,46.11437053,,51.22170912,,0.539692469
9,1,1,F070600060901_41 - Go To Location 1,1,1,9,,,,,,,,,49.16835859,,53.11848535,,0.552638618
10,1,1,F070600060901_53 - Go To Location 1,2,1,10,,,,,,,,,46.85357478,,77.75785324,,0.790264657
11,1,1,F070600060901_54 - Go To Location 1,2,1,11,,,,,,,,,46.87101273,,77.77452018,,0.790414716
12,1,1,F070600060901_56 - Go To Location 1,1,1,12,,,,,,,,,44.52797528,,54.44399885,,0.557017719
13,1,1,F070600060901_57 - Go To Location 1,2,1,13,,,,,,,,,44.52874844,,54.44477828,,0.557024737
14,1,1,F070600060901_58 - Go To Location 1,2,1,14,,,,,,,,,44.11365965,,54.02544164,,0.553881115
15,1,1,F070600060901_60 - Go To Location 1,2,1,15,,,,,,,,,45.25608587,,54.52753346,,0.559934999
16,1,1,F070600060901_61 - Go To Location 1,2,1,16,,,,,,,,,44.76423152,,54.38817845,,0.55825475
17,1,1,F070600060901_90 - Go To Location 1,1,1,17,,,,,,,,,46.85478726,,77.75901212,,0.790275091
18,1,1,F070600060901_100 - Go To Location 1,2,1,18,,,,,,,,,43.05882564,,52.94042232,,0.540810543
19,1,1,F070600060901_101 - Go To Location 1,2,1,19,,,,,,,,,42.74708945,,52.63275695,,0.537101072
20,1,1,F070600060901_102 - Go To Location 1,2,1,20,,,,,,,,,43.87849131,,73.21438422,,0.746124981
21,1,1,F070600060901_335 - Go To Location 1,2,1,21,,,,,,,,,50.20868388,,53.32655666,,0.554511948
22,1,1,F070600060901_336 - Go To Location 1,2,1,22,,,,,,,,,48.84704128,,53.05421996,,0.552060017
23,1,1,F070600060901_337 - Go To Location 1,2,1,23,,,,,,,,,43.31426746,,53.19252843,,0.543850145
24,1,1,F070600060901_338 - Go To Location 1,2,1,24,,,,,,,,,43.2702,,53.14903643,,0.543325769
25,1,1,F070600060901_445 - Go To Location 1,1,1,25,,,,,,,,,48.23261389,,78.60315166,,0.801899228
26,1,1,F070600060901_715 - Go To Location 1,1,1,26,,,,,,,,,43.73947277,,51.52340474,,0.534525891
27,1,1,F070600060901_716 - Go To Location 1,1,1,27,,,,,,,,,43.72763175,,51.51294539,,0.534431724
28,1,1,F070600060901_718 - Go To Location 1,2,1,28,,,,,,,,,51.0593385,,53.4966927,,0.556043736
29,1,1,F070600060901_721 - Go To Location 1,1,1,29,,,,,,,,,47.41174589,,52.76715225,,0.549475457
30,1,1,F070600060901_724 - Go To Location 1,2,1,30,,,,,,,,,43.41658526,,51.50001623,,0.536402808
31,1,1,F070600060901_745 - Go To Location 1,1,1,31,,,,,,,,,50.44123315,,53.37306792,,0.554930704
32,1,1,F070600060901_746 - Go To Location 1,2,1,32,,,,,,,,,48.1897082,,78.55690169,,0.80147833
33,1,1,F070600060901_747 - Go To Location 1,2,1,33,,,,,,,,,48.28886731,,78.66378974,,0.802451066
34,1,1,F070600060901_753 - Go To Location 1,2,1,34,,,,,,,,,46.75096127,,77.65977683,,0.789381638
35,1,1,F070600060901_756 - Go To Location 1,2,1,35,,,,,,,,,46.26622113,,51.38675596,,0.541211424
36,1,1,F070600060901_757 - Go To Location 1,2,1,36,,,,,,,,,44.54309143,,54.45923761,,0.55715492
37,1,1,F070600060901_761 - Go To Location 1,2,1,37,,,,,,,,,45.23006206,,76.28077771,,0.771990174
38,1,1,F070600061002_39 - Go To Location 1,1,1,38,,,,,,,,,41.94807914,,49.78927616,,0.515766781
39,1,1,F070600061002_69 - Go To Location 1,1,1,39,,,,,,,,,47.83749065,,57.57054787,,0.59543061
40,1,1,F070600061002_70 - Go To Location 1,2,1,40,,,,,,,,,47.90484043,,57.59072165,,0.595673416
41,1,1,F070600061002_102 - Go To Location 1,1,1,41,,,,,,,,,43.65923883,,52.00975303,,0.537621411
42,1,1,F070600061002_111 - Go To Location 1,2,1,42,,,,,,,,,47.29877909,,53.05350245,,0.548244817
43,1,1,F070600061002_112 - Go To Location 1,1,1,43,,,,,,,,,46.69321241,,52.93238911,,0.54715469
44,1,1,F070600061002_113 - Go To Location 1,2,1,44,,,,,,,,,46.46049383,,51.58437522,,0.535022825
45,1,1,F070600061002_115 - Go To Location 1,1,1,45,,,,,,,,,42.83229672,,51.10727672,,0.526733575
46,1,1,F070600061002_117 - Go To Location 1,2,1,46,,,,,,,,,41.4951453,,49.42330789,,0.511350659
47,1,1,F070600061002_118 - Go To Location 1,1,1,47,,,,,,,,,43.09489015,,51.39385584,,0.530190967
48,1,1,F070600061002_120 - Go To Location 1,2,1,48,,,,,,,,,40.94796282,,48.98264833,,0.504224543
49,1,1,F070600061002_121 - Go To Location 1,2,1,49,,,,,,,,,42.32566442,,50.59493826,,0.52055474
50,1,1,F070600061002_125 - Go To Location 1,2,1,50,,,,,,,,,42.79998576,,50.67204993,,0.526415386
51,1,1,F070600061002_166 - Go To Location 1,2,1,51,,,,,,,,,41.13336826,,49.01388992,,0.506416026
52,1,1,F070600061002_167 - Go To Location 1,1,1,52,,,,,,,,,42.29940018,,50.56453023,,0.520187336
53,1,1,F070600061002_170 - Go To Location 1,2,1,53,,,,,,,,,40.90411144,,48.77067374,,0.503484394
54,1,1,F070600061002_171 - Go To Location 1,1,1,54,,,,,,,,,41.05496648,,49.1398664,,0.505640253
55,1,1,F070600061002_172 - Go To Location 1,2,1,55,,,,,,,,,40.90639617,,48.77309759,,0.50351361
56,1,1,F070600061002_174 - Go To Location 1,1,1,56,,,,,,,,,41.3073903,,49.51105665,,0.508980017
57,1,1,F070600061002_178 - Go To Location 1,1,1,57,,,,,,,,,40.78004061,,48.6177683,,0.501641047
58,1,1,F070600061002_182 - Go To Location 1,1,1,58,,,,,,,,,41.56497624,,49.39229229,,0.510978058
59,1,1,F070600061002_186 - Go To Location 1,1,1,59,,,,,,,,,42.34926523,,50.20499843,,0.520781542
60,1,1,F070600061002_262 - Go To Location 1,1,1,60,,,,,,,,,44.76426018,,52.61402818,,0.544905092
61,1,1,F070801010301_1 - Go To Location 1,2,1,61,,,,,,,,,19.56828292,,24.48166205,,0.24796056
62,1,1,F070801010301_23 - Go To Location 1,2,1,62,,,,,,,,,19.33424531,,28.06415463,,0.301496297
63,1,1,F070801010301_29 - Go To Location 1,2,1,63,,,,,,,,,16.93463612,,22.53501509,,0.229689991
64,1,1,F070801010301_30 - Go To Location 1,2,1,64,,,,,,,,,17.94004287,,23.50003294,,0.23970491
65,1,1,F070801010301_37 - Go To Location 1,1,1,65,,,,,,,,,19.08863181,,25.69664776,,0.260204912
66,1,1,F070801010301_40 - Go To Location 1,1,1,66,,,,,,,,,19.25484609,,26.08126917,,0.264960184
67,1,1,F070801010301_41 - Go To Location 1,1,1,67,,,,,,,,,19.28152893,,25.79531858,,0.260320775
68,1,1,F070801010301_42 - Go To Location 1,1,1,68,,,,,,,,,18.53076197,,25.2072951,,0.254487132
69,1,1,F070801010301_48 - Go To Location 1,2,1,69,,,,,,,,,18.17783547,,24.78131907,,0.249382539
70,1,1,F070801010301_50 - Go To Location 1,2,1,70,,,,,,,,,18.39432104,,25.04260981,,0.252513689
71,1,1,F070801010301_51 - Go To Location 1,2,1,71,,,,,,,,,19.73920743,,26.22883098,,0.264224622
72,1,1,F070801010301_52 - Go To Location 1,2,1,72,,,,,,,,,21.9526213,,27.14418723,,0.273988498
73,1,1,F070801010301_56 - Go To Location 1,1,1,73,,,,,,,,,21.56080912,,27.02663309,,0.272639453
74,1,1,F070801010301_57 - Go To Location 1,1,1,74,,,,,,,,,21.0108672,,26.8616358,,0.270681502
75,1,1,F070801010301_65 - Go To Location 1,2,1,75,,,,,,,,,22.020874,,26.56522681,,0.263701946
76,1,1,F070801010301_66 - Go To Location 1,1,1,76,,,,,,,,,18.6278578,,25.37875678,,0.251891132
77,1,1,F070801010301_69 - Go To Location 1,2,1,77,,,,,,,,,23.54344993,,29.02506186,,0.288337686
78,1,1,F070801010301_71 - Go To Location 1,1,1,78,,,,,,,,,23.54659581,,29.47400963,,0.292992558
79,1,1,F070801010301_75 - Go To Location 1,2,1,79,,,,,,,,,18.05564864,,24.62116553,,0.245026125
80,1,1,F070801010301_78 - Go To Location 1,1,1,80,,,,,,,,,19.82352614,,26.30869754,,0.264943837
81,1,1,F070801010301_87 - Go To Location 1,2,1,81,,,,,,,,,19.75494456,,29.45358951,,0.320828824
82,1,1,F070801010301_88 - Go To Location 1,2,1,82,,,,,,,,,19.11011788,,28.88491584,,0.312601154
83,1,1,F070801010301_93 - Go To Location 1,2,1,83,,,,,,,,,20.63921607,,29.64963097,,0.320430142
84,1,1,F070801010301_95 - Go To Location 1,2,1,84,,,,,,,,,22.45151894,,29.40789136,,0.297666073
85,1,1,F070801010301_97 - Go To Location 1,1,1,85,,,,,,,,,21.56443048,,31.17684068,,0.337207101
86,1,1,F070801010301_99 - Go To Location 1,1,1,86,,,,,,,,,22.76232556,,29.52715613,,0.301244623
87,1,1,F070801010301_100 - Go To Location 1,1,1,87,,,,,,,,,21.47410355,,30.92458273,,0.333860023
88,1,1,F070801010301_102 - Go To Location 1,1,1,88,,,,,,,,,21.47410355,,30.92458273,,0.333860023
89,1,1,F070801010301_103 - Go To Location 1,1,1,89,,,,,,,,,22.16294903,,34.35302552,,0.362379457
