OBJECTID,FacilityID,Name,Total_TruckTravelTime,Total_Kilometers,Shape_Length
1,1,F070802060501_101 - Go To Location 1,8.533919636,12.04523728,0.112592561
2,1,F070802060501_102 - Go To Location 1,8.749645948,12.36348003,0.116409749
3,1,F070802060501_103 - Go To Location 1,19.59944474,18.51262094,0.174041649
4,1,F070802060501_104 - Go To Location 1,19.60597082,18.52090188,0.17414089
5,1,F070802060501_106 - Go To Location 1,9.243953293,11.74532403,0.106873377
6,1,F070802060501_108 - Go To Location 1,18.49351454,16.82597662,0.15868748
7,1,F070802060501_111 - Go To Location 1,18.49351454,16.82597662,0.15868748
8,1,F070802060501_115 - Go To Location 1,19.45624692,18.33091704,0.171864072
9,1,F070802060501_118 - Go To Location 1,17.76080328,16.96874723,0.157725898
10,1,F070802060501_119 - Go To Location 1,18.05690808,17.16730182,0.159513532
11,1,F070802060501_120 - Go To Location 1,19.04647956,17.87178381,0.166361774
12,1,F070802060501_121 - Go To Location 1,17.96629634,17.10654121,0.158966504
13,1,F070802060501_122 - Go To Location 1,19.13095744,17.91815683,0.166917496
14,1,F070802060501_123 - Go To Location 1,19.48212991,18.25676904,0.170975593
15,1,F070802060501_125 - Go To Location 1,18.42496203,18.53333442,0.176579139
16,1,F070802060501_126 - Go To Location 1,21.54362543,20.27609246,0.192325804
17,1,F070802060501_127 - Go To Location 1,21.15500465,19.72708024,0.187382183
18,1,F070802060501_128 - Go To Location 1,20.00098295,18.71528068,0.176470398
19,1,F070802060501_129 - Go To Location 1,21.32740441,20.0352587,0.190157384
20,1,F070802060501_130 - Go To Location 1,20.97935017,19.64758496,0.186666673
21,1,F070802060501_131 - Go To Location 1,19.32383871,18.11688674,0.169299204
22,1,F070802060501_133 - Go To Location 1,23.94912339,20.47972037,0.194450571
23,1,F070802060501_134 - Go To Location 1,25.05702159,22.7205637,0.214317641
24,1,F070802060501_136 - Go To Location 1,23.94912339,20.47972037,0.194450571
25,1,F070802060501_138 - Go To Location 1,21.56560951,20.30057902,0.192546282
26,1,F070802060501_146 - Go To Location 1,13.70816208,14.32058264,0.133596813
27,1,F070802060501_148 - Go To Location 1,10.9441153,13.07358402,0.12029034
28,1,F070802060501_163 - Go To Location 1,22.60825952,22.1040809,0.21400073
29,1,F070802060501_169 - Go To Location 1,22.12719377,21.61498812,0.209597186
30,1,F070802060501_179 - Go To Location 1,25.71229956,23.07293631,0.222830766
31,1,F070802060501_181 - Go To Location 1,30.42756859,26.35229854,0.252462088
32,1,F070802060501_182 - Go To Location 1,16.89814838,16.39029957,0.152517831
33,1,F070802060501_183 - Go To Location 1,16.1999853,15.97004506,0.149752916
34,1,F070802060501_184 - Go To Location 1,16.23983816,16.00740079,0.150180106
35,1,F070802060501_185 - Go To Location 1,16.03766631,15.93258326,0.149469446
36,1,F070802060501_193 - Go To Location 1,13.42154021,14.29407963,0.135534869
37,1,F070802060501_195 - Go To Location 1,13.73624806,14.66915099,0.140031987
38,1,F070802060501_199 - Go To Location 1,11.13640739,13.37301209,0.121991415
39,1,F070802060501_201 - Go To Location 1,17.52495962,16.8106038,0.156302134
40,1,F070802060501_203 - Go To Location 1,22.48420406,25.62796332,0.261042692
41,1,F070802060501_204 - Go To Location 1,22.72409454,21.02633357,0.204164287
42,1,F070802060501_206 - Go To Location 1,22.32412808,25.57994495,0.260610344
43,1,F070802060501_207 - Go To Location 1,17.47405476,17.76583637,0.171332132
44,1,F070802060501_214 - Go To Location 1,22.99705003,20.69870207,0.192983692
45,1,F070802060501_216 - Go To Location 1,18.0567461,20.03544424,0.204430873
46,1,F070802060501_217 - Go To Location 1,16.25801344,19.54312854,0.201176376
47,1,F070802060501_219 - Go To Location 1,16.13161398,19.17042187,0.195568155
48,1,F070802060501_221 - Go To Location 1,17.67817782,17.31630755,0.165464626
49,1,F070802060501_225 - Go To Location 1,12.66317238,17.31065789,0.171030903
50,1,F070802060501_230 - Go To Location 1,21.06260051,19.7403118,0.187501645
51,1,F070802060501_231 - Go To Location 1,21.048456,19.72455721,0.18735978
52,1,F070802060501_233 - Go To Location 1,18.10900978,18.20159583,0.173591955
53,1,F070802060501_234 - Go To Location 1,17.93385195,18.01768636,0.171935917
54,1,F070802060501_236 - Go To Location 1,17.55500581,17.86889812,0.172567508
55,1,F070802060501_238 - Go To Location 1,21.64767076,19.40246512,0.18442718
56,1,F070802060501_241 - Go To Location 1,20.58347472,18.86139846,0.174767389
57,1,F070802060501_250 - Go To Location 1,21.80528809,25.64600152,0.258800714
58,1,F070802060501_254 - Go To Location 1,20.42716917,19.11786887,0.187060576
59,1,F070802060501_257 - Go To Location 1,19.47300504,18.11683182,0.16806294
60,1,F070802060501_261 - Go To Location 1,21.82434732,19.85165699,0.190087596
61,1,F070802060501_263 - Go To Location 1,18.053806,17.64578757,0.169414373
62,1,F070802060501_264 - Go To Location 1,18.37928043,17.93127337,0.172836744
63,1,F070802060501_268 - Go To Location 1,16.15555718,16.08387481,0.151253397
64,1,F070802060501_269 - Go To Location 1,16.06253008,15.82996915,0.147472721
65,1,F070802060501_274 - Go To Location 1,19.3077457,18.74566288,0.18259881
66,1,F070802060501_278 - Go To Location 1,19.1333003,18.5325206,0.178799139
67,1,F070802060501_279 - Go To Location 1,21.89940728,19.47253727,0.190976202
68,1,F070802060501_284 - Go To Location 1,8.387621583,10.46420473,0.09841603
69,1,F070802060501_285 - Go To Location 1,7.391247449,9.992619911,0.092758403
70,1,F070802060501_286 - Go To Location 1,7.653027006,10.27083341,0.096096253
71,1,F070802060501_288 - Go To Location 1,6.726852567,9.53585415,0.086032907
72,1,F070802060501_289 - Go To Location 1,7.305250557,9.699031129,0.089033615
73,1,F070802060501_292 - Go To Location 1,8.451853902,11.92544979,0.111151409
74,1,F070802060501_293 - Go To Location 1,8.707789073,12.30258016,0.115673521
75,1,F070802060501_294 - Go To Location 1,14.35243364,14.31209377,0.134812975
76,1,F070802060501_298 - Go To Location 1,7.480992858,9.443154185,0.090815207
77,1,F070802060501_313 - Go To Location 1,8.984946795,11.22962703,0.112275293
78,1,F070802060501_316 - Go To Location 1,12.31538943,14.04726704,0.14635681
79,1,F070802060501_320 - Go To Location 1,13.64515358,17.65687685,0.17379299
80,1,F070802060501_322 - Go To Location 1,18.94833962,18.35360648,0.182921419
81,1,F070802060501_325 - Go To Location 1,13.65982643,17.10404898,0.169588645
82,1,F070802060501_329 - Go To Location 1,11.69280492,16.44927146,0.165208162
83,1,F070802060501_331 - Go To Location 1,11.46920799,16.01712348,0.16334676
84,1,F070802060501_332 - Go To Location 1,11.33686443,15.9608723,0.163000298
85,1,F070802060501_334 - Go To Location 1,10.9683299,15.04959713,0.156843482
86,1,F070802060501_335 - Go To Location 1,11.17591262,15.26711487,0.159452111
87,1,F070802060501_337 - Go To Location 1,15.55062889,21.32452704,0.226822134
88,1,F070802060501_344 - Go To Location 1,12.3900323,16.51443358,0.17326427
89,1,F070802060501_345 - Go To Location 1,12.01513136,16.13480603,0.169311188
90,1,F070802060501_355 - Go To Location 1,13.6153228,19.09479219,0.200586744
91,1,F070802060501_361 - Go To Location 1,13.10078049,18.33852613,0.191517162
92,1,F070802060501_362 - Go To Location 1,13.42381016,18.22653574,0.189811669
93,1,F070802060501_363 - Go To Location 1,12.64639524,17.67077434,0.183508475
94,1,F070802060501_365 - Go To Location 1,17.17399494,20.09250319,0.20402327
95,1,F070802060501_372 - Go To Location 1,19.08925781,20.28629441,0.209399227
96,1,F070802060501_378 - Go To Location 1,15.80708818,18.72106027,0.189512962
97,1,F070802060501_380 - Go To Location 1,17.13870262,19.94391943,0.202694431
98,1,F070802060501_384 - Go To Location 1,16.4831108,19.08293605,0.194933372
99,1,F070802060501_388 - Go To Location 1,17.69439463,19.76037639,0.203640953
100,1,F070802060501_393 - Go To Location 1,18.38290428,20.87034155,0.211153335
101,1,F070802060501_399 - Go To Location 1,22.09791255,25.53184821,0.258002294
102,1,F070802060501_400 - Go To Location 1,22.09791255,25.53184821,0.258002294
103,1,F070802060501_403 - Go To Location 1,18.22377436,21.62661541,0.217835993
104,1,F070802060501_405 - Go To Location 1,20.18314116,24.03350927,0.243119098
105,1,F070802060501_406 - Go To Location 1,20.19528306,23.84879533,0.24072656
106,1,F070802060501_407 - Go To Location 1,19.506951,23.28479175,0.23286521
107,1,F070802060501_411 - Go To Location 1,19.32954822,22.37940375,0.225570122
108,1,F070802060501_416 - Go To Location 1,30.91823014,28.91095733,0.283221631
109,1,F070802060501_423 - Go To Location 1,14.22316133,19.98819865,0.211300758
110,1,F070802060501_428 - Go To Location 1,19.46442401,21.32882571,0.221149252
111,1,F070802060501_435 - Go To Location 1,20.44084365,24.19686943,0.260657752
112,1,F070802060501_445 - Go To Location 1,13.96342206,19.60644079,0.206722601
113,1,F070802060501_447 - Go To Location 1,14.52363823,20.42983165,0.216597201
114,1,F070802060501_455 - Go To Location 1,13.00651895,17.78502601,0.183682802
115,1,F070802060501_456 - Go To Location 1,13.04357543,17.82145583,0.184010831
116,1,F070802060501_459 - Go To Location 1,10.5817205,15.2622816,0.156065799
117,1,F070802060501_461 - Go To Location 1,10.10178426,14.68451374,0.150863424
118,1,F070802060501_463 - Go To Location 1,8.9561944,10.30203694,0.09872122
119,1,F070802060501_468 - Go To Location 1,14.3052049,19.74502093,0.207170273
120,1,F070802060501_475 - Go To Location 1,7.996211953,11.25397629,0.103099589
121,1,F070802060501_478 - Go To Location 1,12.19243264,17.03979209,0.175940756
122,1,F070802060501_481 - Go To Location 1,20.16277818,24.00941174,0.242830323
123,1,F070802060501_483 - Go To Location 1,9.971146955,14.38317155,0.149683023
124,1,F070802060501_485 - Go To Location 1,11.5563132,15.66572163,0.164232456
125,1,F070802060501_486 - Go To Location 1,13.69017261,18.46298861,0.189788027
126,1,F070802060501_490 - Go To Location 1,11.90769163,13.65995151,0.141861989
127,1,F070802060501_492 - Go To Location 1,12.33959128,16.77715775,0.171827398
128,1,F070802060501_497 - Go To Location 1,7.756808262,9.832219704,0.093560783
129,1,F070802060501_499 - Go To Location 1,7.521011321,9.655944219,0.093556123
130,1,F070802060501_510 - Go To Location 1,7.495630138,9.578492554,0.091276203
131,1,F070802060501_511 - Go To Location 1,9.407389619,10.44040578,0.100330416
132,1,F070802060501_515 - Go To Location 1,13.90676695,15.89620554,0.156316556
133,1,F070802060501_516 - Go To Location 1,13.93626484,15.90554723,0.156428192
134,1,F070802060501_524 - Go To Location 1,10.58590721,14.9104531,0.153278152
135,1,F070802060501_526 - Go To Location 1,9.728200195,12.91824769,0.12109799
136,1,F070802060501_528 - Go To Location 1,8.486625089,11.97546684,0.111755688
137,1,F070802060501_529 - Go To Location 1,12.68139246,14.14456107,0.132374672
138,1,F070802060501_531 - Go To Location 1,16.7990072,14.80142142,0.140502751
139,1,F070802060501_532 - Go To Location 1,16.7990072,14.80142142,0.140502751
140,1,F070802060501_535 - Go To Location 1,13.07291499,16.99528207,0.168079092
141,1,F070802060501_537 - Go To Location 1,11.50835418,15.95264061,0.158082247
142,1,F070802060501_542 - Go To Location 1,8.488217347,11.62774588,0.107298672
143,1,F070802060501_543 - Go To Location 1,8.400840359,11.14615393,0.101480044
144,1,F070802060501_544 - Go To Location 1,8.095436323,11.39840962,0.104834051
145,1,F070802060501_547 - Go To Location 1,13.51140734,15.18838745,0.159868262
146,1,F070802060501_555 - Go To Location 1,19.63490449,23.43114574,0.235900101
147,1,F070802060502_2 - Go To Location 1,22.79061757,20.91307348,0.207468785
148,1,F070802060502_4 - Go To Location 1,25.50040236,20.63167502,0.205884686
149,1,F070802060502_5 - Go To Location 1,15.62353678,16.7509457,0.165038918
150,1,F070802060502_7 - Go To Location 1,15.29824997,15.85860373,0.157107664
151,1,F070802060502_8 - Go To Location 1,17.12204542,17.51679923,0.173457036
152,1,F070802060502_9 - Go To Location 1,18.86069432,19.69474354,0.191630883
153,1,F070802060502_12 - Go To Location 1,13.65567159,16.43357661,0.158274072
154,1,F070802060502_13 - Go To Location 1,13.46976114,16.3089125,0.157152981
155,1,F070802060502_14 - Go To Location 1,13.88074866,16.5845043,0.159633072
156,1,F070802060502_17 - Go To Location 1,14.3184526,14.885772,0.13979646
157,1,F070802060502_20 - Go To Location 1,13.47279275,14.24997479,0.132949013
158,1,F070802060502_28 - Go To Location 1,17.61325196,17.94305343,0.173456389
159,1,F070802060502_30 - Go To Location 1,11.32711717,14.51148205,0.137467408
160,1,F070802060502_33 - Go To Location 1,16.00436569,15.34834219,0.145094571
161,1,F070802060502_34 - Go To Location 1,15.86996285,15.30801908,0.144611079
162,1,F070802060502_39 - Go To Location 1,15.24907985,18.1449375,0.177197954
163,1,F070802060502_40 - Go To Location 1,14.68965686,15.03246597,0.140948436
164,1,F070802060502_41 - Go To Location 1,15.14819119,18.02717869,0.175863057
165,1,F070802060502_46 - Go To Location 1,14.33020057,17.07252421,0.165040712
166,1,F070802060502_47 - Go To Location 1,14.3852905,17.13682604,0.16576963
167,1,F070802060502_50 - Go To Location 1,16.54533466,18.37121683,0.175720271
168,1,F070802060502_52 - Go To Location 1,16.18862694,18.1320229,0.173566092
169,1,F070802060502_56 - Go To Location 1,13.92604533,19.9542534,0.207983602
170,1,F070802060502_61 - Go To Location 1,17.12762935,18.25258555,0.182795463
171,1,F070802060502_63 - Go To Location 1,20.07186427,19.72085794,0.198029447
172,1,F070802060502_64 - Go To Location 1,21.02361485,20.122535,0.202608761
173,1,F070802060502_69 - Go To Location 1,24.95813186,23.48365255,0.238304776
174,1,F070802060502_70 - Go To Location 1,25.03139106,23.57556507,0.239406702
175,1,F070802060502_71 - Go To Location 1,19.26675474,19.30890382,0.193089312
176,1,F070802060502_72 - Go To Location 1,24.4763787,22.93857033,0.231769922
177,1,F070802060502_75 - Go To Location 1,23.22877207,21.55406932,0.218055899
178,1,F070802060502_76 - Go To Location 1,25.0276358,23.57085365,0.239350218
179,1,F070802060502_77 - Go To Location 1,22.60748203,20.68254175,0.20470513
180,1,F070802060502_83 - Go To Location 1,21.73471371,20.01251004,0.196672474
181,1,F070802060502_85 - Go To Location 1,20.97701213,19.8483362,0.194704429
182,1,F070802060502_86 - Go To Location 1,22.40634718,20.22209097,0.198999258
183,1,F070802060502_87 - Go To Location 1,17.44372365,18.52088345,0.181059653
184,1,F070802060502_88 - Go To Location 1,19.88710213,19.61218159,0.191873512
185,1,F070802060502_89 - Go To Location 1,17.65226426,18.69364681,0.182615573
186,1,F070802060502_92 - Go To Location 1,12.45224491,15.62663175,0.151011212
