radius,transport_cost,discount_rate,price,yield,npv,annualized_npv
Farmgate,0,0.05,20.0,1.89,-6388.683359752292,-827.3637230936059
Farmgate,0,0.05,20.0,3.3933333333333335,-6185.151450183055,-801.0054096529342
Farmgate,0,0.05,20.0,4.896666666666667,-5981.6195406138195,-774.6470962122626
Farmgate,0,0.05,20.0,6.4,-5778.087631044583,-748.2887827715908
Farmgate,0,0.05,30.0,1.89,-6260.742569590699,-810.794805442984
Farmgate,0,0.05,30.0,3.3933333333333335,-5955.444705236845,-771.2573352819767
Farmgate,0,0.05,30.0,4.896666666666667,-5650.14684088299,-731.719865120969
Farmgate,0,0.05,30.0,6.4,-5344.848976529137,-692.1823949599617
Farmgate,0,0.05,40.0,1.89,-6132.801779429105,-794.2258877923623
Farmgate,0,0.05,40.0,3.3933333333333335,-5725.737960290635,-741.5092609110192
Farmgate,0,0.05,40.0,4.896666666666667,-5318.674141152162,-688.7926340296757
Farmgate,0,0.05,40.0,6.4,-4911.610322013691,-636.0760071483326
Farmgate,0,0.05,50.0,1.89,-6004.860989267513,-777.6569701417407
Farmgate,0,0.05,50.0,3.3933333333333335,-5496.031215344423,-711.7611865400614
Farmgate,0,0.05,50.0,4.896666666666667,-4987.201441421333,-645.8654029383823
Farmgate,0,0.05,50.0,6.4,-4478.371667498243,-579.9696193367032
Farmgate,0,0.05,60.0,1.89,-5876.92019910592,-761.0880524911188
Farmgate,0,0.05,60.0,3.3933333333333335,-5266.324470398212,-682.0131121691038
Farmgate,0,0.05,60.0,4.896666666666667,-4655.728741690505,-602.9381718470889
Farmgate,0,0.05,60.0,6.4,-4045.1330129827966,-523.863231525074
Farmgate,0,0.05,70.0,1.89,-5748.979408944327,-744.519134840497
Farmgate,0,0.05,70.0,3.3933333333333335,-5036.617725452001,-652.2650377981462
Farmgate,0,0.05,70.0,4.896666666666667,-4324.256041959675,-560.0109407557954
Farmgate,0,0.05,70.0,6.4,-3611.8943584673493,-467.75684371344465
Farmgate,0,0.05,80.0,1.89,-5621.0386187827335,-727.9502171898752
Farmgate,0,0.05,80.0,3.3933333333333335,-4806.910980505791,-622.5169634271887
Farmgate,0,0.05,80.0,4.896666666666667,-3992.783342228846,-517.083709664502
Farmgate,0,0.05,80.0,6.4,-3178.6557039519025,-411.6504559018154
Farmgate,0,0.05,90.0,1.89,-5493.09782862114,-711.3812995392534
Farmgate,0,0.05,90.0,3.3933333333333335,-4577.204235559579,-592.7688890562309
Farmgate,0,0.05,90.0,4.896666666666667,-3661.310642498017,-474.1564785732086
Farmgate,0,0.05,90.0,6.4,-2745.4170494364553,-355.54406809018616
Farmgate,0,0.05,100.0,1.89,-5365.157038459548,-694.8123818886318
Farmgate,0,0.05,100.0,3.3933333333333335,-4347.4974906133675,-563.0208146852734
Farmgate,0,0.05,100.0,4.896666666666667,-3329.8379427671875,-431.2292474819151
Farmgate,0,0.05,100.0,6.4,-2312.178394921008,-299.43768027855685
Farmgate,0,0.05,110.0,1.89,-5237.216248297955,-678.2434642380099
Farmgate,0,0.05,110.0,3.3933333333333335,-4117.790745667157,-533.2727403143159
Farmgate,0,0.05,110.0,4.896666666666667,-2998.365243036359,-388.3020163906217
Farmgate,0,0.05,110.0,6.4,-1878.9397404055612,-243.3312924669276
Farmgate,0,0.05,120.0,1.89,-5109.275458136362,-661.6745465873882
Farmgate,0,0.05,120.0,3.3933333333333335,-3888.084000720946,-503.5246659433582
Farmgate,0,0.05,120.0,4.896666666666667,-2666.8925433055288,-345.3747852993281
Farmgate,0,0.05,120.0,6.4,-1445.7010858901142,-187.22490465529833
Farmgate,0,0.05,130.0,1.89,-4981.33466797477,-645.1056289367666
Farmgate,0,0.05,130.0,3.3933333333333335,-3658.3772557747357,-473.7765915724007
Farmgate,0,0.05,130.0,4.896666666666667,-2335.4198435747007,-302.4475542080348
Farmgate,0,0.05,130.0,6.4,-1012.4624313746676,-131.1185168436691
Farmgate,0,0.05,140.0,1.89,-4853.393877813178,-628.5367112861449
Farmgate,0,0.05,140.0,3.3933333333333335,-3428.670510828524,-444.02851720144304
Farmgate,0,0.05,140.0,4.896666666666667,-2003.9471438438723,-259.52032311674145
Farmgate,0,0.05,140.0,6.4,-579.2237768592203,-75.01212903203981
Farmgate,0,0.06,20.0,1.89,-6144.089716912392,-834.784924959742
Farmgate,0,0.06,20.0,3.3933333333333335,-5951.161212774069,-808.5721230199554
Farmgate,0,0.06,20.0,4.896666666666667,-5758.232708635748,-782.3593210801688
Farmgate,0,0.06,20.0,6.4,-5565.304204497427,-756.1465191403823
Farmgate,0,0.06,30.0,1.89,-6022.814260319899,-818.3074762902754
Farmgate,0,0.06,30.0,3.3933333333333335,-5733.421504112418,-778.9882733805956
Farmgate,0,0.06,30.0,4.896666666666667,-5444.028747904935,-739.6690704709156
Farmgate,0,0.06,30.0,6.4,-5154.6359916974525,-700.3498675612357
Farmgate,0,0.06,40.0,1.89,-5901.538803727408,-801.8300276208088
Farmgate,0,0.06,40.0,3.3933333333333335,-5515.681795450764,-749.4044237412355
Farmgate,0,0.06,40.0,4.896666666666667,-5129.8247871741205,-696.9788198616623
Farmgate,0,0.06,40.0,6.4,-4743.967778897479,-644.5532159820892
Farmgate,0,0.06,50.0,1.89,-5780.263347134914,-785.3525789513418
Farmgate,0,0.06,50.0,3.3933333333333335,-5297.942086789109,-719.8205741018753
Farmgate,0,0.06,50.0,4.896666666666667,-4815.620826443307,-654.2885692524089
Farmgate,0,0.06,50.0,6.4,-4333.299566097505,-588.7565644029427
Farmgate,0,0.06,60.0,1.89,-5658.987890542421,-768.875130281875
Farmgate,0,0.06,60.0,3.3933333333333335,-5080.202378127457,-690.2367244625154
Farmgate,0,0.06,60.0,4.896666666666667,-4501.416865712493,-611.5983186431556
Farmgate,0,0.06,60.0,6.4,-3922.6313532975296,-532.959912823796
Farmgate,0,0.06,70.0,1.89,-5537.712433949928,-752.3976816124083
Farmgate,0,0.06,70.0,3.3933333333333335,-4862.4626694658045,-660.6528748231555
Farmgate,0,0.06,70.0,4.896666666666667,-4187.2129049816795,-568.9080680339024
Farmgate,0,0.06,70.0,6.4,-3511.9631404975553,-477.16326124464945
Farmgate,0,0.06,80.0,1.89,-5416.436977357436,-735.9202329429417
Farmgate,0,0.06,80.0,3.3933333333333335,-4644.722960804152,-631.0690251837955
Farmgate,0,0.06,80.0,4.896666666666667,-3873.0089442508656,-526.2178174246491
Farmgate,0,0.06,80.0,6.4,-3101.294927697581,-421.3666096655029
Farmgate,0,0.06,90.0,1.89,-5295.161520764944,-719.4427842734749
Farmgate,0,0.06,90.0,3.3933333333333335,-4426.983252142498,-601.4851755444354
Farmgate,0,0.06,90.0,4.896666666666667,-3558.804983520052,-483.5275668153958
Farmgate,0,0.06,90.0,6.4,-2690.6267148976062,-365.5699580863563
Farmgate,0,0.06,100.0,1.89,-5173.886064172452,-702.9653356040084
Farmgate,0,0.06,100.0,3.3933333333333335,-4209.243543480845,-571.9013259050754
Farmgate,0,0.06,100.0,4.896666666666667,-3244.6010227892384,-440.83731620614253
Farmgate,0,0.06,100.0,6.4,-2279.9585020976324,-309.7733065072098
Farmgate,0,0.06,110.0,1.89,-5052.61060757996,-686.4878869345416
Farmgate,0,0.06,110.0,3.3933333333333335,-3991.5038348191915,-542.3174762657153
Farmgate,0,0.06,110.0,4.896666666666667,-2930.397062058423,-398.14706559688904
Farmgate,0,0.06,110.0,6.4,-1869.2902892976574,-253.9766549280631
Farmgate,0,0.06,120.0,1.89,-4931.335150987467,-670.0104382650749
Farmgate,0,0.06,120.0,3.3933333333333335,-3773.7641261575386,-512.7336266263553
Farmgate,0,0.06,120.0,4.896666666666667,-2616.1931013276107,-355.45681498763594
Farmgate,0,0.06,120.0,6.4,-1458.6220764976827,-198.1800033489165
Farmgate,0,0.06,130.0,1.89,-4810.059694394973,-653.5329895956079
Farmgate,0,0.06,130.0,3.3933333333333335,-3556.0244174958852,-483.1497769869953
Farmgate,0,0.06,130.0,4.896666666666667,-2301.989140596796,-312.7665643783825
Farmgate,0,0.06,130.0,6.4,-1047.9538636977086,-142.38335176976997
Farmgate,0,0.06,140.0,1.89,-4688.7842378024825,-637.0555409261415
Farmgate,0,0.06,140.0,3.3933333333333335,-3338.284708834233,-453.56592734763535
Farmgate,0,0.06,140.0,4.896666666666667,-1987.7851798659826,-270.0763137691293
Farmgate,0,0.06,140.0,6.4,-637.2856508977338,-86.58670019062335
Farmgate,0,0.07,20.0,1.89,-5916.412749908863,-842.3640724363639
Farmgate,0,0.07,20.0,3.3933333333333335,-5733.3367533850105,-816.2981692419742
Farmgate,0,0.07,20.0,4.896666666666667,-5550.260756861157,-790.2322660475842
Farmgate,0,0.07,20.0,6.4,-5367.184760337304,-764.1663628531944
Farmgate,0,0.07,30.0,1.89,-5801.330610187107,-825.9789647742587
Farmgate,0,0.07,30.0,3.3933333333333335,-5526.716615401327,-786.8801099826738
Farmgate,0,0.07,30.0,4.896666666666667,-5252.102620615547,-747.7812551910889
Farmgate,0,0.07,30.0,6.4,-4977.488625829767,-708.6824003995041
Farmgate,0,0.07,40.0,1.89,-5686.24847046535,-809.5938571121533
Farmgate,0,0.07,40.0,3.3933333333333335,-5320.096477417642,-757.4620507233733
Farmgate,0,0.07,40.0,4.896666666666667,-4953.944484369937,-705.3302443345937
Farmgate,0,0.07,40.0,6.4,-4587.7924913222305,-653.1984379458138
Farmgate,0,0.07,50.0,1.89,-5571.166330743592,-793.2087494500478
Farmgate,0,0.07,50.0,3.3933333333333335,-5113.47633943396,-728.0439914640731
Farmgate,0,0.07,50.0,4.896666666666667,-4655.786348124326,-662.8792334780982
Farmgate,0,0.07,50.0,6.4,-4198.096356814693,-597.7144754921234
Farmgate,0,0.07,60.0,1.89,-5456.084191021837,-776.8236417879426
Farmgate,0,0.07,60.0,3.3933333333333335,-4906.856201450276,-698.6259322047727
Farmgate,0,0.07,60.0,4.896666666666667,-4357.628211878715,-620.4282226216028
Farmgate,0,0.07,60.0,6.4,-3808.4002223071566,-542.2305130384333
Farmgate,0,0.07,70.0,1.89,-5341.002051300079,-760.4385341258371
Farmgate,0,0.07,70.0,3.3933333333333335,-4700.236063466592,-669.2078729454723
Farmgate,0,0.07,70.0,4.896666666666667,-4059.4700756331054,-577.9772117651075
Farmgate,0,0.07,70.0,6.4,-3418.704087799619,-486.74655058474286
Farmgate,0,0.07,80.0,1.89,-5225.919911578321,-744.0534264637315
Farmgate,0,0.07,80.0,3.3933333333333335,-4493.615925482909,-639.789813686172
Farmgate,0,0.07,80.0,4.896666666666667,-3761.311939387495,-535.5262009086122
Farmgate,0,0.07,80.0,6.4,-3029.0079532920827,-431.26258813105267
Farmgate,0,0.07,90.0,1.89,-5110.837771856564,-727.6683188016261
Farmgate,0,0.07,90.0,3.3933333333333335,-4286.995787499225,-610.3717544268716
Farmgate,0,0.07,90.0,4.896666666666667,-3463.1538031418854,-493.07519005211697
Farmgate,0,0.07,90.0,6.4,-2639.3118187845453,-375.7786256773623
Farmgate,0,0.07,100.0,1.89,-4995.755632134808,-711.2832111395209
Farmgate,0,0.07,100.0,3.3933333333333335,-4080.3756495155417,-580.9536951675713
Farmgate,0,0.07,100.0,4.896666666666667,-3164.9956668962745,-450.62417919562154
Farmgate,0,0.07,100.0,6.4,-2249.6156842770088,-320.29466322367205
Farmgate,0,0.07,110.0,1.89,-4880.673492413051,-694.8981034774154
Farmgate,0,0.07,110.0,3.3933333333333335,-3873.7555115318573,-551.5356359082708
Farmgate,0,0.07,110.0,4.896666666666667,-2866.837530650664,-408.1731683391262
Farmgate,0,0.07,110.0,6.4,-1859.9195497694718,-264.8107007699818
Farmgate,0,0.07,120.0,1.89,-4765.591352691294,-678.51299581531
Farmgate,0,0.07,120.0,3.3933333333333335,-3667.135373548174,-522.1175766489704
Farmgate,0,0.07,120.0,4.896666666666667,-2568.679394405054,-365.7221574826309
Farmgate,0,0.07,120.0,6.4,-1470.223415261935,-209.3267383162915
Farmgate,0,0.07,130.0,1.89,-4650.509212969537,-662.1278881532046
Farmgate,0,0.07,130.0,3.3933333333333335,-3460.5152355644905,-492.6995173896701
Farmgate,0,0.07,130.0,4.896666666666667,-2270.521258159444,-323.27114662613565
Farmgate,0,0.07,130.0,6.4,-1080.5272807543981,-153.8427758626012
