radius,transport_cost,discount_rate,price,yield,npv,annualized_npv
Farmgate,0,0.05,20.0,1.89,-2228.4157985311367,-288.59004083508347
Farmgate,0,0.05,20.0,3.3933333333333335,-2024.8838889619012,-262.23172739441185
Farmgate,0,0.05,20.0,4.896666666666667,-1821.351979392665,-235.87341395374017
Farmgate,0,0.05,20.0,6.4,-1617.8200698234289,-209.5151005130685
Farmgate,0,0.05,30.0,1.89,-2100.475008369544,-272.0211231844617
Farmgate,0,0.05,30.0,3.3933333333333335,-1795.17714401569,-232.48365302345422
Farmgate,0,0.05,30.0,4.896666666666667,-1489.8792796618357,-192.9461828624467
Farmgate,0,0.05,30.0,6.4,-1184.581415307982,-153.40871270143927
Farmgate,0,0.05,40.0,1.89,-1972.5342182079512,-255.45220553383996
Farmgate,0,0.05,40.0,3.3933333333333335,-1565.4703990694788,-202.7355786524966
Farmgate,0,0.05,40.0,4.896666666666667,-1158.4065799310067,-150.01895177115327
Farmgate,0,0.05,40.0,6.4,-751.3427607925352,-97.30232488981001
Farmgate,0,0.05,50.0,1.89,-1844.5934280463578,-238.88328788321814
Farmgate,0,0.05,50.0,3.3933333333333335,-1335.7636541232682,-172.98750428153906
Farmgate,0,0.05,50.0,4.896666666666667,-826.9338802001779,-107.09172067985986
Farmgate,0,0.05,50.0,6.4,-318.1041062770881,-41.195937078180734
Farmgate,0,0.05,60.0,1.89,-1716.652637884765,-222.3143702325964
Farmgate,0,0.05,60.0,3.3933333333333335,-1106.056909177057,-143.2394299105814
Farmgate,0,0.05,60.0,4.896666666666667,-495.46118046934873,-64.1644895885664
Farmgate,0,0.05,60.0,6.4,115.13454823835883,14.910450733448522
Farmgate,0,0.05,70.0,1.89,-1588.7118477231725,-205.7454525819747
Farmgate,0,0.05,70.0,3.3933333333333335,-876.3501642308461,-113.49135553962383
Farmgate,0,0.05,70.0,4.896666666666667,-163.9884807385201,-21.237258497273015
Farmgate,0,0.05,70.0,6.4,548.3732027538057,71.01683854507777
Farmgate,0,0.05,80.0,1.89,-1460.7710575615795,-189.1765349313529
Farmgate,0,0.05,80.0,3.3933333333333335,-646.6434192846352,-83.74328116866624
Farmgate,0,0.05,80.0,4.896666666666667,167.48421899230922,21.689972594020464
Farmgate,0,0.05,80.0,6.4,981.6118572692526,127.12322635670702
Farmgate,0,0.05,90.0,1.89,-1332.8302673999865,-172.60761728073115
Farmgate,0,0.05,90.0,3.3933333333333335,-416.93667433842415,-53.99520679770862
Farmgate,0,0.05,90.0,4.896666666666667,498.9569187231379,64.61720368531385
Farmgate,0,0.05,90.0,6.4,1414.8505117846996,183.2296141683363
Farmgate,0,0.05,100.0,1.89,-1204.8894772383935,-156.03869963010936
Farmgate,0,0.05,100.0,3.3933333333333335,-187.2299293922133,-24.247132426751037
Farmgate,0,0.05,100.0,4.896666666666667,830.429618453967,107.5444347766073
Farmgate,0,0.05,100.0,6.4,1848.0891663001464,239.33600197996552
Farmgate,0,0.05,110.0,1.89,-1076.9486870768008,-139.4697819794876
Farmgate,0,0.05,110.0,3.3933333333333335,42.47681555399761,5.5009419442065575
Farmgate,0,0.05,110.0,4.896666666666667,1161.902318184796,150.47166586790075
Farmgate,0,0.05,110.0,6.4,2281.3278208155934,295.4423897915948
Farmgate,0,0.05,120.0,1.89,-949.007896915208,-122.90086432886588
Farmgate,0,0.05,120.0,3.3933333333333335,272.1835605002087,35.24901631516418
Farmgate,0,0.05,120.0,4.896666666666667,1493.3750179156252,193.3988969591942
Farmgate,0,0.05,120.0,6.4,2714.5664753310402,351.54877760322404
Farmgate,0,0.05,130.0,1.89,-821.0671067536148,-106.33194667824408
