radius,transport_cost,discount_rate,price,yield,npv,annualized_npv
Farmgate,0,0.05,20,0.4,-2205.327496,-285.6
Farmgate,0,0.05,20,1.766666667,-1983.713703,-256.9
Farmgate,0,0.05,20,3.133333333,-1762.099911,-228.2
Farmgate,0,0.05,20,4.5,-1540.486118,-199.5
Farmgate,0,0.05,30,0.4,-2172.896209,-281.4
Farmgate,0,0.05,30,1.766666667,-1840.47552,-238.35
Farmgate,0,0.05,30,3.133333333,-1508.054832,-195.3
Farmgate,0,0.05,30,4.5,-1175.634143,-152.25
Farmgate,0,0.05,40,0.4,-2140.464922,-277.2
Farmgate,0,0.05,40,1.766666667,-1697.237337,-219.8
Farmgate,0,0.05,40,3.133333333,-1254.009752,-162.4
Farmgate,0,0.05,40,4.5,-810.7821676,-105
Farmgate,0,0.05,50,0.4,-2108.033636,-273
Farmgate,0,0.05,50,1.766666667,-1553.999154,-201.25
Farmgate,0,0.05,50,3.133333333,-999.9646733,-129.5
Farmgate,0,0.05,50,4.5,-445.9301922,-57.75
Farmgate,0,0.05,60,0.4,-2075.602349,-268.8
Farmgate,0,0.05,60,1.766666667,-1410.760972,-182.7
Farmgate,0,0.05,60,3.133333333,-745.9195942,-96.6
Farmgate,0,0.05,60,4.5,-81.07821676,-10.5
Farmgate,0,0.05,70,0.4,-2043.171062,-264.6
Farmgate,0,0.05,70,1.766666667,-1267.522789,-164.15
Farmgate,0,0.05,70,3.133333333,-491.874515,-63.7
Farmgate,0,0.05,70,4.5,283.7737586,36.75
Farmgate,0,0.05,80,0.4,-2010.739776,-260.4
Farmgate,0,0.05,80,1.766666667,-1124.284606,-145.6
Farmgate,0,0.05,80,3.133333333,-237.8294358,-30.8
Farmgate,0,0.05,80,4.5,648.6257341,84
Farmgate,0,0.05,90,0.4,-1978.308489,-256.2
Farmgate,0,0.05,90,1.766666667,-981.0464228,-127.05
Farmgate,0,0.05,90,3.133333333,16.21564335,2.1
Farmgate,0,0.05,90,4.5,1013.477709,131.25
Farmgate,0,0.05,100,0.4,-1945.877202,-252
Farmgate,0,0.05,100,1.766666667,-837.8082398,-108.5
Farmgate,0,0.05,100,3.133333333,270.2607225,35
Farmgate,0,0.05,100,4.5,1378.329685,178.5
Farmgate,0,0.05,110,0.4,-1913.445915,-247.8
Farmgate,0,0.05,110,1.766666667,-694.5700569,-89.95
Farmgate,0,0.05,110,3.133333333,524.3058017,67.9
Farmgate,0,0.05,110,4.5,1743.18166,225.75
Farmgate,0,0.05,120,0.4,-1881.014629,-243.6
Farmgate,0,0.05,120,1.766666667,-551.3318739,-71.4
Farmgate,0,0.05,120,3.133333333,778.3508809,100.8
Farmgate,0,0.05,120,4.5,2108.033636,273
Farmgate,0,0.05,130,0.4,-1848.583342,-239.4
Farmgate,0,0.05,130,1.766666667,-408.093691,-52.85
Farmgate,0,0.05,130,3.133333333,1032.39596,133.7
Farmgate,0,0.05,130,4.5,2472.885611,320.25
Farmgate,0,0.05,140,0.4,-1816.152055,-235.2
Farmgate,0,0.05,140,1.766666667,-264.8555081,-34.3
Farmgate,0,0.05,140,3.133333333,1286.441039,166.6
Farmgate,0,0.05,140,4.5,2837.737586,367.5
Farmgate,0,0.06,20,0.4,-2122.060299,-288.32
Farmgate,0,0.06,20,1.766666667,-1908.814043,-259.3466667
Farmgate,0,0.06,20,3.133333333,-1695.567788,-230.3733333
Farmgate,0,0.06,20,4.5,-1482.321532,-201.4
Farmgate,0,0.06,30,0.4,-2090.85353,-284.08
Farmgate,0,0.06,30,1.766666667,-1770.984146,-240.62
Farmgate,0,0.06,30,3.133333333,-1451.114763,-197.16
Farmgate,0,0.06,30,4.5,-1131.24538,-153.7
Farmgate,0,0.06,40,0.4,-2059.64676,-279.84
Farmgate,0,0.06,40,1.766666667,-1633.154249,-221.8933333
Farmgate,0,0.06,40,3.133333333,-1206.661738,-163.9466667
Farmgate,0,0.06,40,4.5,-780.1692274,-106
Farmgate,0,0.06,50,0.4,-2028.439991,-275.6
Farmgate,0,0.06,50,1.766666667,-1495.324353,-203.1666667
Farmgate,0,0.06,50,3.133333333,-962.2087139,-130.7333333
Farmgate,0,0.06,50,4.5,-429.0930751,-58.3
Farmgate,0,0.06,60,0.4,-1997.233222,-271.36
Farmgate,0,0.06,60,1.766666667,-1357.494456,-184.44
Farmgate,0,0.06,60,3.133333333,-717.7556893,-97.52
Farmgate,0,0.06,60,4.5,-78.01692274,-10.6
Farmgate,0,0.06,70,0.4,-1966.026453,-267.12
Farmgate,0,0.06,70,1.766666667,-1219.664559,-165.7133333
Farmgate,0,0.06,70,3.133333333,-473.3026647,-64.30666667
Farmgate,0,0.06,70,4.5,273.0592296,37.1
Farmgate,0,0.06,80,0.4,-1934.819684,-262.88
Farmgate,0,0.06,80,1.766666667,-1081.834662,-146.9866667
Farmgate,0,0.06,80,3.133333333,-228.8496401,-31.09333333
Farmgate,0,0.06,80,4.5,624.135382,84.8
Farmgate,0,0.06,90,0.4,-1903.612915,-258.64
Farmgate,0,0.06,90,1.766666667,-944.0047652,-128.26
Farmgate,0,0.06,90,3.133333333,15.60338455,2.12
Farmgate,0,0.06,90,4.5,975.2115343,132.5
Farmgate,0,0.06,100,0.4,-1872.406146,-254.4
Farmgate,0,0.06,100,1.766666667,-806.1748684,-109.5333333
Farmgate,0,0.06,100,3.133333333,260.0564091,35.33333333
Farmgate,0,0.06,100,4.5,1326.287687,180.2
