OBJECTID,HUC12,COUNT,SUM_wsNO3load
1,070801010402,9,13738
2,070802060406,250,329867
3,070802060402,8,13456
4,070801030301,566,668843
5,070801030606,441,444204
6,070802060301,344,488341
7,070801030302,219,280248
8,070801030502,16,26371
9,070801010702,1,407
10,070802060601,399,544224
11,070802060404,7,4097
12,070801030602,541,343531
13,070801010401,4,6263
14,070801030401,562,536440
15,070801030203,22,34992
16,070801010403,232,265912
17,070802060502,540,647340
18,070801030303,683,808059
19,070801030103,16,42853
20,070600060902,18,13385
21,070802060801,266,212555
22,070801030605,289,205998
23,070801030102,12,20303
24,070801010404,30,47496
25,070802060806,10,8039
26,070802060405,22,43989
27,070801010602,706,330453
28,070802060705,8,14047
29,070802060704,505,598441
30,070801030601,511,413801
31,070600060904,13,17854
32,070802060603,575,449437
33,070801030403,329,282228
34,070801030603,749,710096
35,070802060805,419,385065
36,070802060503,240,227162
37,070801030408,182,214869
38,070801010701,10,14200
39,070801010605,379,94691
40,070600060901,786,523200
41,070801010601,460,102995
42,070600060303,32,35802
43,070801030202,360,473481
44,070801030607,488,417864
45,070802060701,20,46620
46,070600061002,323,310482
47,070801030404,312,234271
48,070801010406,71,29450
49,070801030406,782,826376
50,070801030402,468,302525
51,070801010604,246,105605
52,070802060302,386,307696
53,070801030405,651,543215
54,070802060802,235,256834
55,070802060602,485,643566
56,070802060702,9,16829
57,070600061003,47,66596
58,070801030407,593,500024
59,070801010302,130,66459
60,070802060803,539,265256
61,070802060407,282,112657
62,070802060703,4,7719
63,070802060804,448,321744
64,070802060501,494,637838
65,070801010301,502,403339
66,070801010405,240,155362
67,070801030409,426,302864
68,070801030501,22,22084
69,070801030604,409,339454
70,070801010603,291,75470
