OBJECTID,HUC12,COUNT,SUM_Mean_sed_lbs,SUM_Mean_sed_tons
1,070801010402,1,5540.537598,2.770268917
2,070802060406,151,382208.1697,191.1040854
3,070802060402,1,1824.094238,0.912047088
4,070801030301,399,528750.8612,264.3754306
5,070801030606,258,857061.7422,428.5308693
6,070802060301,217,472533.4506,236.2667263
7,070801030302,163,315207.2868,157.6036435
8,070801030502,3,5304.957764,2.652478814
9,070802060601,245,458298.621,229.1493102
10,070802060404,1,8412.574219,4.206287384
11,070801030602,278,297528.8944,148.7644469
12,070801030401,296,748965.2113,374.4826038
13,070801030203,2,8861.255005,4.430627346
14,070801010403,139,466066.6262,233.0333136
15,070802060502,412,708381.7395,354.19087
16,070801030303,632,1414508.91,707.2544554
17,070801030103,1,1551.061035,0.775530517
18,070802060801,132,446411.5072,223.2057541
19,070801030605,131,257469.8075,128.7349032
20,070801010404,2,10295.62598,5.147813082
21,070802060806,2,4375.152344,2.187576175
22,070802060405,1,3685.334229,1.842667103
23,070801010602,317,928879.0947,464.4395465
24,070802060704,383,724332.3789,362.1661915
25,070801030601,297,731567.8549,365.7839266
26,070802060603,395,1065235.03,532.6175148
27,070801030403,190,376326.8873,188.1634429
28,070801030603,465,563365.5856,281.682793
29,070802060805,220,180269.5561,90.1347779
30,070802060503,160,212161.9075,106.0809538
31,070801030408,125,438520.9644,219.2604818
32,070801010701,1,1473.512817,0.736756384
33,070801010605,119,331075.2703,165.5376353
34,070600060901,407,1558910.666,779.4553332
35,070801010601,121,388783.0441,194.391522
36,070600060303,3,11923.08118,5.96154052
37,070801030202,212,368098.5316,184.0492657
38,070801030607,251,419388.2586,209.6941298
39,070802060701,4,4679.594025,2.339797005
40,070600061002,228,875458.1549,437.7290782
41,070801030404,180,126126.5042,63.06325191
42,070801010406,29,80545.09518,40.27254844
43,070801030406,428,1253767.893,626.8839461
44,070801030402,242,599414.1106,299.7070576
45,070801010604,99,204133.1003,102.06655
46,070802060302,168,588831.6807,294.4158395
47,070801030405,380,618050.4438,309.0252209
48,070802060802,159,191929.3477,95.96467399
49,070802060602,298,832995.9985,416.4980029
50,070802060702,1,4456.092773,2.228046179
51,070600061003,5,15250.81067,7.625405312
52,070801030407,402,1366219.318,683.1096587
53,070801010302,47,92091.17413,46.04558727
54,070802060803,249,616202.3989,308.1011999
55,070802060407,64,313960.0221,156.9800113
56,070802060804,240,257701.8656,128.8509334
57,070802060501,375,573744.8363,286.8724176
58,070801010301,269,638327.3661,319.1636831
59,070801010405,115,239723.3198,119.8616595
60,070801030409,220,379083.0766,189.5415386
61,070801030501,4,2677.133484,1.338566735
62,070801030604,232,340162.0045,170.0810019
63,070801010603,85,279791.5824,139.8957916
