HUC12,biomass,mean,lb,ub
070600060901,prairie,146.3267318429811,19.18727109620795,273.46619258975426
070600060901,rye,114.51597196986937,114.51596837786849,114.51597556187025
070600061002,prairie,87.82172833183378,60.32486154488084,115.31859511878673
070600061002,rye,114.5159717790819,114.51596877703805,114.51597478112573
070801010301,prairie,256.95569032001885,177.90265518589558,336.0087254541421
070801010301,rye,114.5159710409639,114.51597024586258,114.51597183606523
070801010302,prairie,180.93212447178405,32.490554102576965,329.3736948409911
070801010302,rye,114.51597114405722,114.51596840713948,114.51597388097495
070801010403,prairie,179.5104364554972,63.281108601025394,295.739764309969
070801010403,rye,114.51597215531548,114.51596972327033,114.51597458736063
070801010405,prairie,180.55190816583584,77.01379610019895,284.09002023147275
070801010405,rye,114.51597102649433,114.51596949817853,114.51597255481012
070801010601,prairie,231.23105422717316,60.473820892672165,401.98828756167416
070801010601,rye,114.51597076686043,114.5159691773842,114.51597235633666
070801010602,prairie,206.8674898885312,122.83772453295344,290.8972552441089
070801010602,rye,114.51597113573116,114.51597038219441,114.51597188926792
070801010603,prairie,97.25365593220188,66.98325880434203,127.52405306006173
070801010603,rye,114.51597061573811,114.51596833070816,114.51597290076806
070801010604,prairie,248.78606065736602,77.1483923097208,420.42372900501124
070801010604,rye,114.51597187134827,114.51597046499478,114.51597327770176
070801010605,prairie,146.02256775444772,28.43558024216,263.60955526673547
070801010605,rye,114.51597129747576,114.51597004844298,114.51597254650854
070801030202,prairie,317.92289131150136,208.45493022534185,427.39085239766086
070801030202,rye,114.51597143348006,114.515970559638,114.51597230732212
070801030301,prairie,339.7166754130188,260.98737670797436,418.4459741180632
070801030301,rye,114.51597145821557,114.51597063651677,114.51597227991438
070801030302,prairie,290.66997373946174,176.70190818909958,404.6380392898239
070801030302,rye,114.51597119047796,114.51596982577755,114.51597255517837
070801030303,prairie,281.62405329690796,216.55465612095372,346.6934504728622
070801030303,rye,114.51597121644473,114.51597058835546,114.515971844534
070801030401,prairie,262.3692546927771,152.2382765545047,372.50023283104946
070801030401,rye,114.51597042949639,114.5159694737847,114.51597138520809
070801030402,prairie,153.83282216870757,85.61342643749367,222.05221789992146
070801030402,rye,114.51597135682982,114.51597004290309,114.51597267075655
070801030403,prairie,218.977420688628,118.60488021273953,319.34996116451646
070801030403,rye,114.5159703433487,114.5159688254832,114.5159718612142
070801030404,prairie,251.57387960165235,104.72438119079754,398.42337801250716
070801030404,rye,114.51597102086119,114.51596913166155,114.51597291006082
070801030405,prairie,252.43490482711405,164.96758702156438,339.9022226326637
070801030405,rye,114.51597074407074,114.51596957706597,114.51597191107551
070801030406,prairie,181.66392158097798,136.0513541290226,227.27648903293337
070801030406,rye,114.51597070958626,114.5159700270128,114.51597139215971
070801030407,prairie,215.69119163710252,161.11304540348124,270.2693378707238
070801030407,rye,114.51597148366179,114.51597085630955,114.51597211101402
070801030408,prairie,121.65033180800852,68.06493023787293,175.23573337814412
070801030408,rye,114.51597086686347,114.5159698672447,114.51597186648223
