HUC12,biomass,mean,lb,ub
070600060901,prairie,509.1391682723639,111.169713927359,907.1086226173688
070600060901,rye,584.3750057242506,584.3749906631033,584.375020785398
070600061002,prairie,264.6683636778215,186.89241597554891,342.44431138009406
070600061002,rye,584.3750019080554,584.3749898248303,584.3750139912805
070801010301,prairie,934.1136294065052,691.0033834980801,1177.2238753149304
070801010301,rye,584.3750002721886,584.3749962432806,584.3750043010965
070801010302,prairie,751.1572905979136,298.5452160682452,1203.769365127582
070801010302,rye,584.3749985020676,584.3749865761563,584.3750104279789
070801010403,prairie,762.0007936250951,405.705666282867,1118.2959209673231
070801010403,rye,584.3750034187382,584.3749924681947,584.3750143692816
070801010405,prairie,657.8882295579795,336.1449080546701,979.6315510612887
070801010405,rye,584.3750039153192,584.3749960126949,584.3750118179436
070801010601,prairie,707.3129005946017,172.11437571696104,1242.5114254722425
070801010601,rye,584.3749943524215,584.3749876006476,584.3750011041953
070801010602,prairie,748.2577722915406,487.8468104786947,1008.6687341043865
070801010602,rye,584.3749992121902,584.3749949944154,584.3750034299651
070801010603,prairie,291.3469451580449,205.72595655180527,376.9679337642845
070801010603,rye,584.375001915234,584.3749898901251,584.3750139403428
070801010604,prairie,849.5815475117857,317.1782146701329,1381.9848803534387
070801010604,rye,584.3749993624465,584.3749934234909,584.3750053014021
070801010605,prairie,446.87016941390306,79.05515524689156,814.6851835809146
070801010605,rye,584.3750014409677,584.3749953587813,584.3750075231541
070801030202,prairie,1162.14260825559,830.7175210100804,1493.5676955010995
070801030202,rye,584.3749998555645,584.3749949804712,584.3750047306578
070801030301,prairie,1195.646151546876,955.9834879305657,1435.3088151631862
070801030301,rye,584.3750036443552,584.3749992329485,584.3750080557618
070801030302,prairie,1032.3937642110225,682.9350893567346,1381.8524390653104
070801030302,rye,584.3749994591743,584.3749933869335,584.3750055314151
070801030303,prairie,1007.4727914525033,807.7595053442859,1207.1860775607208
070801030303,rye,584.3750008667621,584.3749979791792,584.375003754345
070801030401,prairie,917.6386779290991,578.2099103477941,1257.067445510404
070801030401,rye,584.37499963,584.374994680119,584.3750045798811
070801030402,prairie,489.6814201642222,276.20693712241075,703.1559032060336
070801030402,rye,584.3750014712764,584.3749940516797,584.3750088908731
