HUC12,biomass,mean,lb,ub
070600060901,prairie,1451.6470780366546,32.2329120502759,2871.0612440230334
070600060901,rye,3740.000078207224,3739.9999749192416,3740.000181495206
070600061002,prairie,410.18303106449963,261.06925921084223,559.296802918157
070600061002,rye,3740.0000071081413,3739.9999284354158,3740.000085780867
070801010301,prairie,3044.9819254369036,2181.161303652356,3908.8025472214513
070801010301,rye,3740.0000069772555,3739.9999818069455,3740.0000321475654
070801010302,prairie,2232.642528322787,579.1055292158087,3886.1795274297647
070801010302,rye,3740.0000255243335,3739.999892222337,3740.00015882633
070801010403,prairie,2476.4220601047155,1208.5772417697815,3744.266878439649
070801010403,rye,3739.9999893546615,3739.9999006939006,3740.0000780154223
070801010405,prairie,1987.9993183026493,838.5315074606385,3137.4671291446602
070801010405,rye,3740.0000303002093,3739.999989074384,3740.000071526035
070801010601,prairie,1649.7451297249177,-294.76817201640824,3594.2584314662436
070801010601,rye,3739.9999486388174,3739.99989260779,3740.0000046698447
070801010602,prairie,2251.8577854149894,1320.4325146006038,3183.283056229375
070801010602,rye,3740.000004031155,3739.9999801395925,3740.000027922718
070801010603,prairie,359.0342815289115,194.87982602878117,523.1887370290418
070801010603,rye,3739.999990300455,3739.999944990911,3740.000035609999
070801010604,prairie,2436.732886399662,517.6121172712649,4355.85365552806
070801010604,rye,3739.9999856843947,3739.999942965966,3740.0000284028233
070801010605,prairie,1052.8051050183512,-253.14916220891928,2358.7593722456218
070801010605,rye,3740.0000040584646,3739.9999694291373,3740.000038687792
070801030202,prairie,3861.0366341688073,2679.965291740957,5042.107976596657
070801030202,rye,3740.000024186774,3739.999992462918,3740.0000559106306
070801030301,prairie,3639.6191129534254,2763.1433207546265,4516.094905152225
070801030301,rye,3740.000012125639,3739.9999839702296,3740.0000402810483
070801030302,prairie,3258.1738684072016,2003.092266572671,4513.255470241732
070801030302,rye,3739.999985845834,3739.9999500996523,3740.000021592016
070801030303,prairie,3229.5466653363014,2515.925476733554,3943.1678539390487
070801030303,rye,3740.0000015389214,3739.999980645644,3740.000022432199
070801030401,prairie,2793.8354041787043,1569.5720970560972,4018.0987113013116
070801030401,rye,3740.000009721132,3739.9999782475224,3740.0000411947412
070801030402,prairie,1157.1321566290562,390.1246140387527,1924.1396992193597
070801030402,rye,3739.999997578584,3739.999950514144,3740.000044643024
070801030403,prairie,2184.115692388073,1062.6486647354725,3305.582720040674
070801030403,rye,3739.999968407926,3739.9999319632125,3740.00000485264
070801030404,prairie,1617.6118108972667,-121.28419986904555,3356.507821663579
070801030404,rye,3740.0000089496325,3739.9999219823776,3740.0000959168874
070801030405,prairie,2253.279338100457,1269.805741720856,3236.7529344800582
070801030405,rye,3739.9999914725904,3739.9999563807364,3740.0000265644444
070801030406,prairie,2243.4017553187887,1743.1700342443073,2743.63347639327
070801030406,rye,3740.000005756664,3739.9999863331786,3740.0000251801494
070801030407,prairie,2559.526963401553,1961.2714947629718,3157.782432040134
070801030407,rye,3740.000009230659,3739.999989104373,3740.000029356945
070801030408,prairie,1572.9674023043906,972.5089208718175,2173.4258837369634
070801030408,rye,3740.0000233199976,3739.9999879438838,3740.0000586961114
070801030409,prairie,2347.8322926896917,951.6953938770378,3743.969191502346
070801030409,rye,3739.999972303509,3739.9999312266928,3740.000013380325
070801030601,prairie,2406.93355949332,1482.174781648146,3331.692337338494
070801030601,rye,3740.000004028699,3739.9999699842574,3740.000038073141
070801030602,prairie,2449.937616054084,821.8033713179295,4078.071860790239
070801030602,rye,3740.0000021837004,3739.999968085011,3740.00003628239
070801030603,prairie,4571.720895305895,3328.2489288291326,5815.192861782658
070801030603,rye,3740.000027798446,3739.999994860658,3740.000060736234
070801030604,prairie,7312.357575060046,-721.1290072301235,15345.844157350215
070801030604,rye,3740.0000072420617,3739.999881869686,3740.0001326144375
070801030605,prairie,3527.74682050487,1714.5270143724488,5340.9666266372915
070801030605,rye,3740.0000434762774,3739.9999937118605,3740.0000932406942
070801030606,prairie,5317.975597406393,2639.7278077764227,7996.223387036363
070801030606,rye,3740.0000338497052,3739.9999935227274,3740.000074176683
070801030607,prairie,1256.3419111889932,-41.50132957880146,2554.185151956788
070801030607,rye,3739.9999831497194,3739.9999292053167,3740.000037094122
070802060301,prairie,3385.850079544569,1471.3099219974679,5300.390237091669
070802060301,rye,3739.9999966730684,3739.9999559277167,3740.00003741842
070802060302,prairie,2425.607181173051,1528.582801770116,3322.6315605759855
070802060302,rye,3740.000004813871,3739.999976911683,3740.0000327160587
070802060406,prairie,2357.301023487182,1300.757595033055,3413.8444519413097
070802060406,rye,3739.999998818729,3739.999956779027,3740.0000408584315
070802060407,prairie,1329.233677823552,-353.85952192900186,3012.3268775761057
070802060407,rye,3740.0000053066246,3739.9999534885073,3740.000057124742
070802060501,prairie,3393.9878411600603,2571.8755035924405,4216.10017872768
070802060501,rye,3740.0000099163453,3739.9999805978746,3740.000039234816
070802060502,prairie,3070.8880946104273,2401.388439314998,3740.3877499058567
070802060502,rye,3739.9999888095317,3739.9999661510565,3740.000011468007
070802060503,prairie,5693.318759541874,3058.3139392294565,8328.323579854292
070802060503,rye,3739.9999756001416,3739.9999281602445,3740.0000230400387
070802060601,prairie,3786.273560828204,2891.457207149104,4681.0899145073045
070802060601,rye,3740.000022880549,3739.999998807387,3740.000046953711
070802060602,prairie,2776.6554490480203,2257.8899928021015,3295.420905293939
070802060602,rye,3739.9999985317068,3739.999975778987,3740.0000212844266
070802060603,prairie,3103.4789623454503,2098.9134719332874,4108.044452757614
070802060603,rye,3739.9999957299115,3739.9999746378126,3740.0000168220104
070802060704,prairie,2933.3857030133895,2000.7049689027558,3866.066437124023
070802060704,rye,3740.0000140201705,3739.999981241077,3740.000046799264
070802060801,prairie,1459.4353046881224,758.0281892280236,2160.842420148221
070802060801,rye,3740.0000189618745,3739.999983318994,3740.000054604755
070802060802,prairie,2512.4927238386454,1069.4435772363595,3955.5418704409312
070802060802,rye,3740.0000075156263,3739.999958371169,3740.0000566600834
070802060803,prairie,2202.2810325384353,924.006556399273,3480.5555086775976
070802060803,rye,3740.00000547741,3739.9999660589788,3740.0000448958413
070802060804,prairie,2521.5453442636313,1442.5426565406308,3600.548031986632
070802060804,rye,3739.9999850751315,3739.9999343922555,3740.0000357580075
070802060805,prairie,2797.373381814029,-3210.2107779541357,8804.957541582193
070802060805,rye,3739.999961330454,3739.9997871524283,3740.0001355084796
