MLRA,INRS,mean,median,n,sd,se,t.score,margErr,lb,ub,min,max
104,Perennial crops,9.995005922070305,6.6544801744719795,423,5.15180934688661,0.25048954219412967,1.9656013636603176,0.4923625857194299,9.502643336350875,10.487368507789736,0.015467705935857555,3.4261155026627446
104,Riparian buffers,2.7562619527320424,3.4084174036854202,220,1.5501234746161976,0.10450930333872833,1.9708553671594704,0.2059727214032299,2.5502892313288124,2.9622346741352725,0.005618752793153361,125.97562048986472
104,Rye cover crops,51.55638835286933,53.60454007052357,416,2.6817984467402947,0.13148598664857292,1.965696725008065,0.25846157333955394,51.297926779529774,51.81484992620888,0.056623055018972905,2.1008614397836785
104,Treatment wetlands,29.653189078491714,29.704231677180687,68,12.372525581412656,1.5003891125829687,1.9960083540252969,2.994789203004207,26.658399875487508,32.647978281495924,0.044712393652701694,2.2289840425494782
105,Perennial crops,7.375820984947909,5.634151272480159,195,4.112602446014527,0.2945095782601957,1.9722675325821337,0.580851679237041,6.794969305710868,7.95667266418495,0.02092478967865305,3.2408865161968237
105,Riparian buffers,NA,NA,6,NA,NA,2.5705818356363146,NA,NA,NA,0.006335299726003279,1.3682012927241922
105,Rye cover crops,51.97242023136432,53.6049247887099,83,2.6050309447704874,0.28593929390297645,1.9893185571365726,0.5688243435757195,51.4035958877886,52.54124457494004,0.05796167782051649,0.7017099113768717
105,Treatment wetlands,31.91073698125293,29.056732534694895,11,13.549068780266882,4.085197945714867,2.2281388519862744,9.102388260901812,22.80834872035112,41.01312524215474,0.053765626254641555,0.29960074706973494
108c,Perennial crops,8.921523265257715,5.886279393459401,2183,5.063779096445944,0.10837968484385939,1.9610517779885748,0.21253817366089184,8.708985091596823,9.134061438918607,0.015895224819940705,5.350522853830574
108c,Riparian buffers,1.9888579536579138,1.768388662834903,1401,1.344563044135642,0.03592213185785223,1.961659904972427,0.0704670057666814,1.9183909478912324,2.059324959424595,0.0013046620021609436,3277.4800257800857
108c,Rye cover crops,51.81395912814847,53.60490187608903,2233,2.74231750251503,0.05803277979681,1.9610273968625398,0.1138038710976353,51.70015525705083,51.927762999246106,0.04874905845168151,3.920287419232833
108c,Treatment wetlands,29.04887843662368,27.47611601937081,348,11.130201701072673,0.596641437949648,1.9668240032621513,1.1734887015002131,27.87538973512347,30.222367138123893,0.03529483354235008,1.539356324849086
115c,Perennial crops,8.251773073192252,6.010668408285778,15,4.941565262127235,1.2759066642943913,2.1447866879178044,2.7365476286042214,5.515225444588031,10.988320701796473,0.022954644755854473,0.4523551212985761
115c,Rye cover crops,53.36441028967892,53.60581892040776,15,0.9344892311769293,0.2412840819705613,2.1447866879178044,0.5175028870169283,52.84690740266199,53.88191317669585,0.05401516876914292,0.8549223252831224
115c,Treatment wetlands,33.93984402797439,33.93984402797439,1,NA,NA,NA,NA,NA,NA,0.20175775377062502,0.20175775377062502
