MLRA,INRS,mean,median,n,sd,se,t.score,margErr,lb,ub,min,max
104,Perennial crops,0.3129085537737919,0.17091019333324245,423,0.32936100052958994,0.01601407984732889,1.9656013636603176,0.03147729718567488,0.281431256588117,0.3443858509594668,0.015467705935857555,3.4261155026627446
104,Riparian buffers,1.1538474326786716,0.13612524620788585,220,3.898531068592134,0.2628389110253493,1.9708553671594704,0.5180174784926601,0.6358299541860115,1.6718649111713317,0.005618752793153361,125.97562048986472
104,Rye cover crops,0.5480098381097906,0.4685756636567763,416,0.38307734410723937,0.018781912046328,1.965696725008065,0.03691954299885647,0.5110902951109342,0.5849293811086471,0.056623055018972905,2.1008614397836785
104,Treatment wetlands,0.5103235722679149,0.4215598790401937,68,0.40910189644522227,0.049610892078945576,1.9960083540252969,0.0990237550402228,0.4112998172276921,0.6093473273081377,0.044712393652701694,2.2289840425494782
105,Perennial crops,0.09808293748462955,0.04114817089235143,195,0.16742592252536,0.011989619342018403,1.9722675325821337,0.023646736956281663,0.07443620052834789,0.12172967444091122,0.02092478967865305,3.2408865161968237
105,Riparian buffers,0.0826689652881365,0.02165390082814303,6,0.15528613086752593,0.06339529745941518,2.5705818356363146,0.16296280011393366,-0.08029383482579716,0.24563176540207016,0.006335299726003279,1.3682012927241922
105,Rye cover crops,0.22687441082752924,0.1170489571288752,83,0.19097855719315282,0.020962620004205172,1.9893185571365726,0.041701328980567685,0.18517308184696155,0.2685757398080969,0.05796167782051649,0.7017099113768717
105,Treatment wetlands,0.1548375322890042,0.13975271625748548,11,0.06789885037142154,0.020472273670771694,2.2281388519862744,0.04561506835434207,0.10922246393466215,0.20045260064334627,0.053765626254641555,0.29960074706973494
108c,Perennial crops,0.164933852237297,0.06764781530276612,2183,0.21547805689212715,0.0046118607174485075,1.9610517779885748,0.00904409765978806,0.15588975457750895,0.17397794989708507,0.015895224819940705,5.350522853830574
108c,Riparian buffers,1.6860219495487994,0.05013989230706425,1401,30.047822522866326,0.8027751821794503,1.961659904972427,1.5747718875883634,0.11125006196043596,3.2607938371371628,0.0013046620021609436,3277.4800257800857
108c,Rye cover crops,0.3466948194021491,0.2519423421857562,2233,0.2934036360335682,0.0062089924255319265,1.9610273968625398,0.0121760042533801,0.33451881514876897,0.3588708236555292,0.04874905845168151,3.920287419232833
108c,Treatment wetlands,0.35360379330806513,0.2788039010285015,348,0.2593116578708299,0.013900563941644321,1.9668240032621513,0.027339962819306392,0.32626383048875873,0.3809437561273715,0.03529483354235008,1.539356324849086
115c,Perennial crops,0.05747516259599757,0.025493491582910914,15,0.05365366321815585,0.013853316273795937,2.1447866879178044,0.029712408327552606,0.02776275426844496,0.08718757092355017,0.022954644755854473,0.4523551212985761
115c,Rye cover crops,0.22627716954941535,0.15869486532800783,15,0.2054272805215421,0.05304109575444079,2.1447866879178044,0.11376183608669818,0.11251533346271717,0.34003900563611356,0.05401516876914292,0.8549223252831224
115c,Treatment wetlands,0.19192522629717365,0.19192522629717365,1,NA,NA,NA,NA,NA,NA,0.20175775377062502,0.20175775377062502
