HUC12,biomass,mean,lb,ub
070600060901,prairie,0.06522878858760253,0.032583210081621336,0.09787436709358373
070600060901,rye,0.17365056988218874,0.06157988507212968,0.2857212546922478
070600061002,prairie,0.04099453877160853,0.02444520837191336,0.057543869171303705
070600061002,rye,0.2354079135543821,0.10723352008630638,0.3635823070224578
070801010301,prairie,0.13721634497854387,0.09622819484190792,0.17820449511517983
070801010301,rye,0.29552977669695585,0.2571944063434254,0.3338651470504863
070801010302,prairie,0.4135087667709152,0.13308737247099534,0.693930161070835
070801010302,rye,0.32253906448105063,0.20259357459016242,0.44248455437193884
070801010403,prairie,0.09933038197371934,0.05791627691032742,0.14074448703711126
070801010403,rye,0.3462025561186765,0.22030892678715538,0.4720961854501976
070801010405,prairie,0.17318032538907813,0.11564294419838386,0.2307177065797724
070801010405,rye,0.31492075639656947,0.25668591204615543,0.3731556007469835
070801010601,prairie,0.13308145524399118,0.08436731318490984,0.18179559730307251
070801010601,rye,0.17742436902804967,0.12296154876466503,0.23188718929143431
070801010602,prairie,0.15800307779174272,0.1005548726180365,0.21545128296544894
070801010602,rye,0.2580162561008158,0.22249850637939333,0.29353400582223826
070801010603,prairie,0.1401510722796665,0.04433481323841469,0.2359673313209183
070801010603,rye,0.2925519308936419,0.18403222363484406,0.40107163815243974
070801010604,prairie,0.20934235596565454,0.13827422769208902,0.28041048423922005
070801010604,rye,0.3524945667148954,0.28220555228226757,0.4227835811475232
070801010605,prairie,0.12609711047593758,0.08891587618141199,0.16327834477046316
070801010605,rye,0.33965762380555803,0.26762139355640935,0.4116938540547067
070801030202,prairie,0.3266245031299558,0.2219587362000849,0.4312902700598267
070801030202,rye,0.5401260870081789,0.4582610135194113,0.6219911604969465
070801030301,prairie,4.661386022826037,-3.5683813996346023,12.891153445286676
070801030301,rye,0.4215845752081171,0.37178079582458473,0.47138835459164946
070801030302,prairie,0.3396637015441882,0.21323437055747219,0.46609303253090417
070801030302,rye,0.37586905883270455,0.3106684974416368,0.4410696202237723
070801030303,prairie,0.24388960869016316,0.179745217530887,0.3080339998494393
070801030303,rye,0.3337984743297545,0.2919863374942006,0.3756106111653084
070801030401,prairie,0.3442848145798005,0.2467470743007681,0.44182255485883287
070801030401,rye,0.5783098391377107,0.47049471494277695,0.6861249633326445
070801030402,prairie,0.29775892607080334,0.21703096655867443,0.37848688558293225
070801030402,rye,0.3264572839016724,0.21833537049177665,0.43457919731156813
070801030403,prairie,1.4115040763310207,0.2165509539413757,2.6064571987206655
070801030403,rye,0.34483662085309563,0.27899015938310445,0.4106830823230868
070801030404,prairie,0.5636850443172072,0.42485846747658534,0.7025116211578291
070801030404,rye,0.6014005719140508,0.520801563691183,0.6819995801369186
070801030405,prairie,0.35412725133629663,0.18017394806190798,0.5280805546106853
070801030405,rye,0.45751856369236765,0.362659002338216,0.5523781250465193
070801030406,prairie,0.20440852639901697,0.12587272518441261,0.2829443276136213
070801030406,rye,0.34277353112899406,0.28930102727811796,0.39624603497987015
070801030407,prairie,0.173036879572949,0.12786430655900802,0.21820945258688998
070801030407,rye,0.31410772745797527,0.27065075861839244,0.3575646962975581
070801030408,prairie,0.15761357956531982,0.016123947738113736,0.29910321139252594
070801030408,rye,0.2913636384211668,0.2167582750614191,0.3659690017809145
070801030409,prairie,0.3467814685412969,0.25360762066161946,0.4399553164209743
070801030409,rye,0.35505959585687635,0.28358029198463797,0.42653889972911474
070801030601,prairie,0.6155930613532276,0.1068617520885683,1.1243243706178867
070801030601,rye,0.43892983070161556,0.36352113701292604,0.5143385243903051
070801030602,prairie,0.5292811912612747,0.3572735414983882,0.7012888410241612
070801030602,rye,0.6501479266214256,0.536225771614549,0.7640700816283023
070801030603,prairie,0.37086946850832825,0.2644690233683403,0.4772699136483162
070801030603,rye,0.46921672359956573,0.3538191874701873,0.5846142597289442
070801030604,prairie,0.48048118009930335,0.2009826179418056,0.7599797422568011
070801030604,rye,0.5733393095224206,0.18751714313122875,0.9591614759136124
070801030605,prairie,0.17249734431455463,0.12333589827743482,0.22165879035167443
070801030605,rye,0.3004025511501909,0.2123462442629474,0.38845885803743435
070801030606,prairie,0.17661022430976236,0.11691759303961682,0.2363028555799079
070801030606,rye,0.3925007177430931,0.30509379956970245,0.4799076359164837
070801030607,prairie,0.20879430814591535,0.06975199699954579,0.34783661929228493
070801030607,rye,0.25364228954091167,0.1492806864721039,0.35800389260971943
070802060301,prairie,0.5243959567240384,0.22522654091059535,0.8235653725374814
070802060301,rye,0.26521087860326387,0.19604865721540032,0.3343730999911274
