HUC12,biomass,mean,lb,ub
070600060901,prairie,249.28186609935986,116.69069480974517,381.8730373889746
070600060901,rye,114.51597196986937,114.51596837786849,114.51597556187025
070600061002,prairie,163.2632812586855,112.73077507701822,213.7957874403528
070600061002,rye,114.5159717790819,114.51596877703805,114.51597478112573
070801010301,prairie,430.50757078472907,352.69948653481714,508.315655034641
070801010301,rye,114.5159710409639,114.51597024586258,114.51597183606523
070801010302,prairie,424.63966689981487,279.7343553468228,569.544978452807
070801010302,rye,114.51597114405722,114.51596840713948,114.51597388097495
070801010403,prairie,391.1600689217678,277.1804764194279,505.13966142410766
070801010403,rye,114.51597215531548,114.51596972327033,114.51597458736063
070801010405,prairie,355.90984116178174,249.9095111521812,461.9101711713823
070801010405,rye,114.51597102649433,114.51596949817853,114.51597255481012
070801010601,prairie,397.4519549725432,223.5506921474391,571.3532177976473
070801010601,rye,114.51597076686043,114.5159691773842,114.51597235633666
070801010602,prairie,334.1243853808684,247.58507821482715,420.6636925469096
070801010602,rye,114.51597113573116,114.51597038219441,114.51597188926792
070801010603,prairie,222.84630906051297,147.91637402319103,297.77624409783493
070801010603,rye,114.51597061573811,114.51596833070816,114.51597290076806
070801010604,prairie,398.2900870534791,225.44921753954003,571.1309565674183
070801010604,rye,114.51597187134827,114.51597046499478,114.51597327770176
070801010605,prairie,257.47688437781613,134.7490432842455,380.2047254713868
070801010605,rye,114.51597129747576,114.51597004844298,114.51597254650854
070801030202,prairie,512.314496766812,406.33829095677584,618.2907025768482
070801030202,rye,114.51597143348006,114.515970559638,114.51597230732212
070801030301,prairie,575.2068371933998,501.34857883701704,649.0650955497825
070801030301,rye,114.51597145821557,114.51597063651677,114.51597227991438
070801030302,prairie,480.24919102437923,368.0036868702454,592.494695178513
070801030302,rye,114.51597119047796,114.51596982577755,114.51597255517837
070801030303,prairie,471.89707378250654,407.71515719038695,536.0789903746262
070801030303,rye,114.51597121644473,114.51597058835546,114.515971844534
070801030401,prairie,417.81759150165783,307.40433476703987,528.2308482362758
070801030401,rye,114.51597042949639,114.5159694737847,114.51597138520809
070801030402,prairie,292.1910186321036,220.07335406335847,364.3086832008487
070801030402,rye,114.51597135682982,114.51597004290309,114.51597267075655
070801030403,prairie,354.4188040391419,251.74930182673944,457.08830625154434
070801030403,rye,114.5159703433487,114.5159688254832,114.5159718612142
070801030404,prairie,422.9365949353854,280.08651328318916,565.7866765875817
070801030404,rye,114.51597102086119,114.51596913166155,114.51597291006082
070801030405,prairie,362.1430285614779,272.30448967061164,451.9815674523441
070801030405,rye,114.51597074407074,114.51596957706597,114.51597191107551
070801030406,prairie,332.7264283519021,286.09680964650323,379.35604705730094
070801030406,rye,114.51597070958626,114.5159700270128,114.51597139215971
070801030407,prairie,372.9563189817603,317.66762515201344,428.2450128115072
070801030407,rye,114.51597148366179,114.51597085630955,114.51597211101402
070801030408,prairie,270.0930781981291,213.93373550883513,326.25242088742306
070801030408,rye,114.51597086686347,114.5159698672447,114.51597186648223
070801030409,prairie,402.2246233970683,278.86415470069846,525.5850920934381
070801030409,rye,114.5159701806556,114.51596862473862,114.51597173657258
070801030601,prairie,337.58682669989304,251.0514576735162,424.12219572626987
070801030601,rye,114.51597145403265,114.5159704976587,114.5159724104066
070801030602,prairie,444.34472615972254,306.0507948817474,582.6386574376977
070801030602,rye,114.51597042603282,114.51596924635652,114.51597160570913
070801030603,prairie,598.7335795316985,490.41063230939375,707.0565267540034
070801030603,rye,114.51597236639627,114.51597132230823,114.5159734104843
070801030604,prairie,820.2864894739039,107.9835887185044,1532.5893902293033
070801030604,rye,114.51597259088605,114.51596752812887,114.51597765364323
070801030605,prairie,468.1016076820792,300.9567358772988,635.2464794868596
070801030605,rye,114.51597126342394,114.51596995377909,114.51597257306878
070801030606,prairie,604.0980352423591,356.6712983639828,851.5247721207353
070801030606,rye,114.5159721492214,114.51597092268621,114.51597337575659
070801030607,prairie,249.78663990340294,126.78431550607242,372.7889643007335
070801030607,rye,114.51597058356226,114.5159686389338,114.51597252819073
070802060301,prairie,476.41756922105577,302.33743220352653,650.497706238585
070802060301,rye,114.5159713959535,114.5159699147451,114.5159728771619
070802060302,prairie,363.18679627449677,279.8664028856741,446.5071896633194
070802060302,rye,114.51597159702425,114.51597073346267,114.51597246058583
070802060406,prairie,339.26123062010885,239.4125911070219,439.1098701331958
070802060406,rye,114.51597138247398,114.51596968417722,114.51597308077073
070802060407,prairie,224.45790854583868,64.53382566143279,384.38199143024457
070802060407,rye,114.5159704939503,114.51596894010676,114.51597204779385
070802060501,prairie,519.3301031139986,448.06788106982157,590.5923251581755
070802060501,rye,114.51597079803605,114.51596989115212,114.51597170491998
070802060502,prairie,490.56637827718134,432.4369052367779,548.6958513175848
070802060502,rye,114.5159709830943,114.515970280992,114.51597168519662
070802060503,prairie,777.3073656106749,555.1083394999605,999.5063917213893
070802060503,rye,114.5159712553582,114.51596970191841,114.51597280879798
070802060601,prairie,544.8133817062891,465.80097483671386,623.8257885758643
070802060601,rye,114.51597078321223,114.5159700314351,114.51597153498935
070802060602,prairie,406.2874266612522,358.5127255310691,454.0621277914353
070802060602,rye,114.51597089605997,114.5159702378101,114.51597155430984
070802060603,prairie,449.59200886321554,358.2143461856935,540.9696715407375
070802060603,rye,114.51597098438616,114.51597021598681,114.5159717527855
070802060704,prairie,411.37168658534114,325.6562810415844,497.08709212909787
070802060704,rye,114.51597001649694,114.51596907551523,114.51597095747864
070802060801,prairie,300.2264255124234,234.39260083751554,366.0602501873313
070802060801,rye,114.51597079434873,114.51596945911749,114.51597212957998
070802060802,prairie,528.019500509237,415.1766620470488,640.8623389714252
070802060802,rye,114.51597140048406,114.51596997537402,114.5159728255941
070802060803,prairie,392.3220169344381,276.33459173865543,508.3094421302208
070802060803,rye,114.51597172687934,114.5159706314487,114.51597282230999
070802060804,prairie,420.7699393630073,324.8999128884019,516.6399658376127
070802060804,rye,114.51597083790595,114.51596915213284,114.51597252367907
070802060805,prairie,501.2497339094137,-17.123201608872535,1019.6226694277
070802060805,rye,114.51596936250442,114.51596505889836,114.51597366611048
