HUC12,biomass,mean,lb,ub
070600060901,prairie,965.3037760896306,498.0410530933602,1432.566499085901
070600060901,rye,584.3750057242506,584.3749906631033,584.375020785398
070600061002,prairie,492.3330068933278,349.3218887283256,635.3441250583301
070600061002,rye,584.3750019080554,584.3749898248303,584.3750139912805
070801010301,prairie,1804.2328424069156,1554.2800718697433,2054.185612944088
070801010301,rye,584.3750002721886,584.3749962432806,584.3750043010965
070801010302,prairie,2025.5249872411107,1525.22375321458,2525.8262212676414
070801010302,rye,584.3749985020676,584.3749865761563,584.3750104279789
070801010403,prairie,1929.3408275207141,1547.126559206757,2311.555095834671
070801010403,rye,584.3750034187382,584.3749924681947,584.3750143692816
070801010405,prairie,1453.0818967815276,1089.5328417273076,1816.6309518357475
070801010405,rye,584.3750039153192,584.3749960126949,584.3750118179436
070801010601,prairie,1201.194181996833,657.782191607086,1744.60617238658
070801010601,rye,584.3749943524215,584.3749876006476,584.3750011041953
070801010602,prairie,1268.3007677773103,993.3577237913603,1543.2438117632603
070801010602,rye,584.3749992121902,584.3749949944154,584.3750034299651
070801010603,prairie,666.7140811233533,453.7118785642681,879.7162836824384
070801010603,rye,584.375001915234,584.3749898901251,584.3750139403428
070801010604,prairie,1417.152968055176,873.8589547706617,1960.4469813396902
070801010604,rye,584.3749993624465,584.3749934234909,584.3750053014021
070801010605,prairie,782.0948660598193,400.3664411233445,1163.8232909962942
070801010605,rye,584.3750014409677,584.3749953587813,584.3750075231541
070801030202,prairie,2195.244085146544,1874.156812470329,2516.331357822759
070801030202,rye,584.3749998555645,584.3749949804712,584.3750047306578
070801030301,prairie,2287.383062099217,2065.6699373905453,2509.096186807889
070801030301,rye,584.3750036443552,584.3749992329485,584.3750080557618
070801030302,prairie,1933.247510691587,1581.6489895921814,2284.8460317909926
070801030302,rye,584.3749994591743,584.3749933869335,584.3750055314151
070801030303,prairie,1935.587704399126,1732.214524627186,2138.9608841710665
070801030303,rye,584.3750008667621,584.3749979791792,584.375003754345
070801030401,prairie,1655.8407787958654,1296.008568978576,2015.6729886131548
070801030401,rye,584.37499963,584.374994680119,584.3750045798811
070801030402,prairie,957.8584705700048,722.052882199691,1193.6640589403187
070801030402,rye,584.3750014712764,584.3749940516797,584.3750088908731
070801030403,prairie,1310.297630389614,970.2871481327713,1650.3081126464565
070801030403,rye,584.3749967705162,584.3749900988671,584.3750034421653
070801030404,prairie,1409.8553541663507,961.718083206795,1857.9926251259064
070801030404,rye,584.3749976633719,584.3749856701671,584.3750096565767
070801030405,prairie,1162.2099033465051,878.0808719984279,1446.3389346945823
070801030405,rye,584.3749999157748,584.3749941510955,584.375005680454
070801030406,prairie,1452.5303424621368,1289.458792749112,1615.6018921751615
070801030406,rye,584.3750000103246,584.3749965510729,584.3750034695763
070801030407,prairie,1570.4714715614775,1383.9675125680415,1756.9754305549136
070801030407,rye,584.3749981425602,584.3749949445037,584.3750013406168
070801030408,prairie,1243.5932371432543,1024.1626012560037,1463.023873030505
070801030408,rye,584.3750026901504,584.3749973566953,584.3750080236055
070801030409,prairie,1285.9696582848892,897.6024033692539,1674.3369132005246
070801030409,rye,584.3749991430236,584.3749922998985,584.3750059861487
070801030601,prairie,1469.3500861268326,1172.857291356222,1765.8428808974431
070801030601,rye,584.3750016728226,584.374996335326,584.3750070103191
070801030602,prairie,1557.3064221259474,1110.255198047654,2004.3576462042408
070801030602,rye,584.3749948814414,584.3749896933338,584.375000069549
070801030603,prairie,2149.810699896092,1816.0754439973757,2483.5459557948084
070801030603,rye,584.3750007094197,584.3749946076048,584.3750068112347
070801030604,prairie,2548.8940314669317,310.77179916537625,4787.016263768487
070801030604,rye,584.3750103729446,584.3750018669751,584.3750188789141
070801030605,prairie,1672.0764452954888,1143.2176057261618,2200.935284864816
070801030605,rye,584.3750033861282,584.3749958112234,584.3750109610331
070801030606,prairie,1940.9117090469813,1166.7513871628423,2715.07203093112
070801030606,rye,584.3750074243925,584.3750010040164,584.3750138447685
070801030607,prairie,867.9580015232681,457.01802558512424,1278.897977461412
070801030607,rye,584.3750017311401,584.3749927372619,584.3750107250182
070802060301,prairie,1932.137683791767,1384.62628934764,2479.6490782358937
070802060301,rye,584.3750021950093,584.3749947412578,584.3750096487609
070802060302,prairie,1494.660126509396,1218.007410467854,1771.3128425509378
070802060302,rye,584.3749997461839,584.3749949946819,584.375004497686
070802060406,prairie,1683.9853389907262,1338.4887650935636,2029.4819128878887
070802060406,rye,584.3750026677219,584.3749957401035,584.3750095953403
070802060407,prairie,692.8043838816908,194.02972202749794,1191.5790457358837
070802060407,rye,584.3749945033011,584.3749860520618,584.3750029545404
070802060501,prairie,2230.61483960895,2013.3654455240144,2447.864233693886
070802060501,rye,584.3750000357078,584.3749955764773,584.3750044949383
070802060502,prairie,2105.161308596657,1924.4192800977366,2285.903337095577
070802060502,rye,584.3749967714433,584.3749934237387,584.3750001191479
070802060503,prairie,2600.5544814582436,1923.4214479609184,3277.687514955569
070802060503,rye,584.37500208870415,584.3749955246457,584.3750086527626
070802060601,prairie,2418.3769168691956,2179.66298177365,2657.0908519647414
070802060601,rye,584.3750000845927,584.3749959389091,584.3750042302762
070802060602,prairie,1955.2133472710257,1794.5856826737004,2115.841011868351
070802060602,rye,584.3750001691405,584.3749970651304,584.3750032731507
070802060603,prairie,1554.938816741783,1264.3144505655919,1845.5631829179742
070802060603,rye,584.3750009637104,584.3749972176494,584.3750047097714
070802060704,prairie,1750.4078924996022,1468.2463056097408,2032.5694793894636
070802060704,rye,584.3749960280318,584.374991073331,584.3750009827326
070802060801,prairie,1204.561442569493,964.181248921991,1444.941636216995
070802060801,rye,584.3749999572798,584.3749941704856,584.375005744074
070802060802,prairie,1994.2029436273262,1651.1117795633672,2337.2941076912853
070802060802,rye,584.3749993348864,584.3749902886475,584.3750083811253
070802060803,prairie,1254.4656327873015,887.9673663581598,1620.9638992164432
070802060803,rye,584.3750070894387,584.3750020064538,584.3750121724236
070802060804,prairie,1601.2239250264786,1300.4061962482256,1902.0416538047316
070802060804,rye,584.3749966320688,584.3749875160224,584.3750057481152
070802060805,prairie,1526.8229323174542,-101.01413647222739,3154.660001107136
070802060805,rye,584.3749974940034,584.3749687295181,584.3750262584888
