HUC12,biomass,mean,lb,ub
070600060901,prairie,2714.1221154174636,1002.0720961860081,4426.172134648919
070600060901,rye,3740.000078207224,3739.9999749192416,3740.000181495206
070600061002,prairie,779.2463390297712,489.93701782473823,1068.5556602348042
070600061002,rye,3740.0000071081413,3739.9999284354158,3740.000085780867
070801010301,prairie,5730.94783665394,4803.168679857892,6658.726993449987
070801010301,rye,3740.0000069772555,3739.9999818069455,3740.0000321475654
070801010302,prairie,5994.88525761355,3824.282362364563,8165.488152862536
070801010302,rye,3740.0000255243335,3739.999892222337,3740.00015882633
070801010403,prairie,6214.038230444205,4750.913624585473,7677.162836302936
070801010403,rye,3739.9999893546615,3739.9999006939006,3740.0000780154223
070801010405,prairie,4218.718400561676,2846.9817262349666,5590.455074888387
070801010405,rye,3740.0000303002093,3739.999989074384,3740.000071526035
070801010601,prairie,2041.3170146429497,2.629878878521822,4080.004150407378
070801010601,rye,3739.9999486388174,3739.99989260779,3740.0000046698447
070801010602,prairie,3511.0365714391733,2494.4042655029907,4527.668877375356
070801010602,rye,3740.000004031155,3739.9999801395925,3740.000027922718
070801010603,prairie,774.9272562890089,418.37832287376665,1131.4761897042513
070801010603,rye,3739.999990300455,3739.999944990911,3740.000035609999
070801010604,prairie,3573.383480416878,1516.7857400421963,5629.981220791559
070801010604,rye,3739.9999856843947,3739.999942965966,3740.0000284028233
070801010605,prairie,1537.105378833501,187.38351014041086,2886.8272475265912
070801010605,rye,3740.0000040584646,3739.9999694291373,3740.000038687792
070801030202,prairie,7128.792191919147,5911.749350096428,8345.835033741865
070801030202,rye,3740.000024186774,3739.999992462918,3740.0000559106306
070801030301,prairie,6485.644790441117,5542.287875887203,7429.001704995031
070801030301,rye,3740.000012125639,3739.9999839702296,3740.0000402810483
070801030302,prairie,5818.531089128298,4460.5506614196365,7176.511516836959
070801030302,rye,3739.999985845834,3739.9999500996523,3740.000021592016
070801030303,prairie,5980.922396018936,5208.951443720627,6752.893348317244
070801030303,rye,3740.0000015389214,3739.999980645644,3740.000022432199
070801030401,prairie,4917.4260495997,3543.03702747832,6291.815071721079
070801030401,rye,3740.000009721132,3739.9999782475224,3740.0000411947412
070801030402,prairie,2039.495947840425,1165.735447315541,2913.256448365309
070801030402,rye,3739.999997578584,3739.999950514144,3740.000044643024
070801030403,prairie,3690.49507455196,2415.7784459503137,4965.211703153606
070801030403,rye,3739.999968407926,3739.9999319632125,3740.00000485264
070801030404,prairie,2286.736610247188,357.3969207971943,4216.076299697182
070801030404,rye,3740.0000089496325,3739.9999219823776,3740.0000959168874
