HUC12,biomass,mean,lb,ub
070600060901,prairie,15.945834323127135,11.901737396162734,19.989931250091537
070600060901,rye,51.084632537770226,48.823099316922665,53.346165758617786
070600061002,prairie,16.067269924116346,11.137239638439214,20.99730020979348
070600061002,rye,52.626079679118284,51.44105251487495,53.81110684336162
070801010301,prairie,20.090974336399267,18.317575110152962,21.86437356264557
070801010301,rye,51.740721336600124,51.15444569767411,52.326996975526136
070801010302,prairie,26.99714471906354,20.332407759770174,33.661881678356906
070801010302,rye,51.82445196504629,49.541381729979726,54.10752220011286
070801010403,prairie,20.478999661157605,16.53258505955722,24.42541426275799
070801010403,rye,49.379947316950386,47.98127046101153,50.77862417288924
070801010405,prairie,21.790916496400815,18.263983080308744,25.317849912492886
070801010405,rye,50.93773715410167,50.04715188985532,51.828322418348016
070801010601,prairie,27.232426871766663,21.79469207587529,32.670161667658036
070801010601,rye,52.838706377040154,51.98592102055006,53.69149173353025
070801010602,prairie,22.53190788582761,20.071223883552754,24.992591888102467
070801010602,rye,52.974594436814684,52.67420709352869,53.274981780100674
070801010603,prairie,22.482942604798957,15.17118746554657,29.794697744051344
070801010603,rye,53.41514554947309,53.01495299066729,53.81533810827889
070801010604,prairie,25.881020347254047,21.456188663628208,30.305852030879887
070801010604,rye,52.65890811221898,51.79771417813993,53.520102046298035
070801010605,prairie,19.486412665693774,15.534680408336781,23.438144923050764
070801010605,rye,52.765805973090366,52.15192286097726,53.379689085203474
070801030202,prairie,22.867217007326477,19.967189093941442,25.767244920711512
070801030202,rye,51.08849636663407,50.43281366785461,51.744179065413526
070801030301,prairie,32.47730667696125,30.3876787229653,34.56693463095719
070801030301,rye,50.92725084875199,50.29750818190042,51.55699351560356
070801030302,prairie,24.74960277659151,21.940476112572984,27.558729440610033
070801030302,rye,51.704045087811195,50.85503118022473,52.55305899539766
070801030303,prairie,23.08091961958796,21.419483021599433,24.742356217576486
070801030303,rye,51.50735434819237,50.99381835586219,52.020890340522556
070801030401,prairie,21.78463838611277,19.376762901673814,24.19251387055173
070801030401,rye,51.57996630098696,50.9714510395748,52.18848156239912
070801030402,prairie,22.425771997482332,19.79352610175343,25.058017893211236
070801030402,rye,51.93075772373438,51.206859074821146,52.654656372647615
070801030403,prairie,19.13187319375307,16.488887021031285,21.774859366474853
070801030403,rye,50.39413694334685,49.586485399839425,51.20178848685428
070801030404,prairie,31.804218692710023,28.251845152862906,35.35659223255714
