MLRA,INRS,mean,median,n,sd,se,t.score,margErr,lb,ub,min,max
104,Perennial crops, $0.67 , $0.38 ,423, $0.70 , $0.03 ,1.965601364, $0.07 , $0.60 , $0.74 , $0.02 , $3.43 
104,Riparian buffers, $4.11 , $0.47 ,220, $14.01 , $0.94 ,1.970855367, $1.86 , $2.24 , $5.97 , $0.01 , $125.98 
104,Rye cover crops, $0.55 , $0.47 ,416, $0.38 , $0.02 ,1.965696725, $0.04 , $0.51 , $0.58 , $0.06 , $2.10 
104,Treatment wetlands, $0.54 , $0.44 ,68, $0.43 , $0.05 ,1.996008354, $0.10 , $0.44 , $0.65 , $0.04 , $2.23 
105,Perennial crops, $0.23 , $0.09 ,195, $0.43 , $0.03 ,1.972267533, $0.06 , $0.17 , $0.29 , $0.02 , $3.24 
105,Riparian buffers, $0.28 , $0.08 ,6, $0.53 , $0.22 ,2.570581836, $0.56 , $(0.27), $0.84 , $0.01 , $1.37 
105,Rye cover crops, $0.23 , $0.12 ,83, $0.19 , $0.02 ,1.989318557, $0.04 , $0.19 , $0.27 , $0.06 , $0.70 
105,Treatment wetlands, $0.16 , $0.15 ,11, $0.07 , $0.02 ,2.228138852, $0.05 , $0.12 , $0.21 , $0.05 , $0.30 
108c,Perennial crops, $0.42 , $0.16 ,2183, $0.55 , $0.01 ,1.961051778, $0.02 , $0.40 , $0.44 , $0.02 , $5.35 
108c,Riparian buffers, $5.45 , $0.17 ,1401, $101.36 , $2.71 ,1.961659905, $5.31 , $0.14 , $10.77 , $0.00 ," $3,277.48 "
108c,Rye cover crops, $0.35 , $0.25 ,2233, $0.29 , $0.01 ,1.961027397, $0.01 , $0.33 , $0.36 , $0.05 , $3.92 
108c,Treatment wetlands, $0.38 , $0.30 ,348, $0.28 , $0.01 ,1.966824003, $0.03 , $0.35 , $0.41 , $0.04 , $1.54 
115c,Perennial crops, $0.13 , $0.06 ,15, $0.13 , $0.03 ,2.144786688, $0.07 , $0.06 , $0.20 , $0.02 , $0.45 
115c,Rye cover crops, $0.23 , $0.16 ,15, $0.21 , $0.05 ,2.144786688, $0.11 , $0.11 , $0.34 , $0.05 , $0.85 
115c,Treatment wetlands, $0.20 , $0.20 ,1,NA,NA,NA,NA,NA,NA, $0.20 , $0.20 
