HUC12,biomass,opArea_ha,n,MLRA,sumbioYield,sumEnergyPot
70600060901,prairie,161.6084377,36,105,738.3979222,9106.288891
70600060901,rye,126.5104472,11,105,510.4859067,6095.969993
70600061002,prairie,134.87961,16,105,509.6739666,6149.914016
70600061002,rye,262.3668626,12,105,1058.683996,12642.28046
70801010301,prairie,996.2283041,189,108c,4003.003783,48630.64004
70801010301,rye,2215.21543,111,108c,8938.678861,106741.2787
70801010302,prairie,205.0678644,29,108c,707.5513742,8414.137382
70801010302,rye,236.7934322,13,108c,955.4919168,11410.0114
70801010403,prairie,393.2111935,53,108c,1465.003979,17599.45535
70801010403,rye,335.5340216,12,108c,1353.922869,16167.87683
70801010405,prairie,326.60454,65,108c,1299.396451,15762.32293
70801010405,rye,839.2572292,38,108c,3386.510751,40440.03499
70801010601,prairie,289.0150233,37,115c,893.8699787,10487.31212
70801010601,rye,392.9394221,33,115c,1585.561051,18933.98523
70801010602,prairie,897.9554483,133,108c,3165.514134,37801.43656
70801010602,rye,1881.850824,104,108c,7593.509832,90677.93565
70801010603,prairie,122.4652189,20,115c,424.5018361,5062.444824
70801010603,rye,342.6964531,29,115c,1382.824228,16513.00218
70801010604,prairie,361.8264909,42,108c,1164.647514,13739.43499
70801010604,rye,708.771891,40,108c,2859.985609,34152.53278
70801010605,prairie,311.4084526,48,115c,1107.030502,13256.09642
70801010605,rye,578.1511205,51,115c,2332.914065,27858.50496
70801030202,prairie,764.4194224,108,108c,3131.994767,38208.35056
70801030202,rye,2536.826926,73,108c,10236.42257,122238.2905
70801030301,prairie,2440.827614,208,108c,7495.939735,87822.19861
70801030301,rye,2219.794586,90,108c,8957.156349,106961.927
70801030302,prairie,696.652996,96,108c,2541.149443,30520.62552
70801030302,rye,1370.480278,52,108c,5530.063981,66037.28688
70801030303,prairie,1829.176113,286,108c,7215.300847,87583.52554
70801030303,rye,3914.134613,151,108c,15794.03597,188604.5608
70801030401,prairie,880.5237191,86,104,3236.465933,38926.08143
70801030401,rye,2346.79604,68,104,9469.623591,113081.5566
70801030402,prairie,844.0075287,108,105,3145.196467,37892.86454
70801030402,rye,603.7480958,35,105,2436.201118,29091.90807
70801030403,prairie,657.5877398,84,105,2632.291969,32009.41484
70801030403,rye,1182.607706,40,105,4771.974042,56984.55167
70801030404,prairie,685.7603362,36,104,1796.048497,20430.98017
70801030404,rye,165.1084474,10,104,666.2338022,7955.834229
70801030405,prairie,1489.774323,147,105,5494.657604,66184.66363
70801030405,rye,1398.963712,60,105,5644.998295,67409.77557
70801030406,prairie,1910.070683,330,108c,9551.439188,118794.771
70801030406,rye,4208.077268,159,108c,16980.13243,202768.3362
70801030407,prairie,1356.124206,301,108c,6486.200935,80286.96402
70801030407,rye,3228.470066,160,108c,13027.29143,155565.4661
70801030408,prairie,749.8948469,114,108c,3332.271618,40911.94863
70801030408,rye,1392.059165,54,108c,5617.137596,67077.07616
70801030409,prairie,1022.101049,69,108c,3175.27283,37336.45934
70801030409,rye,741.1182923,43,108c,2990.507538,35711.16041
70801030601,prairie,584.2944853,121,105,2895.842392,36001.53555
70801030601,rye,1301.083562,68,105,5250.039322,62693.3709
70801030602,prairie,598.9886245,53,104,1722.851098,19950.29702
70801030602,rye,1098.010224,56,104,4430.612337,52908.17911
70801030603,prairie,1368.322142,151,108c,4664.149873,55651.73007
70801030603,rye,1334.052224,61,108c,5383.072072,64281.98274
70801030604,prairie,48.37159616,8,104,192.7707349,2370.657341
70801030604,rye,207.7510872,7,104,838.3023329,10010.59155
70801030605,prairie,461.4124587,72,108c,1846.089961,22482.34114
70801030605,rye,796.2188926,36,108c,3212.845531,38366.2106
70801030606,prairie,248.2764644,47,108c,1256.897437,15788.85423
70801030606,rye,1067.751763,43,108c,4308.515522,51450.15907
70801030607,prairie,320.1490675,37,108c,1237.435175,14984.02843
70801030607,rye,501.8862462,26,108c,2025.175469,24183.64319
70802060301,prairie,429.0606807,50,108c,1633.767498,19757.53159
70802060301,rye,1242.768195,36,108c,5014.729318,59883.41576
70802060302,prairie,699.487334,130,108c,3018.472751,36967.79953
70802060302,rye,2251.066424,83,108c,9083.342172,108468.7764
70802060406,prairie,325.4511629,71,108c,1397.166781,17022.2486
70802060406,rye,962.4307004,32,108c,3883.531488,46375.21094
70802060407,prairie,174.9172668,31,108c,813.7575582,10062.84676
70802060407,rye,432.6854916,23,108c,1745.941556,20849.16981
70802060501,prairie,1593.316418,195,108c,5389.437077,64061.15503
70802060501,rye,2222.908255,89,108c,8969.720403,107111.961
70802060502,prairie,1685.8468,249,108c,5910.496425,70567.79832
70802060502,rye,3982.448039,142,108c,16069.68943,191896.2782
70802060503,prairie,726.2283956,53,108c,2046.928927,23680.95725
70802060503,rye,766.853383,34,108c,3094.351894,36951.21883
70802060601,prairie,1440.953918,186,108c,5129.864932,61397.50262
70802060601,rye,3234.652379,97,108c,13052.23797,155863.3645
70802060602,prairie,1437.239287,332,108c,7316.035807,91000.71413
70802060602,rye,5008.44001,159,108c,20209.69889,241334.2188
70802060603,prairie,1264.06811,175,108c,5084.09959,61963.7468
70802060603,rye,2901.905334,135,108c,11709.56086,139829.7789
70802060704,prairie,704.3468773,135,108c,3468.713544,43153.13126
70802060704,rye,1931.174508,72,108c,7792.537294,93054.62248
70802060801,prairie,886.8643733,102,108c,3516.156571,42648.54283
70802060801,rye,1431.149337,53,108c,5774.87145,68960.65588
70802060802,prairie,1022.289202,55,108c,2911.574295,33695.88308
70802060802,rye,594.0164055,29,108c,2396.9325,28622.98166
70802060803,prairie,776.1945028,84,108c,2668.542302,31823.01585
70802060803,rye,1216.2329,60,108c,4907.656003,58604.79874
70802060804,prairie,914.8770729,94,108c,2748.539561,32059.51528
70802060804,rye,782.642412,35,108c,3158.062659,37712.02132
70802060805,prairie,254.6491,8,108c,676.3073848,7719.250504
70802060805,rye,42.85811866,5,108c,172.9380177,2065.140167
