HUC12, opArea_ha , n , MLRA , sumbioYield , sumEnergyPot , sumDC , sumOC , sumTC ,, sumCO2red , sumN2ored , sumcpNO3LoadReduced , sumcpSEDLoadReduced 
70600060901,288,47,105,"1,249","15,202","159,015","115,738","227,750",791,337,"4,860",9,"2,560"
70600061002,397,28,105,"1,568","18,792","176,563","170,066","227,975",574,376,"5,075",7,"2,307"
70801010301,"3,211",300, 108c ,"12,942","155,372","1,970,057","2,120,382","2,703,812",842,"3,003","35,742",79,"12,966"
70801010302,442,42, 108c ,"1,663","19,824","254,890","325,169","414,598",938,410,"8,572",12,"1,222"
70801010403,729,65, 108c ,"2,819","33,767","416,312","550,879","737,590","1,012",721,"15,503",22,"3,461"
70801010405,"1,166",103, 108c ,"4,686","56,202","619,800","823,855","871,383",747,"1,075","11,912",24,"3,074"
70801010601,682,70, 115c ,"2,479","29,421","344,299","399,728","534,422",784,610,"12,630",14,"2,787"
70801010602,"2,780",237, 108c ,"10,759","128,479","1,469,968","1,639,110","2,036,852",733,"2,503","36,486",55,"10,367"
70801010603,465,49, 115c ,"1,807","21,575","208,590","245,834","273,879",589,412,"4,991",7,"1,277"
70801010604,"1,071",82, 108c ,"4,025","47,892","589,798","664,172","823,206",769,941,"15,536",22,"2,588"
70801010605,890,99, 115c ,"3,440","41,115","416,432","482,625","590,719",664,825,"12,299",18,"2,472"
70801030202,"3,301",181, 108c ,"13,368","160,447","2,402,690","2,323,761","2,970,921",900,"2,986","26,072",87,"10,002"
70801030301,"4,661",298, 108c ,"16,453","194,784","3,429,096","3,479,368","5,307,731","1,139","4,192","107,309",145,"11,317"
70801030302,"2,067",148, 108c ,"8,071","96,558","1,301,815","1,452,660","1,807,859",875,"1,893","27,078",51,"6,730"
70801030303,"5,743",437, 108c ,"23,009","276,188","3,934,689","4,065,073","5,323,595",927,"5,368","65,319",159,"25,313"
70801030401,"3,227",154,104,"12,706","152,008","1,904,257","2,015,456","2,386,623",740,"2,902","33,887",68,"7,710"
70801030402,"1,448",143,105,"5,581","66,985","730,140","847,081","1,207,326",834,"1,513","31,922",41,"5,100"
70801030403,"1,840",124,105,"7,404","88,994","1,079,868","1,074,850","1,425,009",774,"1,788","23,091",47,"6,960"
70801030404,851,46,104,"2,462","28,387","432,330","443,474","764,603",898,737,"33,327",21,705
70801030405,"2,889",207,105,"11,140","133,594","1,764,973","1,542,116","2,427,890",840,"2,919","55,988",86,"10,098"
70801030406,"6,118",489, 108c ,"26,532","321,563","3,501,369","3,700,344","4,678,924",765,"6,332","50,621",157,"30,500"
