FBndID,opAcres,n,sumbioYield,sumEnergyPot,sumDC,sumOC,sumTC,sumCO2red,sumN2ored,sumcpNO3LoadReduced,sumcpSEDLoadReduced,IWAP,meanDCredNO3,minDCredNO3,maxDCredNO3,meanTCredNO3,minTCredNO3,maxTCredNO3,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,Total_TruckTravelTime,Total_Kilometers,
F070600060901_100,6.51829958,1,7.36567831,75.49819946,769.1593628,1083.732422,1852.891846,2.281404972,130.3659973,177,NA,1,4.345532894,4.345532894,4.345532894,10.46831512,10.46831512,10.46831512,NA,NA,NA,NA,NA,NA,48.7980876,52.01509691,30.57032135
F070600060901_101,3.780271053,1,12.77731609,19.54929352,616.1842041,529.918457,1146.102661,4.082692623,12.19442272,217,35.036475,2,2.839558601,2.839558601,2.839558601,5.281579018,5.281579018,5.281579018,17.60526276,17.60526276,17.60526276,32.74578857,32.74578857,32.74578857,42.74733359,52.63269591,21.53608791
F070600060901_102,14.28098011,1,16.13750839,165.4094543,1685.15564,1908.796021,3593.95166,4.998342991,285.6195984,387,41.39457321,0,4.35440731,4.35440731,4.35440731,9.286696434,9.286696434,9.286696434,41.10135651,41.10135651,41.10135651,87.65735626,87.65735626,87.65735626,42.47436259,52.41702688,37.77468644
F070600060901_11,14.18562603,1,47.9474144,73.35954285,2312.25708,1896.050781,4208.307617,15.32047653,45.76008224,1003,30.965725,2,2.305341005,2.305341005,2.305341005,4.195720673,4.195720673,4.195720673,72.25803375,72.25803375,72.25803375,131.509613,131.509613,131.509613,52.84200004,49.55448638,
F070600060901_12,26.64731502,2,39.18820858,282.7794362,4886.229553,4033.072113,5307.067749,12.2714591,465.2773819,558,116.8425077,2,13.00754744,1.712394834,24.30270004,13.55551419,2.808327675,24.3027007,41.50480318,11.33723545,71.67237091,44.89435918,18.59306526,71.19565309,52.11292656,49.26946176,
F070600060901_13,45.68332052,2,65.50163841,489.5791702,8394.73291,6967.536865,9179.016357,20.4922843,810.1921177,848,164.5785694,2,13.07752269,1.848330379,24.30671501,13.79837118,3.290027857,24.30671451,47.0458498,13.77385902,80.31784058,52.27200967,24.5174675,80.02655184,52.99728091,49.6916483,
F070600060901_335,5.099839211,1,5.762818336,59.06888962,953.6699219,399.0114136,953.6699219,1.7849437,101.9967804,4,NA,0,238.4174805,238.4174805,238.4174805,238.4174805,238.4174805,238.4174805,NA,NA,NA,NA,NA,NA,50.20874491,53.32619045,
F070600060901_336,15.46218777,1,52.26219559,79.96115875,2520.33667,2318.709717,4839.046387,16.69916344,49.87802505,1051,32.6268,2,2.398036718,2.398036718,2.398036718,4.604230404,4.604230404,4.604230404,76.37384033,76.37384033,76.37384033,146.6377716,146.6377716,146.6377716,48.84710232,53.05385375,
F070600060901_337,40.16979599,1,45.39186859,465.2666626,4740.036133,6940.537109,11680.57324,14.05942822,803.3959351,1088,110.7154236,1,4.356650829,4.356650829,4.356650829,10.73582077,10.73582077,10.73582077,42.70302963,42.70302963,42.70302963,105.2303925,105.2303925,105.2303925,47.90828906,51.7629908,
F070600060901_338,17.64962769,1,19.94407845,204.4268036,2082.656006,1898.746948,3981.402832,6.177369595,352.9925537,479,77.58422089,1,4.347924709,4.347924709,4.347924709,8.311905861,8.311905861,8.311905861,26.70071793,26.70071793,26.70071793,51.04362488,51.04362488,51.04362488,48.06179235,51.8064828,
F070600060901_37,16.47727203,1,55.69318008,85.21056366,2685.79541,2041.204468,4727,17.79545403,53.15248871,1194,39.972675,2,2.249409914,2.249409914,2.249409914,3.958961487,3.958961487,3.958961487,67.1448822,67.1448822,67.1448822,118.1750031,118.1750031,118.1750031,54.16387848,50.23458749,
F070600060901_38,51.88166476,5,89.6500473,551.6536588,10654.8136,12481.96521,12316.81909,25.32493871,872.9623013,NA,271.3928848,2,13.054052,NA,NA,14.42220706,NA,NA,71.47227134,12.07708168,247.8787231,94.99581694,16.48521614,338.3544617,46.69576656,51.84315212,
F070600060901_39,10.8459959,1,36.65946579,56.08898163,1767.897339,1520.391602,3288.289063,11.7136755,34.98708344,832,128.72975,2,2.124876499,2.124876499,2.124876499,3.952270508,3.952270508,3.952270508,13.81169796,13.81169796,13.81169796,25.6897583,25.6897583,25.6897583,46.1144441,51.22157942,
F070600060901_41,20.30680656,1,22.94669151,235.2035828,3797.372803,3045.209961,3797.372803,7.107382298,406.1361389,165,10.63737679,0,23.01438141,23.01438141,23.01438141,23.01438062,23.01438062,23.01438062,379.7372742,379.7372742,379.7372742,356.9839518,356.9839518,356.9839518,49.16841962,53.11811914,
F070600060901_445,5.166760921,1,5.838439941,59.8440094,609.6777954,1044.305786,1653.983643,1.808366299,103.3352203,125,NA,0,4.877422333,4.877422333,4.877422333,13.23186874,13.23186874,13.23186874,NA,NA,NA,NA,NA,NA,46.73683051,51.88680284,
F070600060901_53,2.310973883,1,7.8110919,11.95097065,376.6887512,549.9655762,926.6542969,2.495851755,7.454754353,160,10.271875,2,2.35430479,2.35430479,2.35430479,5.79158926,5.79158926,5.79158926,34.24443054,34.24443054,34.24443054,84.24130249,84.24130249,84.24130249,46.76903793,52.16030103,
F070600060901_54,33.04802847,2,49.73882294,347.4620305,6047.772827,4937.883606,6586.522705,15.58815384,568.5567703,542,100.2249279,2,13.50636673,2.72095871,24.29177475,14.32265495,4.353534222,24.29177568,53.86567021,21.90040016,85.83094025,60.70173269,35.04064178,86.3628236,46.75250509,52.14363409,
F070600060901_56,8.332676888,1,28.16444778,43.09160614,1358.226318,950.7584229,2308.984863,8.99929142,26.87960243,595,87.820375,2,2.282733202,2.282733202,2.282733202,3.880646944,3.880646944,3.880646944,15.43439007,15.43439007,15.43439007,26.23846436,26.23846436,26.23846436,46.39455251,51.7827783,
F070600060901_57,13.60283041,2,35.32299995,54.04418945,17714.83319,2086.653687,19801.48584,5.137759209,15.34575653,2090,315.621775,2,6.006276131,2.485323906,9.527228355,7.330787419,4.274756908,10.38681793,41.32639504,22.15488815,60.49790192,52.03134728,38.10640335,65.9562912,46.39532567,51.78355773,
F070600060901_58,6.522301674,1,22.04537964,33.72943115,1063.135132,829.2454224,1892.380615,7.044085979,21.03968239,590,86.727875,2,1.80192399,1.80192399,1.80192399,3.207424879,3.207424879,3.207424879,12.36203671,12.36203671,12.36203671,22.00442505,22.00442505,22.00442505,45.98023688,51.36422109,
F070600060901_60,8.329854965,1,9.412735939,96.48054504,982.9229126,896.1259155,1879.048828,2.915449142,166.5971069,226,NA,0,4.349216461,4.349216461,4.349216461,8.314374924,8.314374924,8.314374924,NA,NA,NA,NA,NA,NA,47.1226631,51.86631291,
F070600060901_61,51.37547016,2,83.29610061,523.1328964,9337.967041,6479.924805,10581.4353,26.17098236,839.3266869,1215,240.6111729,2,11.20371187,2.166622877,20.24080086,11.94036403,3.639926434,20.24080162,38.71363688,15.36663532,62.06063843,44.03433618,25.81594849,62.25272386,46.63080875,51.7269579,
F070600060901_7,40.6831665,1,45.97197723,471.2127686,7607.751953,6366.102051,7607.751953,14.23910809,813.6633301,348,18.72339821,0,21.86135674,21.86135674,21.86135674,21.86135619,21.86135619,21.86135619,422.6528931,422.6528931,422.6528931,406.3232469,406.3232469,406.3232469,43.6347684,51.43049768,
F070600060901_715,14.5538044,1,16.44579887,168.5694427,2721.561523,1992.706909,2721.561523,5.093831539,291.0760803,125,8.510486603,0,21.77249146,21.77249146,21.77249146,21.77249218,21.77249218,21.77249218,302.3957214,302.3957214,302.3957214,319.7891789,319.7891789,319.7891789,53.39183288,50.04016197,
