HUC12,sumDC,sumOC,sumTC,sumcpSEDldRedkg,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDCredSED,minDCredSED,maxDCredSED,meanTCredSED,minTCredSED,maxTCredSED,opAcres,n
070600060901,152705.86111179998,109165.4380655,209826.3288052,2639886.7343324088,3818,292,33773,2729,212,13008,5246,505,35301,0.09205689026314076,0.0018452341824843298,0.4478970511510497,0.12992483856795825,0.0025187438955193947,0.6710649589538389,272.9992042061446,40
070600061002,181631.679941,167474.3244116,235297.864767,2409058.8797263782,6263,541,20231,5775,612,32587,8114,1295,39778,0.10486214180132762,0.013031142064314936,0.3912333025378556,0.12891865554685233,0.02838590933805718,0.3912333025378556,408.90853252043746,29
070801010301,1941069.5071099,2071401.9114777,2539411.8041955,12978070.481736781,6602,330,63248,7046,329,75520,8637,624,102585,0.19650922760294437,0.004326033712652314,3.5561624441106128,0.26481757775959336,0.005796884402958286,4.978626696327522,3141.5185623301204,294
070801010302,230432.1921505,287793.706779,354625.0429736,1221684.8633914017,6584,527,58043,8223,1284,43069,10132,745,62156,0.3875174232595253,0.0037311722421458013,3.1690914962702923,0.5898445628396023,0.005279608710083574,4.531798205599095,386.0026413495189,35
070801010403,416343.1742571,550867.5552383,698430.166718,3498709.460058606,6505,531,68382,8607,725,74236,10913,724,114450,0.14566044625078098,0.004018144483363542,0.8173060842947638,0.22177503601254916,0.005444584135646622,1.1036886082325066,728.8202193556211,64
070801010405,611908.3649109,809078.1203334,826075.6039550999,3081215.3662941833,6058,194,47814,8011,362,60602,8179,556,50753,0.22644364015832008,0.00516755509002387,1.2811807183087724,0.3577087308474155,0.007131222517474281,3.6714313297785335,1146.6238629792779,101
070801010601,325963.18111739,373749.87284208,502072.16206617,2806260.5404168796,5257,10,23521,6028,19,29507,8098,29,45663,0.15457870224769785,0.014810599311709463,0.6225902517179969,0.2549517051202464,0.022954644755854473,1.2974672482580067,639.7825872202704,62
070801010602,1452274.6374247,1618503.66447518,1981225.3673077,10387288.737826342,6370,371,58309,7099,64,52897,8690,391,86566,0.2027921928282146,0.00204919405492615,3.09112675139508,0.26403753932317986,0.002213129676420089,3.1684049874125706,2738.3219490155666,228
070801010603,167379.5636329,204544.7097482,227111.2040974,1276969.9647337443,4923,399,17179,6016,510,17669,6680,909,28149,0.2253162579757116,0.014498360682081147,0.8549223252831224,0.31130864104924305,0.03072779164148459,1.40410460289521,374.5002785129144,34
070801010604,582273.9513045,654562.13986862,808413.9221697,2585063.577495541,7465,307,46986,8392,90,32202,10364,551,53498,0.279292989950168,0.020368256668785036,1.084037291742237,0.38966510526818465,0.027395305187886087,1.6535968232355298,1054.006568533329,78
070801010605,391582.4103294,453648.3436383,561214.3681547,2472237.008473435,4553,316,25361,5275,415,39345,6526,731,64706,0.23536062892365037,0.019094719286882292,0.8263180146796617,0.31121443366867074,0.03784435131524405,1.2365435936330518,834.7820621560539,86
070801030202,2351483.4211461,2269365.0893715,2832224.5510801002,9852094.99033502,13592,426,182095,13118,503,82047,16371,587,192668,0.4143267712429619,0.0018284193483900397,3.364900972073933,0.5255525855541299,0.0023969692982577454,4.643563487808885,3185.9959292470576,173
070801030301,3408940.3417547,3446686.2584236,5166811.1145189,11309027.507612046,11715,254,98132,11844,359,98380,17755,254,151112,3.3763836927846467,0.0048217111507388435,847.6245053539683,4.8870197236212345,0.006509309075884138,1212.102842348151,4615.151339856055,291
070801030302,1276897.6452143,1361588.3462334,1732805.3991704,6759866.7393889725,8992,378,75455,9589,416,52782,12203,749,80996,0.35510125804550546,0.003002870020251605,3.875437276410503,0.5024813881399243,0.004173988367626811,5.483743826630915,1930.1202184246365,142
070801030303,3943428.0372125,4081170.4360335,5192141.7105244,25371269.220225494,9107,262,167122,9425,314,73207,11991,599,178682,0.2776114802927835,0.0020668651885921013,5.82215136385233,0.4146723500050262,0.002676589739867003,8.092789146002415,5762.278542477784,433
070801030401,1890025.0214289,2006217.75675107,2309246.3504255,7935002.795841772,12353,431,164259,13113,70,60634,15093,538,175760,0.4464265833960214,0.0024989922843343428,2.1008614397836785,0.5704039655181902,0.003411124307281769,2.7723918538665218,3189.643035099493,153
070801030402,708468.5054158,829198.0791589,1155298.5413494,5009363.941866307,5855,327,39371,6853,397,40707,9548,722,65681,0.31528644587803034,0.010162010375257009,1.5405299275619275,0.5922447104645877,0.021626545534442924,3.4261155026627446,1395.327931710941,121
070801030403,1055125.0198017,1050357.5828438,1362798.2853715,6966664.4485656,9018,432,104049,8977,327,46379,11648,735,111067,1.0563230110303685,0.01201776728896395,34.99322678787105,1.5151238121855415,0.016464340894818606,48.64058624706632,1781.3260588435717,117
