HUC12,sumDC,sumOC,sumTC,sumcpNO3LoadReduced,meanDC,minDC,maxDC,meanOC,minOC,maxOC,meanTC,minTC,maxTC,meanDC_kgNO3,minDC_kgNO3,maxDC_kgNO3,meanTC_kgNO3,minTC_kgNO3,maxTC_kgNO3,opArea_ha,n
070600060901,57154.601895240005,58614.7247746,115769.3258294,9422.818658730224,1466,72,24361,1503,0,13008,2968,254,25889,6.0667298723287475,0.9495870686790111,30.206216600436015,11.954745578511304,3.010191372422794,32.10128795745758,159.5516354555598,39
070600061002,52004.789964,51754.8269687,103759.6170596,7889.183769927644,1857,134,6275,1848,0,20834,3706,736,25513,7.679941726285731,0.9560672536983847,16.659689957963515,11.894474569311566,4.909563925289688,20.724852020637254,141.05227857034004,28
070801010301,788576.62516919,616645.1426396,1405221.7688026,78985.57603902629,3520,81,45622,2753,0,66290,6273,390,75254,9.646497292032741,0.8325640949833729,28.293074967080678,15.043280789786575,2.4575545863164643,35.19368730791707,973.2737503179253,224
070801010302,94152.5154394,138230.6957419,232383.2110348,11633.964849514794,3487,425,41867,5120,0,28649,8607,827,45981,8.260081936127346,0.9274705337758066,16.64489883546738,19.273232202183998,3.5266796455016314,33.61114168290654,200.91001164322452,27
070801010403,151183.6201694,272525.7026919,423709.3203886,22746.948403084287,4447,155,49325,8015,0,74236,12462,913,84168,7.369848254508118,0.8146629505344528,16.65268172351658,14.951440352509513,4.407326629907521,34.246590869574916,385.20663102945997,34
070801010405,217841.85851984,219648.7433836,437490.60304200003,23481.63920926477,2657,48,34489,2679,0,31564,5335,410,37428,8.580787661376222,0.8033450692918902,26.373655418454174,15.74469546701351,4.864755826266866,34.56567974093587,321.07413504668557,82
070801010601,112258.27997101001,186107.7950528,298366.0718868,13841.829636993762,1871,78,16966,3102,0,29507,4973,341,33497,8.87141796418843,0.8736043987757972,24.481489140643156,17.541592763476856,2.9527827868153174,34.247079753207714,286.0586483254911,60
070801010602,512387.07615091,532782.1686539,1045169.2462409,54259.5483374571,2725,92,42059,2834,0,52897,5559,475,61213,9.908337064159518,0.7985004600430224,36.75175482336696,15.731732874198743,3.352367551509379,40.40611313044106,886.9929652936886,188
070801010603,55129.6990511,63836.0732032,118965.7726412,6759.364986512206,1378,99,5328,1596,0,16114,2974,509,19087,9.445641598597904,0.961768210041631,16.691027697104857,14.917819231188561,5.135842079514131,28.844303511720078,122.46521894538164,40
070801010604,216694.17270088,223926.2872626,440620.4562634,21471.87798153572,3187,76,33892,3293,0,32202,6480,331,37462,10.612094504236289,0.7302320844710415,24.15093303994615,17.119769928590763,4.768415137286295,31.382048938600132,358.07824239483807,68
070801010605,121112.67027076,170252.3574877,291365.0301344,17202.44665843744,1425,78,16242,2003,0,39345,3428,438,45609,8.395092593242122,0.8347304613087104,16.67179420475466,13.834311412861352,4.290663567274863,33.610130804567234,311.40845264994687,85
070801030202,1092210.0653614,483519.6700125,1575729.732511,85173.3157337734,8600,111,131349,3807,0,82047,12407,546,141921,11.46791922788646,0.3781410907753242,35.6388683479852,15.851574582670194,1.3484956016512926,39.39350397818975,734.1119520169058,127
070801030203,8298.4201042,2117.408203,10415.828368,1080.909736,2766,738,5362,706,0,2117,3472,2198,5362,10.950315114789547,1.250201480303794,16.6556018233744,12.146341239788883,4.838279855301806,16.6556018233744,7.282106468527159,3
070801030301,1573967.84956018,1751043.5357507,3325011.38676758,144213.31909893607,7253,79,70784,8069,0,98380,15323,79,111404,10.251160963164285,0.3493458573601947,56.96604910878277,20.49060050812715,1.175034494396262,62.225789453374624,2414.651884478082,217
070801030302,547998.69546857,449116.2284515,997114.926875,51205.08221336388,5028,93,54427,4120,0,44343,9148,459,59968,9.975437354817117,0.4244873969007026,38.547254534060286,16.94898355958926,1.3991098778881088,42.151997165945936,681.5450315442769,109
070801030303,1730374.04316858,1208124.8829962001,2938498.9145506,159795.2471192999,5276,65,120548,3683,0,45745,8959,347,132109,9.71813250105338,0.4224922809169232,35.8967457238896,16.072218602588364,1.6493104718563754,63.277740773041195,1797.981544032465,328
070801030401,761210.4000413,440452.8428208,1201663.2342734,69454.83080929302,5947,138,118484,3441,0,48670,9388,360,129984,10.42581690664977,0.96670991726412,28.764526263052534,15.15652700332605,3.7056084182367854,31.182040494193252,884.7051938808952,128
070801030402,246511.57745462,459366.01512698,705877.5926398,41015.647005961335,1840,81,28399,3428,0,40707,5268,216,46875,6.074686825935426,0.41048942340453737,27.494684030246926,15.742560651705555,1.4915736506211026,32.65492639362096,846.5633597334745,134
070801030403,428237.60323229997,319029.0598786,747266.6619367,47390.11974656017,3858,107,75052,2874,0,30701,6732,356,82071,7.878381776634724,0.7437057856515873,24.877275190997338,13.603361827102491,3.0538252962322288,29.790242357799848,658.8964425265152,111
070801030404,158732.64057329998,326816.0559336,485548.6980104,22209.99524627342,3779,209,47161,7781,0,46016,11561,565,54527,7.8586252951227475,1.6166758263009682,34.39366846131311,19.972086871502132,4.4458584931260585,41.56976354608925,680.9999533356453,42
070801030405,723373.14075724,640375.04086468,1363748.1814879,86646.47488179248,3653,76,65089,3234,0,37702,6888,156,71561,7.260905328860076,0.45647142190006046,47.100201911919775,13.623228562777646,1.5199416000142087,50.947233001691735,1499.6803292830866,198
070801030406,1326041.4693366599,963135.63819058,2289177.10528048,156354.7397695003,3584,75,102572,2603,0,63978,6187,382,112772,8.41618339482781,0.7910463031192511,62.89945789050785,13.07226173539947,3.007154969995342,69.07932110349019,1874.3315311492202,370
070801030407,1015672.43403951,706063.5659848,1721735.9952449,114691.31952380003,2877,83,44990,2000,0,31948,4877,223,49464,8.710578340746045,0.4447972669711988,32.80134939681352,13.608305767868673,1.7363838037707897,60.66953983498979,1334.0177859558582,353
070801030408,313049.76616961,396550.8384943,709600.6091514,49616.19869691077,2465,91,26186,3122,0,66570,5587,474,76779,7.683371164112469,0.43052516318667877,24.36890209167841,12.72464521091586,1.171889463258381,33.928981694560605,741.4003442905575,127
