HUC12,unprofit,stabCorn,yieldCornClass,subarea_ha,n,huc12_wtd,combo
070802060501,unprofitable,Unstable,Low,2186.873798238741,1157,19.36456320962826,Unstable x Low x unprofitable
070802060802,unprofitable,Unstable,Low,847.551924394363,591,16.03065919062128,Unstable x Low x unprofitable
070802060503,unprofitable,Unstable,Low,659.5181790340422,438,14.438239544699483,Unstable x Low x unprofitable
070802060502,unprofitable,Unstable,Low,1644.460435269109,843,14.011357535190388,Unstable x Low x unprofitable
070802060601,unprofitable,Unstable,Low,1048.3556266149133,516,11.054092467147091,Unstable x Low x unprofitable
070802060801,unprofitable,Unstable,Low,375.16826218921176,260,7.641176770487143,Unstable x Low x unprofitable
070802060802,unprofitable,Unstable,High,322.461393046547,109,6.0990584119739735,Unstable x High x unprofitable
070802060302,unprofitable,Unstable,Low,439.949260313476,377,6.0652754368763535,Unstable x Low x unprofitable
070802060603,unprofitable,Unstable,Low,561.8730383579513,414,6.037011388531502,Unstable x Low x unprofitable
070801030202,unprofitable,Unstable,Low,528.9659964547948,266,5.956747108302327,Unstable x Low x unprofitable
070802060602,unprofitable,Unstable,Low,675.0464184218727,449,5.900292433975865,Unstable x Low x unprofitable
070801010602,unprofitable,Unstable,Low,606.347997167495,541,5.891594699460391,Unstable x Low x unprofitable
070801010604,unprofitable,Unstable,Low,227.50763021460858,260,5.139527162068584,Unstable x Low x unprofitable
070802060501,unprofitable,Unstable,High,546.3363302894815,204,4.837757171962803,Unstable x High x unprofitable
070802060804,unprofitable,Unstable,Low,332.19012018427736,328,3.954783623409653,Unstable x Low x unprofitable
070802060704,unprofitable,Unstable,Low,417.11326793401787,241,3.844312188404252,Unstable x Low x unprofitable
070802060406,unprofitable,Unstable,Low,201.32375420915253,122,3.292096379624951,Unstable x Low x unprofitable
070801030406,unprofitable,Unstable,Low,496.7534682541885,401,3.225999467836794,Unstable x Low x unprofitable
070801030407,unprofitable,Unstable,Low,316.31256300649613,214,3.2177577835745583,Unstable x Low x unprofitable
070801030303,unprofitable,Unstable,Low,430.33541323961,282,2.964209807176972,Unstable x Low x unprofitable
070802060803,unprofitable,Unstable,Low,220.4833645844619,183,2.4738219965417163,Unstable x Low x unprofitable
070801030301,unprofitable,Unstable,Low,283.8955025709568,195,2.382384277362031,Unstable x Low x unprofitable
070801030401,unprofitable,Unstable,Low,258.8641024066566,157,2.3400543056170573,Unstable x Low x unprofitable
070802060301,unprofitable,Unstable,Low,189.9328410802917,114,2.1223856688433242,Unstable x Low x unprofitable
070801030302,unprofitable,Unstable,Low,95.60735039056831,65,1.9679493733837938,Unstable x Low x unprofitable
070802060503,unprofitable,Unstable,High,85.40845065667565,52,1.8697705520852335,Unstable x High x unprofitable
070802060502,unprofitable,Unstable,High,205.42429326299398,79,1.7502842619929582,Unstable x High x unprofitable
070802060704,unprofitable,Unstable,High,182.0247080880272,54,1.6776253782563022,Unstable x High x unprofitable
070802060407,unprofitable,Unstable,Low,91.10227845101042,81,1.4269441088979293,Unstable x Low x unprofitable
070801030202,unprofitable,Unstable,High,105.16557306572136,28,1.1842816503342641,Unstable x High x unprofitable
070801030301,unprofitable,Unstable,High,130.90309278645188,80,1.0985079625717546,Unstable x High x unprofitable
070801010405,unprofitable,Unstable,Low,53.053497836018714,50,1.0961913464801858,Unstable x Low x unprofitable
070802060603,unprofitable,Unstable,High,78.17756418025857,43,0.8399741811124305,Unstable x High x unprofitable
070801010302,unprofitable,Unstable,Low,61.60069349121202,42,0.8347628960093907,Unstable x Low x unprofitable
070802060602,unprofitable,Unstable,High,92.04829196990055,55,0.8045548066755106,Unstable x High x unprofitable
070801010602,unprofitable,Unstable,High,77.40644314152811,53,0.7521215411728861,Unstable x High x unprofitable
070802060804,unprofitable,Unstable,High,50.672543015727776,31,0.6032658140583866,Unstable x High x unprofitable
070801030604,unprofitable,Unstable,Low,36.27488078080288,16,0.534765823187497,Unstable x Low x unprofitable
070802060601,unprofitable,Unstable,High,49.69255438641278,20,0.5239692306415371,Unstable x High x unprofitable
070802060302,unprofitable,Unstable,High,31.448871664893485,24,0.4335637902667307,Unstable x High x unprofitable
070801010301,unprofitable,Unstable,Low,33.72037764943376,26,0.3674934222403935,Unstable x Low x unprofitable
070801030407,unprofitable,Unstable,High,30.596608499971346,15,0.31125060040610647,Unstable x High x unprofitable
070801010605,unprofitable,Unstable,Low,21.091351002155335,34,0.1344861893835976,Unstable x Low x unprofitable
070801030602,unprofitable,Unstable,Low,9.499516625457497,15,0.11832151967309634,Unstable x Low x unprofitable
070801030603,unprofitable,Unstable,Low,17.248757846619768,14,0.11432211264251649,Unstable x Low x unprofitable
070801030406,unprofitable,Unstable,High,15.141926870094135,11,0.09833418616405495,Unstable x High x unprofitable
070802060805,unprofitable,Unstable,Low,6.745727012579466,12,0.07217976554065599,Unstable x Low x unprofitable
